Date,LH
2015-08-03,105.06546783447266
2015-08-04,104.78495788574219
2015-08-05,105.05722045898438
2015-08-06,103.53919982910156
2015-08-07,102.91217803955078
2015-08-10,103.28343963623047
2015-08-11,102.70591735839844
2015-08-12,102.26043701171875
2015-08-13,102.14492797851562
2015-08-14,102.35118103027344
2015-08-17,102.92867279052734
2015-08-18,103.2586898803711
2015-08-19,103.3246841430664
2015-08-20,100.78364562988281
2015-08-21,99.24913787841797
2015-08-24,95.18180847167969
2015-08-25,94.67854309082031
2015-08-26,97.18656921386719
2015-08-27,98.85311126708984
2015-08-28,98.67985534667969
2015-08-31,97.19483947753906
2015-09-01,95.49530029296875
2015-09-02,96.01507568359375
2015-09-03,96.95556640625
2015-09-04,96.02330780029297
2015-09-08,97.83834075927734
2015-09-09,96.93909454345703
2015-09-10,96.95556640625
2015-09-11,97.78059387207031
2015-09-14,97.59085083007812
2015-09-15,98.9521255493164
2015-09-16,98.91088104248047
2015-09-17,99.37286376953125
2015-09-18,98.50660705566406
2015-09-21,98.04459381103516
2015-09-22,96.95556640625
2015-09-23,96.36157989501953
2015-09-24,95.13230895996094
2015-09-25,93.21827697753906
2015-09-28,89.32420349121094
2015-09-29,88.16094207763672
2015-09-30,89.48921203613281
2015-10-01,90.89998626708984
2015-10-02,92.64076232910156
2015-10-05,93.58128356933594
2015-10-06,90.99075317382812
2015-10-07,92.12925720214844
2015-10-08,92.16224670410156
2015-10-09,92.69027709960938
2015-10-12,92.89652252197266
2015-10-13,91.65899658203125
2015-10-14,92.03026580810547
2015-10-15,95.1900405883789
2015-10-16,96.86483764648438
2015-10-19,96.84833526611328
2015-10-20,97.00508880615234
2015-10-21,95.73456573486328
2015-10-22,90.34722137451172
2015-10-23,92.3602523803711
2015-10-26,97.1370849609375
2015-10-27,99.55437469482422
2015-10-28,101.31990051269531
2015-10-29,101.76541137695312
2015-10-30,101.26215362548828
2015-11-02,102.68118286132812
2015-11-03,102.35118103027344
2015-11-04,101.5509033203125
2015-11-05,100.5938949584961
2015-11-06,100.45364379882812
2015-11-09,101.36116027832031
2015-11-10,102.2026596069336
2015-11-11,99.90088653564453
2015-11-12,98.72110748291016
2015-11-13,98.74586486816406
2015-11-16,99.70287322998047
2015-11-17,101.81491088867188
2015-11-18,102.45841979980469
2015-11-19,99.2408676147461
2015-11-20,100.21439361572266
2015-11-23,99.91737365722656
2015-11-24,99.97511291503906
2015-11-25,100.50313568115234
2015-11-27,100.70939636230469
2015-11-30,100.27214813232422
2015-12-01,103.39067840576172
2015-12-02,102.45016479492188
2015-12-03,99.82662963867188
2015-12-04,102.91217803955078
2015-12-07,102.8874282836914
2015-12-08,103.20919799804688
2015-12-09,101.37765502929688
2015-12-10,101.13839721679688
2015-12-11,99.96688079833984
2015-12-14,98.73760986328125
2015-12-15,101.2704086303711
2015-12-16,100.66812896728516
2015-12-17,100.38763427734375
2015-12-18,100.45364379882812
2015-12-21,102.69766998291016
2015-12-22,102.5821533203125
2015-12-23,102.83792877197266
2015-12-24,102.87918090820312
2015-12-28,102.63168334960938
2015-12-29,103.29169464111328
2015-12-30,102.45841979980469
2015-12-31,102.00467681884766
2016-01-04,101.38589477539062
2016-01-05,100.65164184570312
2016-01-06,99.69461822509766
2016-01-07,97.83834075927734
2016-01-08,95.9078140258789
2016-01-11,95.38807678222656
2016-01-12,94.97554779052734
2016-01-13,92.21176147460938
2016-01-14,92.14575958251953
2016-01-15,91.63423919677734
2016-01-19,90.6937255859375
2016-01-20,90.49573516845703
2016-01-21,89.92647552490234
2016-01-22,93.19352722167969
