Date,TOP100CASE.NS
2024-06-19,10.140000343322754
2024-06-20,10.149999618530273
2024-06-21,10.100000381469727
2024-06-24,10.119999885559082
2024-06-25,10.140000343322754
2024-06-26,10.1899995803833
2024-06-27,10.229999542236328
2024-06-28,10.289999961853027
2024-07-01,10.289999961853027
2024-07-02,10.350000381469727
2024-07-03,10.380000114440918
2024-07-04,10.4399995803833
2024-07-05,10.460000038146973
2024-07-08,10.460000038146973
2024-07-09,10.529999732971191
2024-07-10,10.470000267028809
2024-07-11,10.430000305175781
2024-07-12,10.529999732971191
2024-07-15,10.5600004196167
2024-07-16,10.579999923706055
2024-07-18,10.579999923706055
2024-07-19,10.460000038146973
2024-07-22,10.489999771118164
2024-07-23,10.470000267028809
2024-07-24,10.460000038146973
2024-07-25,10.4399995803833
2024-07-26,10.59000015258789
2024-07-29,10.680000305175781
2024-07-30,10.649999618530273
2024-07-31,10.720000267028809
2024-08-01,10.710000038146973
2024-08-02,10.619999885559082
2024-08-05,10.359999656677246
2024-08-06,10.289999961853027
2024-08-07,10.359999656677246
2024-08-08,10.380000114440918
2024-08-09,10.4399995803833
2024-08-12,10.460000038146973
2024-08-13,10.380000114440918
2024-08-14,10.380000114440918
2024-08-16,10.550000190734863
2024-08-19,10.569999694824219
2024-08-20,10.619999885559082
2024-08-21,10.640000343322754
2024-08-22,10.680000305175781
2024-08-23,10.710000038146973
2024-08-26,10.720000267028809
2024-08-28,10.770000457763672
2024-08-29,10.760000228881836
2024-08-30,10.850000381469727
2024-09-02,10.880000114440918
2024-09-03,10.869999885559082
2024-09-04,10.84000015258789
2024-09-05,10.8100004196167
2024-09-06,10.6899995803833
2024-09-09,10.729999542236328
2024-09-10,10.770000457763672
2024-09-11,10.720000267028809
2024-09-12,10.859999656677246
2024-09-13,10.899999618530273
2024-09-16,10.90999984741211
2024-09-17,10.9399995803833
2024-09-18,10.880000114440918
2024-09-19,10.890000343322754
2024-09-20,11.079999923706055
2024-09-23,11.15999984741211
2024-09-24,11.15999984741211
2024-09-25,11.15999984741211
2024-09-26,11.210000038146973
2024-09-27,11.25
2024-09-30,11.109999656677246
2024-10-01,11.100000381469727
2024-10-03,10.890000343322754
2024-10-04,10.850000381469727
2024-10-07,10.800000190734863
2024-10-08,10.739999771118164
2024-10-09,10.75
2024-10-10,10.779999732971191
2024-10-11,10.789999961853027
2024-10-14,10.789999961853027
2024-10-15,10.800000190734863
2024-10-16,10.739999771118164
2024-10-17,10.649999618530273
2024-10-18,10.720000267028809
2024-10-21,10.630000114440918
2024-10-22,10.479999542236328
2024-10-23,10.460000038146973
2024-10-24,10.4399995803833
2024-10-25,10.34000015258789
2024-10-28,10.399999618530273
2024-10-29,10.449999809265137
2024-10-31,10.359999656677246
2024-11-01,10.449999809265137
2024-11-04,10.270000457763672
2024-11-06,10.489999771118164
2024-11-07,10.380000114440918
2024-11-08,10.3100004196167
2024-11-11,10.34000015258789
2024-11-12,10.220000267028809
2024-11-13,10.069999694824219
2024-11-14,10.079999923706055
2024-11-18,10.029999732971191
2024-11-19,10.09000015258789
2024-11-21,9.989999771118164
2024-11-22,10.170000076293945
2024-11-25,10.34000015258789
2024-11-26,10.3100004196167
2024-11-27,10.34000015258789
2024-11-28,10.260000228881836
2024-11-29,10.319999694824219
2024-12-02,10.380000114440918
2024-12-03,10.470000267028809
2024-12-04,10.479999542236328
2024-12-05,10.5600004196167
2024-12-06,10.59000015258789
2024-12-09,10.869999885559082
2024-12-10,10.59000015258789
2024-12-11,10.579999923706055
2024-12-12,10.539999961853027
2024-12-13,10.579999923706055
2024-12-16,10.5600004196167
2024-12-17,10.460000038146973
2024-12-18,10.380000114440918
2024-12-19,10.279999732971191
2024-12-20,10.130000114440918
2024-12-23,10.180000305175781
2024-12-24,10.15999984741211
2024-12-26,10.180000305175781
2024-12-27,10.180000305175781
2024-12-30,10.109999656677246
2024-12-31,10.100000381469727
2025-01-01,10.170000076293945
2025-01-02,10.350000381469727
2025-01-03,10.289999961853027
2025-01-06,10.100000381469727
2025-01-07,10.109999656677246
2025-01-08,10.0600004196167
2025-01-09,10.010000228881836
2025-01-10,9.9399995803833
2025-01-13,9.75
2025-01-14,9.84000015258789
2025-01-15,9.850000381469727
2025-01-16,9.90999984741211
2025-01-17,9.920000076293945
2025-01-20,9.949999809265137
2025-01-21,9.789999961853027
2025-01-22,9.819999694824219
2025-01-23,9.850000381469727
2025-01-24,9.789999961853027
2025-01-27,9.649999618530273
2025-01-28,9.699999809265137
2025-01-29,9.819999694824219
2025-01-30,9.850000381469727
2025-01-31,9.949999809265137
2025-02-01,9.90999984741211
2025-02-03,9.850000381469727
2025-02-04,10.010000228881836
2025-02-05,10.039999961853027
2025-02-06,10.0
2025-02-07,9.979999542236328
2025-02-10,9.890000343322754
2025-02-11,9.729999542236328
2025-02-12,9.729999542236328
2025-02-13,9.729999542236328
2025-02-14,9.65999984741211
2025-02-17,9.65999984741211
2025-02-18,9.649999618530273
2025-02-19,9.680000305175781
2025-02-20,9.699999809265137
2025-02-21,9.640000343322754
2025-02-24,9.539999961853027
2025-02-25,9.520000457763672
2025-02-27,9.5
2025-02-28,9.399999618530273
2025-03-03,9.329999923706055
2025-03-04,9.300000190734863
2025-03-05,9.430000305175781
2025-03-06,9.539999961853027
2025-03-07,9.529999732971191
2025-03-10,9.470000267028809
2025-03-11,9.460000038146973
2025-03-12,9.479999542236328
2025-03-13,9.470000267028809
2025-03-17,9.520000457763672
2025-03-18,9.640000343322754
2025-03-19,9.729999542236328
2025-03-20,9.829999923706055
