Date,COPEC.SN
2015-08-24,6040.6015625
2015-08-25,6091.4111328125
2015-08-26,6138.251953125
2015-08-27,6408.3642578125
2015-08-28,6546.95263671875
2015-08-31,6555.5673828125
2015-09-01,6545.5
2015-09-02,6577.53564453125
2015-09-03,6615.9560546875
2015-09-04,6423.1708984375
2015-09-07,6419.203125
2015-09-08,6316.1328125
2015-09-09,6324.94140625
2015-09-10,6410.30029296875
2015-09-11,6357.74755859375
2015-09-14,6358.2314453125
2015-09-15,6408.5576171875
2015-09-16,6437.6875
2015-09-17,6401.5908203125
2015-09-21,6409.236328125
2015-09-22,6384.9423828125
2015-09-23,6241.61279296875
2015-09-24,6199.2216796875
2015-09-25,6213.5458984375
2015-09-28,6097.89453125
2015-09-29,6117.63671875
2015-09-30,6112.2177734375
2015-10-01,6095.6689453125
2015-10-02,6112.70166015625
2015-10-05,6212.8681640625
2015-10-06,6225.35400390625
2015-10-07,6265.8076171875
2015-10-08,6247.90283203125
2015-10-09,6289.0341796875
2015-10-13,6260.96875
2015-10-14,6203.8681640625
2015-10-15,6208.32080078125
2015-10-16,6169.22216796875
2015-10-19,6212.09375
2015-10-20,6232.9990234375
2015-10-21,6250.32275390625
2015-10-22,6284.9697265625
2015-10-23,6349.908203125
2015-10-26,6343.6201171875
2015-10-27,6324.1669921875
2015-10-28,6273.74365234375
2015-10-29,6242.38671875
2015-10-30,6269.96875
2015-11-02,6376.5224609375
2015-11-03,6477.75390625
2015-11-04,6542.50048828125
2015-11-05,6590.4052734375
2015-11-06,6562.53369140625
2015-11-09,6504.94921875
2015-11-10,6457.044921875
2015-11-11,6369.65185546875
2015-11-12,6264.45263671875
2015-11-13,6203.8681640625
2015-11-16,6091.5078125
2015-11-17,6041.18212890625
2015-11-18,6201.544921875
2015-11-19,6308.8740234375
2015-11-20,6420.55859375
2015-11-23,6231.2578125
2015-11-24,6066.14990234375
2015-11-25,6003.82568359375
2015-11-26,6017.76123046875
2015-11-27,5970.82373046875
2015-11-30,5899.88330078125
2015-12-01,5889.4306640625
2015-12-02,5794.78125
2015-12-03,5839.68603515625
2015-12-04,5904.0439453125
2015-12-07,5902.30224609375
2015-12-09,5743.10009765625
2015-12-10,5777.94140625
2015-12-11,5671.77392578125
2015-12-14,5806.796875
2015-12-15,5864.109375
2015-12-16,5989.2607421875
2015-12-17,5975.322265625
2015-12-18,5864.109375
2015-12-21,5842.37353515625
2015-12-22,5826.38916015625
2015-12-23,5946.66748046875
2015-12-24,5922.787109375
2015-12-28,5862.55029296875
2015-12-29,5869.08154296875
2015-12-30,5929.318359375
2015-12-31,5929.318359375
2016-01-04,5771.70703125
2016-01-05,5754.0654296875
2016-01-06,5703.08984375
2016-01-07,5576.27978515625
2016-01-08,5576.86474609375
2016-01-11,5580.5693359375
2016-01-12,5475.59326171875
2016-01-13,5370.4228515625
2016-01-14,5395.86279296875
2016-01-15,5279.77490234375
2016-01-18,5241.66455078125
2016-01-19,5288.15673828125
2016-01-20,5218.8564453125
2016-01-21,5295.76025390625
2016-01-22,5410.48291015625
2016-01-25,5490.60302734375
2016-01-26,5515.75048828125
2016-01-27,5524.91357421875
2016-01-28,5707.47509765625
2016-01-29,6053.10546875
2016-02-01,6054.080078125
2016-02-02,5758.7451171875
2016-02-03,5628.03759765625
2016-02-04,5838.9619140625
2016-02-05,5715.17431640625
2016-02-08,5703.96728515625
2016-02-09,5585.052734375
2016-02-10,5721.607421875
2016-02-11,5657.8623046875
2016-02-12,5725.11669921875
2016-02-15,5733.8896484375
2016-02-16,5868.3017578125
2016-02-17,5935.84912109375
2016-02-18,5942.37890625
2016-02-19,5926.4912109375
2016-02-22,5914.30712890625
2016-02-23,5779.798828125
2016-02-24,5759.8173828125
2016-02-25,5753.18798828125
2016-02-26,5812.7431640625
2016-02-29,5727.74853515625
2016-03-01,5762.54638671875
2016-03-02,5801.1435546875
2016-03-03,5963.0419921875
2016-03-04,5975.03076171875
2016-03-07,6028.34619140625
2016-03-08,6016.5537109375
2016-03-09,6036.73046875
2016-03-10,6049.01171875
2016-03-11,6030.783203125
2016-03-14,6020.55029296875
2016-03-15,6019.283203125
2016-03-16,6040.140625
2016-03-17,6102.23046875
2016-03-18,6332.84619140625
2016-03-21,6310.23046875
2016-03-22,6293.66064453125
2016-03-23,6124.939453125
2016-03-24,6138.78173828125
2016-03-28,6044.2333984375
2016-03-29,6172.896484375
2016-03-30,6225.724609375
2016-03-31,6250.8720703125
2016-04-01,6313.4482421875
2016-04-04,6306.041015625
2016-04-05,6163.73388671875
2016-04-06,6076.302734375
2016-04-07,6138.29443359375
2016-04-08,6232.0595703125
2016-04-11,6220.46142578125
2016-04-12,6262.2763671875
2016-04-13,6263.83642578125
2016-04-14,6298.9248046875
2016-04-15,6356.43212890625
2016-04-18,6276.21484375
2016-04-19,6246.09521484375
2016-04-20,6275.7275390625
2016-04-21,6344.34716796875
2016-04-22,6363.060546875
2016-04-25,6310.03564453125
2016-04-26,6283.134765625
2016-04-27,6356.33447265625
2016-04-28,6408.38525390625
2016-04-29,6432.556640625
2016-05-02,6392.5947265625
2016-05-03,6390.7421875
2016-05-04,6426.31884765625
2016-05-05,6421.2509765625
2016-05-06,6431.9716796875
2016-05-09,6327.87646484375
2016-05-10,6259.84228515625
2016-05-11,6193.46337890625
2016-05-12,6185.66650390625
2016-05-13,6148.4326171875
2016-05-16,6098.52587890625
2016-05-17,5994.81591796875
2016-05-18,5893.93115234375
2016-05-19,5765.17236328125
2016-05-20,5834.0849609375
2016-05-23,5865.373046875
