Date,EIDPARRY.NS
2015-08-21,125.62508392333984
2015-08-24,121.02462768554688
2015-08-25,121.20682525634766
2015-08-26,126.26280212402344
2015-08-27,124.71411895751953
2015-08-28,125.94395446777344
2015-08-31,121.57120513916016
2015-09-01,117.42622375488281
2015-09-02,120.5235824584961
2015-09-03,118.70160675048828
2015-09-04,117.60841369628906
2015-09-07,116.5152359008789
2015-09-08,114.82991027832031
2015-09-09,115.69534301757812
2015-09-10,115.604248046875
2015-09-11,117.06183624267578
2015-09-14,116.28749084472656
2015-09-15,116.15082550048828
2015-09-16,116.10528564453125
2015-09-18,120.93353271484375
2015-09-21,123.52983856201172
2015-09-22,123.98531341552734
2015-09-23,120.97907257080078
2015-09-24,120.02253723144531
2015-09-28,122.39112091064453
2015-09-29,120.47803497314453
2015-09-30,119.61259460449219
2015-10-01,119.33929443359375
2015-10-05,120.66022491455078
2015-10-06,124.66856384277344
2015-10-07,127.72036743164062
2015-10-08,132.0930938720703
2015-10-09,139.33544921875
2015-10-12,137.74122619628906
2015-10-13,145.89456176757812
2015-10-14,144.89248657226562
2015-10-15,148.49085998535156
2015-10-16,146.21339416503906
2015-10-19,157.0086212158203
2015-10-20,163.8409881591797
2015-10-21,159.74154663085938
2015-10-23,160.2881622314453
2015-10-26,162.79336547851562
2015-10-27,161.51797485351562
2015-10-28,160.51588439941406
2015-10-29,160.74363708496094
2015-10-30,158.2839813232422
2015-11-02,160.51588439941406
2015-11-03,169.6713104248047
2015-11-04,166.7561492919922
2015-11-05,157.05413818359375
2015-11-06,154.45785522460938
2015-11-09,159.19497680664062
2015-11-10,153.50131225585938
2015-11-13,165.52633666992188
2015-11-16,173.99850463867188
2015-11-17,190.39627075195312
2015-11-18,183.74606323242188
2015-11-19,177.6424560546875
2015-11-20,176.4581756591797
2015-11-23,176.3670654296875
2015-11-24,177.4602508544922
2015-11-26,174.81838989257812
2015-11-27,173.26971435546875
2015-11-30,169.2613983154297
2015-12-01,169.9446258544922
2015-12-02,174.72731018066406
2015-12-03,171.4022216796875
2015-12-04,167.94046020507812
2015-12-07,168.80587768554688
2015-12-08,166.7106170654297
2015-12-09,159.51380920410156
2015-12-10,159.87820434570312
2015-12-11,158.3295440673828
2015-12-14,158.51173400878906
2015-12-15,168.57814025878906
2015-12-16,165.4352264404297
2015-12-17,173.04196166992188
2015-12-18,173.04196166992188
2015-12-21,176.4126434326172
2015-12-22,179.96548461914062
2015-12-23,176.64036560058594
2015-12-24,177.73355102539062
2015-12-28,175.5471954345703
2015-12-29,176.95921325683594
2015-12-30,179.50999450683594
2015-12-31,180.7853546142578
2016-01-01,184.1104736328125
2016-01-04,183.60940551757812
2016-01-05,178.82675170898438
2016-01-06,175.22836303710938
2016-01-07,169.853515625
2016-01-08,185.112548828125
2016-01-11,182.92617797851562
2016-01-12,174.5906524658203
2016-01-13,175.00059509277344
2016-01-14,170.81005859375
2016-01-15,163.8865509033203
2016-01-18,159.87820434570312
2016-01-19,167.48497009277344
2016-01-20,162.79336547851562
2016-01-21,158.92164611816406
