Date,OTIS
2020-03-19,41.95036697387695
2020-03-20,41.718597412109375
2020-03-23,37.08319854736328
2020-03-24,37.08319854736328
2020-03-25,38.019554138183594
2020-03-26,41.718597412109375
2020-03-27,41.936458587646484
2020-03-30,46.35400390625
2020-03-31,46.35400390625
2020-04-01,43.294647216796875
2020-04-02,40.79152297973633
2020-04-03,43.86943054199219
2020-04-06,42.590049743652344
2020-04-07,41.05111312866211
2020-04-08,40.87495803833008
2020-04-09,45.55671310424805
2020-04-13,42.64568328857422
2020-04-14,42.543697357177734
2020-04-15,41.30142593383789
2020-04-16,42.29339599609375
2020-04-17,42.784751892089844
2020-04-20,42.080162048339844
2020-04-21,42.55297088623047
2020-04-22,43.619117736816406
2020-04-23,44.00849914550781
2020-04-24,44.36078643798828
2020-04-27,44.70381164550781
2020-04-28,46.224220275878906
2020-04-29,47.420135498046875
2020-04-30,47.19764709472656
2020-05-01,46.085147857666016
2020-05-04,45.918277740478516
2020-05-05,44.583282470703125
2020-05-06,44.7872428894043
2020-05-07,48.032020568847656
2020-05-08,49.08889389038086
2020-05-11,48.032020568847656
2020-05-12,46.09441375732422
2020-05-13,44.69453048706055
2020-05-14,44.49983596801758
2020-05-15,45.3249397277832
2020-05-18,48.32868576049805
2020-05-19,48.495567321777344
2020-05-20,49.30210876464844
2020-05-21,48.418060302734375
2020-05-22,48.12028121948242
2020-05-26,47.357200622558594
2020-05-27,48.74376678466797
2020-05-28,47.422340393066406
2020-05-29,48.99503707885742
2020-06-01,50.325767517089844
2020-06-02,50.39090347290039
2020-06-03,51.619266510009766
2020-06-04,51.55412292480469
2020-06-05,54.504058837890625
2020-06-08,57.007320404052734
2020-06-09,56.439674377441406
2020-06-10,54.932125091552734
2020-06-11,52.34511184692383
2020-06-12,52.14970016479492
2020-06-15,53.666542053222656
2020-06-16,53.834049224853516
2020-06-17,52.80110549926758
2020-06-18,53.49903106689453
2020-06-19,53.043060302734375
2020-06-22,53.098880767822266
2020-06-23,52.85693359375
2020-06-24,51.68439865112305
2020-06-25,52.298583984375
2020-06-26,51.91705322265625
2020-06-29,52.64290237426758
2020-06-30,52.91277313232422
2020-07-01,51.90774154663086
2020-07-02,52.5777587890625
2020-07-06,52.91277313232422
2020-07-07,52.875545501708984
2020-07-08,52.96860885620117
2020-07-09,52.21483612060547
2020-07-10,53.024436950683594
2020-07-13,52.94068908691406
2020-07-14,53.387367248535156
2020-07-15,54.15974807739258
2020-07-16,54.27140808105469
2020-07-17,54.485450744628906
2020-07-20,54.4947509765625
2020-07-21,54.383079528808594
2020-07-22,54.420310974121094
2020-07-23,54.96004867553711
2020-07-24,54.094608306884766
2020-07-27,54.27140808105469
2020-07-28,56.09535217285156
2020-07-29,59.8362922668457
2020-07-30,58.98945236206055
2020-07-31,58.38458251953125
2020-08-03,58.82195281982422
2020-08-04,58.26360321044922
2020-08-05,58.71028518676758
2020-08-06,59.07321548461914
2020-08-07,59.93865966796875
2020-08-10,60.68311309814453
2020-08-11,59.90142059326172
2020-08-12,60.394630432128906
2020-08-13,59.55710983276367
2020-08-14,59.622249603271484
2020-08-17,59.5198860168457
2020-08-18,59.04529571533203
2020-08-19,58.55207824707031
2020-08-20,58.78547286987305
2020-08-21,59.40160369873047
2020-08-24,59.56031799316406
2020-08-25,60.01774597167969
2020-08-26,59.91505432128906
2020-08-27,59.0281867980957
2020-08-28,59.36427307128906
2020-08-31,58.720123291015625
2020-09-01,59.793701171875
2020-09-02,60.99797439575195
2020-09-03,57.73989486694336
2020-09-04,57.40381622314453
2020-09-08,56.60097122192383
2020-09-09,57.95462417602539
2020-09-10,55.91947555541992
2020-09-11,56.143531799316406
2020-09-14,56.003501892089844
2020-09-15,56.292903900146484
2020-09-16,55.81679916381836
2020-09-17,56.98372268676758
2020-09-18,56.83436584472656
2020-09-21,55.46204376220703
2020-09-22,56.93705368041992
2020-09-23,56.39558792114258
2020-09-24,57.95462417602539
2020-09-25,57.45983123779297
2020-09-28,58.35604476928711
2020-09-29,58.2626838684082
2020-09-30,58.27201461791992
2020-10-01,58.22533416748047
2020-10-02,58.96284484863281
2020-10-05,60.25115203857422
2020-10-06,59.588321685791016
2020-10-07,60.72724914550781
2020-10-08,60.40983200073242
2020-10-09,61.00730895996094
2020-10-12,61.324729919433594
2020-10-13,60.80193328857422
2020-10-14,61.250030517578125
2020-10-15,60.86728286743164
2020-10-16,60.70857620239258
2020-10-19,60.08309555053711
2020-10-20,60.11111068725586
2020-10-21,59.485633850097656
2020-10-22,59.03752517700195
2020-10-23,59.23358154296875
2020-10-26,59.009521484375
2020-10-27,57.851924896240234
2020-10-28,55.06995391845703
2020-10-29,56.75033187866211
2020-10-30,57.20777893066406
2020-11-02,58.010623931884766
2020-11-03,58.542747497558594
2020-11-04,58.15999984741211
2020-11-05,58.46806335449219
2020-11-06,59.35493087768555
2020-11-09,59.28025436401367
2020-11-10,61.37138366699219
2020-11-11,61.72612762451172
2020-11-12,61.60479736328125
2020-11-13,61.21268081665039
2020-11-16,62.91172790527344
2020-11-17,62.7343635559082
2020-11-18,62.202247619628906
2020-11-19,61.94942855834961
2020-11-20,62.0992546081543
2020-11-23,62.970062255859375
2020-11-24,63.11052703857422
2020-11-25,63.09178161621094
2020-11-27,63.05432891845703
2020-11-30,62.67979049682617
2020-12-01,62.5767936706543
2020-12-02,61.50935745239258
2020-12-03,61.32208251953125
2020-12-04,61.01308059692383
2020-12-07,60.72279739379883
2020-12-08,61.90262222290039
2020-12-09,61.32208251953125
2020-12-10,59.926910400390625
