Date,UBSG.SW
2015-08-24,13.207374572753906
2015-08-25,13.755398750305176
2015-08-26,13.392332077026367
2015-08-27,13.604692459106445
2015-08-28,13.66634750366211
2015-08-31,13.721148490905762
2015-09-01,13.447134971618652
2015-09-02,13.474536895751953
2015-09-03,13.7142972946167
2015-09-04,13.426583290100098
2015-09-07,13.44028377532959
2015-09-08,13.632092475891113
2015-09-09,13.912954330444336
2015-09-10,13.734847068786621
2015-09-11,13.734847068786621
2015-09-14,13.474536895751953
2015-09-15,13.371779441833496
2015-09-16,13.303279876708984
2015-09-17,13.186822891235352
2015-09-18,12.95778751373291
2015-09-21,13.041075706481934
2015-09-22,12.659350395202637
2015-09-23,12.458078384399414
2015-09-24,12.124938011169434
2015-09-25,12.58300495147705
2015-09-28,12.333149909973145
2015-09-29,12.326210975646973
2015-09-30,12.499722480773926
2015-10-01,12.645468711853027
2015-10-02,12.756515502929688
2015-10-05,13.207646369934082
2015-10-06,13.332572937011719
2015-10-07,13.388094902038574
2015-10-08,13.25622844696045
2015-10-09,13.207646369934082
2015-10-12,13.207646369934082
2015-10-13,13.068836212158203
2015-10-14,12.985550880432129
2015-10-15,13.131298065185547
2015-10-16,13.533845901489258
2015-10-19,13.436678886413574
2015-10-20,13.29093074798584
2015-10-21,13.207646369934082
2015-10-22,13.568547248840332
2015-10-23,13.94333267211914
2015-10-26,13.978034019470215
2015-10-27,13.887807846069336
2015-10-28,13.873926162719727
2015-10-29,13.755937576293945
2015-10-30,13.728178024291992
2015-11-02,13.89474868774414
2015-11-03,13.304810523986816
2015-11-04,13.270109176635742
2015-11-05,13.360335350036621
2015-11-06,13.790642738342285
2015-11-09,13.665711402893066
2015-11-10,13.617131233215332
2015-11-11,13.59631061553955
2015-11-12,13.3533935546875
2015-11-13,13.318693161010742
2015-11-16,13.110479354858398
2015-11-17,13.58936882019043
2015-11-18,13.707355499267578
2015-11-19,13.880867958068848
2015-11-20,13.776761054992676
2015-11-23,13.658772468566895
2015-11-24,13.485260963439941
2015-11-25,13.658772468566895
2015-11-26,13.658772468566895
2015-11-27,13.742058753967285
2015-11-30,13.707355499267578
2015-12-01,13.790642738342285
2015-12-02,13.818404197692871
2015-12-03,13.513021469116211
2015-12-04,13.506081581115723
2015-12-07,13.443620681762695
2015-12-08,13.152121543884277
2015-12-09,13.034133911132812
2015-12-10,12.999430656433105
2015-12-11,12.638528823852539
2015-12-14,12.416435241699219
2015-12-15,12.874503135681152
2015-12-16,12.936966896057129
2015-12-17,13.27704906463623
2015-12-18,13.346451759338379
2015-12-21,13.166001319885254
2015-12-22,13.172943115234375
2015-12-23,13.401975631713867
2015-12-28,13.471379280090332
2015-12-29,13.68653392791748
