Date,BARC.L
2015-08-24,244.01226806640625
2015-08-25,255.62950134277344
2015-08-26,251.291748046875
2015-08-27,261.8619079589844
2015-08-28,260.71514892578125
2015-09-01,252.43849182128906
2015-09-02,253.08665466308594
2015-09-03,256.5768737792969
2015-09-04,250.19482421875
2015-09-07,252.28892517089844
2015-09-08,257.7734375
2015-09-09,261.76220703125
2015-09-10,257.8731384277344
2015-09-11,257.72357177734375
2015-09-14,253.78469848632812
2015-09-15,258.920166015625
2015-09-16,261.76220703125
2015-09-17,259.7179870605469
2015-09-18,252.5382080078125
2015-09-21,254.18359375
2015-09-22,245.9567413330078
2015-09-23,247.50242614746094
2015-09-24,245.75733947753906
2015-09-25,254.23342895507812
2015-09-28,244.51084899902344
2015-09-29,238.3282470703125
2015-09-30,243.46376037597656
2015-10-01,246.4553680419922
2015-10-02,247.85140991210938
2015-10-05,255.4799346923828
2015-10-06,254.63229370117188
2015-10-07,255.0312042236328
2015-10-08,254.0340118408203
2015-10-09,256.2776184082031
2015-10-12,255.82891845703125
2015-10-13,250.6934051513672
2015-10-14,245.35842895507812
2015-10-15,247.30294799804688
2015-10-16,250.09507751464844
2015-10-19,253.93426513671875
2015-10-20,251.89007568359375
2015-10-21,247.35284423828125
2015-10-22,249.94552612304688
2015-10-23,250.54383850097656
2015-10-26,250.2446746826172
2015-10-27,250.14495849609375
2015-10-28,252.43849182128906
2015-10-29,236.58319091796875
2015-10-30,231.34791564941406
2015-11-02,235.38658142089844
2015-11-03,232.84375
2015-11-04,231.69696044921875
2015-11-05,227.51853942871094
2015-11-06,231.7567901611328
2015-11-09,233.40225219726562
2015-11-10,229.9617919921875
2015-11-11,231.45762634277344
2015-11-12,225.07533264160156
2015-11-13,224.4770050048828
2015-11-16,223.77891540527344
2015-11-17,226.82049560546875
2015-11-18,227.26927185058594
2015-11-19,229.31358337402344
2015-11-20,221.28587341308594
2015-11-23,219.93959045410156
2015-11-24,219.44097900390625
2015-11-25,220.88694763183594
2015-11-26,224.57675170898438
2015-11-27,223.67922973632812
2015-11-30,222.58226013183594
2015-12-01,232.85374450683594
2015-12-02,234.1002960205078
2015-12-03,229.66262817382812
2015-12-04,228.96453857421875
2015-12-07,227.3689727783203
2015-12-08,221.48526000976562
2015-12-09,221.3357391357422
2015-12-10,217.39663696289062
2015-12-11,210.615478515625
2015-12-14,208.52130126953125
2015-12-15,214.20550537109375
2015-12-16,215.1528778076172
2015-12-17,218.14459228515625
2015-12-18,216.99778747558594
2015-12-21,215.80108642578125
2015-12-22,218.3938751220703
2015-12-23,221.6847381591797
2015-12-24,221.08639526367188
2015-12-29,221.98391723632812
2015-12-30,220.08917236328125
2015-12-31,218.29417419433594
2016-01-04,213.65701293945312
2016-01-05,214.6542510986328
2016-01-06,211.16395568847656
2016-01-07,204.9811248779297
2016-01-08,199.59603881835938
2016-01-11,199.14727783203125
2016-01-12,201.78994750976562
2016-01-13,201.14175415039062
2016-01-14,197.15281677246094
2016-01-15,191.26918029785156
2016-01-18,187.13064575195312
2016-01-19,189.37440490722656
2016-01-20,181.54612731933594
2016-01-21,185.63478088378906
2016-01-22,190.22206115722656
2016-01-25,181.34669494628906
2016-01-26,182.49349975585938
2016-01-27,181.29681396484375
2016-01-28,177.90623474121094
2016-01-29,185.48519897460938
2016-02-01,182.29408264160156
2016-02-02,173.26907348632812
2016-02-03,165.14166259765625
2016-02-04,173.16940307617188
2016-02-05,172.67076110839844
2016-02-08,163.4463653564453
2016-02-09,155.81756591796875
2016-02-10,158.55992126464844
2016-02-11,147.4407958984375
2016-02-12,156.76492309570312
2016-02-15,160.30508422851562
2016-02-16,161.003173828125
2016-02-17,167.6846160888672
2016-02-18,161.30233764648438
2016-02-19,161.25247192382812
2016-02-22,164.6929168701172
2016-02-23,161.1029052734375
2016-02-24,156.31614685058594
2016-02-25,164.39376831054688
2016-02-26,168.63197326660156
2016-02-29,171.57383728027344
2016-03-01,157.66244506835938
2016-03-02,161.95053100585938
2016-03-03,165.83973693847656
2016-03-04,173.81761169433594
2016-03-07,173.21926879882812
2016-03-08,171.52394104003906
2016-03-09,167.7344512939453
2016-03-10,159.49066162109375
2016-03-11,165.57501220703125
2016-03-14,162.83204650878906
2016-03-15,163.13128662109375
2016-03-16,163.5801544189453
2016-03-17,160.1888427734375
2016-03-18,161.7847442626953
2016-03-21,160.08912658691406
2016-03-22,156.7975311279297
2016-03-23,156.0494384765625
2016-03-24,152.20936584472656
2016-03-29,150.61341857910156
2016-03-30,151.2617645263672
2016-03-31,149.61599731445312
2016-04-01,149.61599731445312
2016-04-04,149.86532592773438
2016-04-05,146.22471618652344
2016-04-06,149.16712951660156
2016-04-07,146.7234344482422
2016-04-08,150.31417846679688
2016-04-11,153.1070098876953
2016-04-12,155.25152587890625
2016-04-13,166.3729705810547
2016-04-14,168.5673065185547
2016-04-15,166.47271728515625
2016-04-18,167.27066040039062
2016-04-19,167.37042236328125
2016-04-20,170.71180725097656
2016-04-21,171.509765625
2016-04-22,171.06092834472656
2016-04-25,169.91387939453125
2016-04-26,173.5046844482422
2016-04-27,174.3524932861328
2016-04-28,173.9534912109375
2016-04-29,171.06092834472656
2016-05-03,164.3282470703125
2016-05-04,162.03411865234375
2016-05-05,160.53799438476562
2016-05-06,161.58523559570312
2016-05-09,158.0443115234375
2016-05-10,162.88192749023438
2016-05-11,163.18112182617188
2016-05-12,162.43309020996094
2016-05-13,164.9267120361328
2016-05-16,163.08145141601562
2016-05-17,163.8295135498047
2016-05-18,169.96377563476562
2016-05-19,170.21311950683594
