Date,CONCOR.NS
2015-08-21,467.5383605957031
2015-08-24,449.3803405761719
2015-08-25,434.78802490234375
2015-08-26,434.3685302734375
2015-08-27,448.3193054199219
2015-08-28,430.33245849609375
2015-08-31,428.2737121582031
2015-09-01,439.79913330078125
2015-09-02,439.1981201171875
2015-09-03,419.6334228515625
2015-09-04,407.9126892089844
2015-09-07,390.4067077636719
2015-09-08,397.7696838378906
2015-09-09,421.9175109863281
2015-09-10,445.7196350097656
2015-09-11,446.2606506347656
2015-09-14,454.4501647949219
2015-09-15,439.6789855957031
2015-09-16,415.0052185058594
2015-09-18,423.49530029296875
2015-09-21,414.4942932128906
2015-09-22,419.70855712890625
2015-09-23,421.8724060058594
2015-09-24,407.8825988769531
2015-09-28,397.2437744140625
2015-09-29,416.8534851074219
2015-09-30,446.3056945800781
2015-10-01,452.4966125488281
2015-10-05,463.8567810058594
2015-10-06,452.79718017578125
2015-10-07,457.7108459472656
2015-10-08,462.8199157714844
2015-10-09,462.57952880859375
2015-10-12,462.72979736328125
2015-10-13,448.3793640136719
2015-10-14,450.10748291015625
2015-10-15,447.5980224609375
2015-10-16,434.5849304199219
2015-10-19,447.26739501953125
2015-10-20,443.7210693359375
2015-10-21,441.9029235839844
2015-10-23,407.2364807128906
2015-10-26,404.6067810058594
2015-10-27,398.34075927734375
2015-10-28,405.6737060546875
2015-10-29,396.9582824707031
2015-10-30,398.25054931640625
2015-11-02,398.7013854980469
2015-11-03,404.4565124511719
2015-11-04,405.43328857421875
2015-11-05,412.99169921875
2015-11-06,421.9776611328125
2015-11-09,422.45843505859375
2015-11-10,419.82879638671875
2015-11-13,422.17291259765625
2015-11-16,414.0736083984375
2015-11-17,415.2607421875
2015-11-18,410.6024169921875
2015-11-19,404.6067810058594
2015-11-20,408.9795837402344
2015-11-23,412.31549072265625
2015-11-24,426.98150634765625
2015-11-26,427.0265197753906
2015-11-27,423.089599609375
2015-11-30,421.64703369140625
2015-12-01,426.83123779296875
2015-12-02,430.8583068847656
2015-12-03,434.6150207519531
2015-12-04,424.65234375
2015-12-07,428.64935302734375
2015-12-08,428.0633544921875
2015-12-09,402.8486633300781
2015-12-10,406.0343933105469
2015-12-11,397.7696838378906
2015-12-14,394.70428466796875
2015-12-15,394.3887634277344
2015-12-16,390.6320495605469
2015-12-17,386.3194274902344
2015-12-18,390.93255615234375
2015-12-21,390.42169189453125
2015-12-22,392.7958984375
2015-12-23,392.3751525878906
2015-12-24,392.7658386230469
2015-12-28,393.6373596191406
2015-12-29,390.1812744140625
2015-12-30,385.3126525878906
2015-12-31,394.59912109375
2016-01-01,417.1390686035156
2016-01-04,405.34307861328125
2016-01-05,394.3736877441406
2016-01-06,387.0707702636719
2016-01-07,380.068359375
2016-01-08,383.0135803222656
2016-01-11,385.0572204589844
2016-01-12,377.9495849609375
2016-01-13,370.9020690917969
2016-01-14,367.8668212890625
2016-01-15,368.0921325683594
2016-01-18,347.1299743652344
2016-01-19,354.9889831542969
2016-01-20,364.39556884765625
2016-01-21,362.69757080078125
2016-01-22,360.63897705078125
2016-01-25,363.8245849609375
2016-01-27,363.8996887207031
2016-01-28,361.37518310546875
2016-01-29,356.6869201660156
2016-02-01,358.9859924316406
2016-02-02,349.81976318359375
2016-02-03,332.0582580566406
2016-02-04,333.6661071777344
2016-02-05,338.83526611328125
2016-02-08,345.1914978027344
2016-02-09,342.1561279296875
2016-02-10,331.4571838378906
2016-02-11,329.1581726074219
2016-02-12,324.75537109375
2016-02-15,346.8594970703125
2016-02-16,347.5807800292969
2016-02-17,353.9370422363281
2016-02-18,342.306396484375
2016-02-19,336.5061340332031
2016-02-22,348.437255859375
2016-02-23,341.1343688964844
2016-02-24,340.6084289550781
2016-02-25,349.81976318359375
2016-02-26,351.7131042480469
2016-02-29,348.1366882324219
2016-03-01,356.5216064453125
2016-03-02,364.3805847167969
2016-03-03,358.23468017578125
2016-03-04,371.7135314941406
2016-03-08,368.60302734375
2016-03-09,359.1362609863281
2016-03-10,349.63946533203125
2016-03-11,344.8760070800781
2016-03-14,347.8212585449219
2016-03-15,345.3418273925781
2016-03-16,346.84454345703125
2016-03-17,351.6229553222656
2016-03-18,344.9662170410156
2016-03-21,360.4886474609375
2016-03-22,364.86138916015625
2016-03-23,367.0252685546875
2016-03-28,368.5880126953125
2016-03-29,358.2947692871094
2016-03-30,373.74212646484375
2016-03-31,373.66705322265625
2016-04-01,378.1900329589844
2016-04-04,382.9383850097656
2016-04-05,377.13812255859375
2016-04-06,381.6761169433594
2016-04-07,382.86328125
2016-04-08,381.1202087402344
2016-04-11,377.8143310546875
2016-04-12,381.0901184082031
2016-04-13,381.8115234375
2016-04-18,400.3993835449219
2016-04-20,414.5393981933594
2016-04-21,408.8744201660156
2016-04-22,408.52874755859375
2016-04-25,402.6082458496094
2016-04-26,407.74737548828125
2016-04-27,404.7270812988281
2016-04-28,396.9582824707031
2016-04-29,406.5753173828125
2016-05-02,411.6393127441406
2016-05-03,414.62957763671875
2016-05-04,414.58447265625
2016-05-05,405.34307861328125
2016-05-06,399.52783203125
2016-05-09,398.4158020019531
2016-05-10,390.7071838378906
2016-05-11,391.06787109375
2016-05-12,402.2626953125
2016-05-13,403.3445739746094
2016-05-16,411.74444580078125
2016-05-17,412.2703857421875
2016-05-18,410.1666564941406
2016-05-19,407.8525390625
2016-05-20,401.6315612792969
2016-05-23,412.1952819824219
2016-05-24,415.4410705566406
2016-05-25,417.3644104003906
2016-05-26,409.3551940917969
2016-05-27,414.8099365234375
2016-05-30,431.7298889160156
