Date,GOOGL
2015-08-03,33.03786087036133
2015-08-04,32.86688995361328
2015-08-05,33.46380615234375
2015-08-06,33.30774688720703
2015-08-07,33.021461486816406
2015-08-10,32.95933532714844
2015-08-11,34.309226989746094
2015-08-12,34.36738967895508
2015-08-13,34.12086486816406
2015-08-14,34.26300811767578
2015-08-17,34.498600006103516
2015-08-18,34.231204986572266
2015-08-19,34.4951171875
2015-08-20,33.771461486816406
2015-08-21,32.009525299072266
2015-08-24,30.72125244140625
2015-08-25,30.440935134887695
2015-08-26,32.790348052978516
2015-08-27,33.198890686035156
2015-08-28,32.78786087036133
2015-08-31,32.19789505004883
2015-09-01,31.290342330932617
2015-09-02,32.053260803222656
2015-09-03,31.66261100769043
2015-09-04,31.26051902770996
2015-09-08,32.0020751953125
2015-09-09,31.978713989257812
2015-09-10,32.359928131103516
2015-09-11,32.56966781616211
2015-09-14,32.42901611328125
2015-09-15,33.055259704589844
2015-09-16,33.0776252746582
2015-09-17,33.38329315185547
2015-09-18,32.84899139404297
2015-09-21,33.15018844604492
2015-09-22,32.465293884277344
2015-09-23,32.46976852416992
2015-09-24,32.55027770996094
2015-09-25,31.81668472290039
2015-09-28,31.026424407958984
2015-09-29,30.944915771484375
2015-09-30,31.72821617126465
2015-10-01,31.908632278442383
2015-10-02,32.653663635253906
2015-10-05,33.3837890625
2015-10-06,33.381797790527344
2015-10-07,33.30028533935547
2015-10-08,33.15117645263672
2015-10-09,33.361915588378906
2015-10-12,33.6198616027832
2015-10-13,33.95486068725586
2015-10-14,33.817684173583984
2015-10-15,34.44442367553711
2015-10-16,34.558738708496094
2015-10-19,34.78886032104492
2015-10-20,33.79730987548828
2015-10-21,33.38975143432617
2015-10-22,33.853965759277344
2015-10-23,35.75208282470703
2015-10-26,36.33807373046875
2015-10-27,36.42255783081055
2015-10-28,36.626338958740234
2015-10-29,37.020477294921875
2015-10-30,36.64970016479492
2015-11-02,37.16410827636719
2015-11-03,37.21779251098633
2015-11-04,37.54035949707031
2015-11-05,37.8067626953125
2015-11-06,37.85298538208008
2015-11-09,37.513519287109375
2015-11-10,37.686981201171875
2015-11-11,38.034400939941406
2015-11-12,37.60099411010742
2015-11-13,36.78289794921875
2015-11-16,37.29731369018555
2015-11-17,37.07664108276367
2015-11-18,37.77395248413086
2015-11-19,37.770477294921875
2015-11-20,38.61839294433594
2015-11-23,38.60348129272461
2015-11-24,38.2520866394043
2015-11-25,38.23369598388672
2015-11-27,38.36838912963867
2015-11-30,37.91511535644531
2015-12-01,38.95586395263672
2015-12-02,38.66064453125
2015-12-03,38.18101501464844
2015-12-04,38.72822952270508
2015-12-07,38.419090270996094
2015-12-08,38.52594757080078
2015-12-09,37.90019226074219
2015-12-10,37.775447845458984
2015-12-11,37.29731369018555
2015-12-14,37.89970016479492
2015-12-15,37.777931213378906
2015-12-16,38.598018646240234
2015-12-17,38.262027740478516
2015-12-18,37.61689758300781
2015-12-21,37.81322479248047
2015-12-22,38.127830505371094
2015-12-23,38.1964225769043
2015-12-24,38.063716888427734
2015-12-28,38.87882995605469
2015-12-29,39.461334228515625
2015-12-30,39.27942657470703
2015-12-31,38.6685905456543
2016-01-04,37.74562454223633
2016-01-05,37.84950256347656
2016-01-06,37.74015808105469
2016-01-07,36.829124450683594
2016-01-08,36.327632904052734
2016-01-11,36.43498611450195
2016-01-12,37.04482650756836
2016-01-13,35.76401138305664
2016-01-14,36.35149002075195
2016-01-15,35.31271743774414
2016-01-19,35.739654541015625
2016-01-20,35.71381378173828
2016-01-21,36.11689758300781
2016-01-22,37.05079650878906
2016-01-25,36.46232223510742
2016-01-26,36.47077560424805
2016-01-27,35.66511154174805
2016-01-28,37.19194793701172
2016-01-29,37.840553283691406
2016-02-01,38.30875015258789
2016-02-02,38.81272888183594
2016-02-03,37.245628356933594
2016-02-04,36.28389358520508
2016-02-05,34.97822570800781
2016-02-08,34.99810791015625
2016-02-09,34.842037200927734
2016-02-10,35.131797790527344
2016-02-11,35.107452392578125
2016-02-12,35.133792877197266
2016-02-16,35.6680908203125
2016-02-17,36.380313873291016
2016-02-18,35.66162872314453
2016-02-19,35.890254974365234
2016-02-22,36.23518753051758
2016-02-23,35.65068817138672
2016-02-24,35.83011245727539
2016-02-25,36.23866653442383
2016-02-26,36.02693557739258
2016-02-29,35.64720916748047
2016-03-01,36.88727569580078
2016-03-02,36.75357437133789
2016-03-03,36.36143112182617
2016-03-04,36.2933349609375
2016-03-07,35.427528381347656
2016-03-08,35.46381378173828
2016-03-09,36.05426788330078
2016-03-10,36.3902587890625
2016-03-11,37.02146911621094
2016-03-14,37.28837203979492
2016-03-15,37.304771423339844
2016-03-16,37.64224624633789
2016-03-17,37.697914123535156
2016-03-18,37.545326232910156
2016-03-21,37.88081359863281
2016-03-22,37.77594757080078
2016-03-23,37.652183532714844
2016-03-24,37.516998291015625
2016-03-28,37.4394645690918
2016-03-29,38.06620407104492
2016-03-30,38.18797302246094
2016-03-31,37.91759490966797
2016-04-01,38.25407791137695
2016-04-04,38.02793884277344
2016-04-05,37.70238494873047
2016-04-06,38.17455291748047
2016-04-07,37.77942657470703
2016-04-08,37.74711990356445
2016-04-11,37.651187896728516
2016-04-12,37.98817443847656
2016-04-13,38.36540985107422
2016-04-14,38.53837585449219
2016-04-15,38.76750183105469
2016-04-18,39.149208068847656
2016-04-19,38.58111572265625
2016-04-20,38.515010833740234
2016-04-21,38.76750183105469
2016-04-22,36.6685905456543
2016-04-25,36.88926315307617
2016-04-26,36.052284240722656
2016-04-27,35.857948303222656
