Date,ODFL
2015-08-03,23.825620651245117
2015-08-04,23.719457626342773
2015-08-05,23.84492301940918
2015-08-06,23.603641510009766
2015-08-07,23.26906394958496
2015-08-10,23.510345458984375
2015-08-11,23.503915786743164
2015-08-12,23.362354278564453
2015-08-13,23.32375717163086
2015-08-14,23.52964973449707
2015-08-17,23.59076690673828
2015-08-18,23.45565414428711
2015-08-19,23.09855842590332
2015-08-20,22.718942642211914
2015-08-21,21.940420150756836
2015-08-24,21.194049835205078
2015-08-25,20.798351287841797
2015-08-26,21.30664825439453
2015-08-27,21.666961669921875
2015-08-28,21.676610946655273
2015-08-31,21.39029884338379
2015-09-01,20.711488723754883
2015-09-02,21.042850494384766
2015-09-03,21.325952529907227
2015-09-04,21.255172729492188
2015-09-08,21.744169235229492
2015-09-09,21.477148056030273
2015-09-10,21.917896270751953
2015-09-11,21.8149471282959
2015-09-14,21.644441604614258
2015-09-15,22.017620086669922
2015-09-16,21.96936798095703
2015-09-17,21.8149471282959
2015-09-18,21.039636611938477
2015-09-21,21.23265838623047
2015-09-22,20.60532569885254
2015-09-23,20.454130172729492
2015-09-24,19.56621742248535
2015-09-25,19.768888473510742
2015-09-28,19.562999725341797
2015-09-29,19.707767486572266
2015-09-30,19.624126434326172
2015-10-01,19.66272735595703
2015-10-02,19.99408721923828
2015-10-05,20.319007873535156
2015-10-06,20.19353675842285
2015-10-07,20.032686233520508
2015-10-08,19.904010772705078
2015-10-09,20.322229385375977
2015-10-12,20.199975967407227
2015-10-13,19.701332092285156
2015-10-14,19.83001136779785
2015-10-15,19.97477912902832
2015-10-16,19.997303009033203
2015-10-19,20.04555892944336
2015-10-20,20.521686553955078
2015-10-21,20.653583526611328
2015-10-22,20.808006286621094
2015-10-23,20.862699508666992
2015-10-26,21.023548126220703
2015-10-27,20.148509979248047
2015-10-28,19.5436954498291
2015-10-29,20.27718734741211
2015-10-30,19.926528930664062
2015-11-02,20.090599060058594
2015-11-03,20.515249252319336
2015-11-04,20.695409774780273
2015-11-05,20.82731056213379
2015-11-06,21.087892532348633
2015-11-09,20.544206619262695
