Date,MLM
2015-08-03,144.70997619628906
2015-08-04,152.94761657714844
2015-08-05,157.30223083496094
2015-08-06,155.06488037109375
2015-08-07,154.93544006347656
2015-08-10,159.02188110351562
2015-08-11,158.0973358154297
2015-08-12,159.5858917236328
2015-08-13,159.16055297851562
2015-08-14,161.8232421875
2015-08-17,161.90646362304688
2015-08-18,162.43345642089844
2015-08-19,157.9956512451172
2015-08-20,154.35296630859375
2015-08-21,149.44357299804688
2015-08-24,143.13816833496094
2015-08-25,142.69444274902344
2015-08-26,146.02279663085938
2015-08-27,152.54087829589844
2015-08-28,153.38424682617188
2015-08-31,155.51588439941406
2015-09-01,151.7345428466797
2015-09-02,156.21096801757812
2015-09-03,155.61778259277344
2015-09-04,154.27394104003906
2015-09-08,157.54559326171875
2015-09-09,156.25729370117188
2015-09-10,158.26841735839844
2015-09-11,158.92642211914062
2015-09-14,160.2239532470703
2015-09-15,162.2721405029297
2015-09-16,163.58819580078125
2015-09-17,163.0506591796875
2015-09-18,157.4528045654297
2015-09-21,159.02835083007812
2015-09-22,153.8661651611328
2015-09-23,149.63067626953125
2015-09-24,147.99954223632812
2015-09-25,147.72149658203125
2015-09-28,141.558349609375
2015-09-29,137.50820922851562
2015-09-30,140.82618713378906
2015-10-01,145.24697875976562
2015-10-02,151.141357421875
2015-10-05,152.2998504638672
2015-10-06,147.6751708984375
2015-10-07,148.0458984375
2015-10-08,151.12286376953125
2015-10-09,152.98568725585938
2015-10-12,150.15904235839844
2015-10-13,143.75482177734375
2015-10-14,140.6407470703125
2015-10-15,138.29605102539062
2015-10-16,140.35354614257812
2015-10-19,137.57308959960938
2015-10-20,137.5175018310547
2015-10-21,135.21900939941406
2015-10-22,141.2432098388672
2015-10-23,141.6881103515625
2015-10-26,137.70286560058594
2015-10-27,136.25711059570312
2015-10-28,141.66957092285156
2015-10-29,140.575927734375
2015-10-30,143.79188537597656
2015-11-02,143.90313720703125
2015-11-03,131.70651245117188
2015-11-04,135.1727294921875
2015-11-05,143.95877075195312
2015-11-06,143.6343231201172
2015-11-09,141.0115509033203
2015-11-10,142.31832885742188
2015-11-11,144.40359497070312
2015-11-12,140.40914916992188
2015-11-13,142.1977996826172
2015-11-16,145.96986389160156
2015-11-17,145.4786834716797
2015-11-18,147.6381072998047
2015-11-19,148.86146545410156
2015-11-20,149.0931854248047
2015-11-23,148.2127227783203
2015-11-24,149.18589782714844
2015-11-25,148.5185546875
2015-11-27,149.58706665039062
2015-11-30,146.24220275878906
2015-12-01,148.04470825195312
2015-12-02,146.76254272460938
2015-12-03,142.74879455566406
2015-12-04,144.2632293701172
2015-12-07,136.86752319335938
2015-12-08,138.0288848876953
2015-12-09,134.21954345703125
2015-12-10,133.4669952392578
2015-12-11,132.0175323486328
2015-12-14,132.5099334716797
2015-12-15,134.8141632080078
