Date,GODREJCP.NS
2015-08-03,427.4509582519531
2015-08-04,413.4671630859375
2015-08-05,437.0184631347656
2015-08-06,429.8506774902344
2015-08-07,435.048095703125
2015-08-10,435.5445861816406
2015-08-11,433.5897521972656
2015-08-12,420.5574035644531
2015-08-13,401.5827941894531
2015-08-14,400.6054382324219
2015-08-17,402.6068115234375
2015-08-18,404.67034912109375
2015-08-19,395.1597595214844
2015-08-20,407.1836853027344
2015-08-21,405.49267578125
2015-08-24,379.1641540527344
2015-08-25,390.4588623046875
2015-08-26,382.54632568359375
2015-08-27,387.61962890625
2015-08-28,405.6787109375
2015-08-31,413.4205627441406
2015-09-01,414.73931884765625
2015-09-02,410.0694885253906
2015-09-03,404.6082458496094
2015-09-04,378.93145751953125
2015-09-07,362.87353515625
2015-09-08,360.84130859375
2015-09-09,361.66357421875
2015-09-10,375.0372009277344
2015-09-11,379.50543212890625
2015-09-14,387.650634765625
2015-09-15,395.6252746582031
2015-09-16,382.7945861816406
2015-09-18,368.73828125
2015-09-21,366.1783447265625
2015-09-22,364.7820129394531
2015-09-23,362.9356689453125
2015-09-24,364.44061279296875
2015-09-28,363.0754089355469
2015-09-29,365.0612487792969
2015-09-30,378.5125427246094
2015-10-01,381.3206481933594
2015-10-05,407.1836853027344
2015-10-06,410.2555847167969
2015-10-07,399.5504455566406
2015-10-08,393.2979736328125
2015-10-09,389.74505615234375
2015-10-12,387.8368835449219
2015-10-13,383.8805847167969
2015-10-14,386.3163757324219
2015-10-15,380.06396484375
2015-10-16,374.02862548828125
2015-10-19,375.25445556640625
2015-10-20,383.6168212890625
2015-10-21,386.0836486816406
2015-10-23,389.6055603027344
2015-10-26,399.1005859375
2015-10-27,401.055419921875
2015-10-28,399.2557067871094
2015-10-29,401.2880859375
2015-10-30,391.8943786621094
2015-11-02,395.7916564941406
2015-11-03,399.3473205566406
2015-11-04,398.6175537109375
2015-11-05,387.4227600097656
2015-11-06,404.5953063964844
2015-11-09,419.73382568359375
2015-11-10,410.07623291015625
2015-11-13,389.96917724609375
2015-11-16,373.91448974609375
2015-11-17,377.96697998046875
2015-11-18,375.90191650390625
2015-11-19,382.7181701660156
2015-11-20,379.1780700683594
2015-11-23,381.41387939453125
2015-11-24,389.65863037109375
2015-11-26,392.0963439941406
2015-11-27,398.7261657714844
2015-11-30,383.510009765625
2015-12-01,389.3479919433594
