Date,NAM-INDIA.NS
2017-11-06,225.74029541015625
2017-11-07,228.43902587890625
2017-11-08,226.4546356201172
2017-11-09,227.96282958984375
2017-11-10,226.3753204345703
2017-11-13,227.96282958984375
2017-11-14,216.96946716308594
2017-11-15,201.21365356445312
2017-11-16,216.0169677734375
2017-11-17,221.45407104492188
2017-11-20,221.41444396972656
2017-11-21,216.0169677734375
2017-11-22,214.1516876220703
2017-11-23,215.26295471191406
2017-11-24,215.69947814941406
2017-11-27,216.0169677734375
2017-11-28,212.7229461669922
2017-11-29,207.8414306640625
2017-11-30,209.15110778808594
2017-12-01,206.1348876953125
2017-12-04,202.44395446777344
2017-12-05,207.2461395263672
2017-12-06,202.44395446777344
2017-12-07,200.26121520996094
2017-12-08,200.38021850585938
2017-12-11,200.45960998535156
2017-12-12,200.6580352783203
2017-12-13,199.70558166503906
2017-12-14,199.03089904785156
2017-12-15,200.8168182373047
2017-12-18,206.45237731933594
2017-12-19,214.4691925048828
2017-12-20,218.120361328125
2017-12-21,223.24002075195312
2017-12-22,225.502197265625
2017-12-26,227.24838256835938
2017-12-27,226.3753204345703
2017-12-28,228.95498657226562
2017-12-29,238.2814483642578
2018-01-01,238.79739379882812
2018-01-02,228.43902587890625
2018-01-03,235.58274841308594
2018-01-04,236.13832092285156
2018-01-05,234.312744140625
2018-01-08,236.6145782470703
2018-01-09,232.28866577148438
2018-01-10,234.5905303955078
2018-01-11,235.90020751953125
2018-01-12,252.64813232421875
2018-01-15,258.8393859863281
2018-01-16,249.15570068359375
2018-01-17,245.7823486328125
2018-01-18,236.01925659179688
2018-01-19,232.96339416503906
2018-01-22,234.47145080566406
2018-01-23,234.9873809814453
2018-01-24,241.81356811523438
2018-01-25,238.99578857421875
2018-01-29,235.06674194335938
2018-01-30,230.0662078857422
2018-01-31,229.82386779785156
2018-02-01,221.58563232421875
2018-02-02,215.56842041015625
2018-02-05,220.05108642578125
2018-02-06,212.2973175048828
2018-02-07,220.53561401367188
2018-02-08,224.08944702148438
2018-02-09,223.64520263671875
2018-02-12,225.38168334960938
2018-02-14,227.9662628173828
2018-02-15,228.37008666992188
2018-02-16,227.88546752929688
2018-02-19,223.72596740722656
2018-02-20,219.80874633789062
2018-02-21,220.3740997314453
2018-02-22,220.05108642578125
2018-02-23,220.8990936279297
2018-02-26,223.80673217773438
2018-02-27,223.72596740722656
2018-02-28,221.1817626953125
2018-03-01,219.80874633789062
2018-03-05,214.9222869873047
2018-03-06,212.33773803710938
2018-03-07,207.37051391601562
2018-03-08,210.19740295410156
2018-03-09,208.66282653808594
2018-03-12,207.0474853515625
2018-03-13,207.45130920410156
2018-03-14,206.7647705078125
2018-03-15,205.7955780029297
2018-03-16,206.52247619628906
2018-03-19,205.91671752929688
2018-03-20,205.55325317382812
2018-03-21,205.02828979492188
2018-03-22,204.7052001953125
2018-03-23,196.87075805664062
2018-03-26,195.2554168701172
2018-03-27,200.86874389648438
2018-03-28,199.85914611816406
2018-04-02,205.634033203125
2018-04-03,207.00709533691406
2018-04-04,203.857177734375
2018-04-05,207.08786010742188
2018-04-06,207.693603515625
2018-04-09,208.78399658203125
2018-04-10,210.27818298339844
2018-04-11,210.35894775390625
2018-04-12,209.5916290283203
