Date,LINDEINDIA.NS
2015-08-21,343.0499267578125
2015-08-24,324.15521240234375
2015-08-25,312.818359375
2015-08-26,313.50543212890625
2015-08-27,325.23492431640625
2015-08-28,323.3208312988281
2015-08-31,317.1861877441406
2015-09-01,311.10064697265625
2015-09-02,308.5976867675781
2015-09-03,312.3276062011719
2015-09-04,309.1866455078125
2015-09-07,297.3590087890625
2015-09-08,296.03387451171875
2015-09-09,297.9970397949219
2015-09-10,298.8313293457031
2015-09-11,298.193359375
2015-09-14,301.6778259277344
2015-09-15,300.3527526855469
2015-09-16,304.4261169433594
2015-09-18,296.0829772949219
2015-09-21,299.9110107421875
2015-09-22,297.2117614746094
2015-09-23,298.0951843261719
2015-09-24,297.4081115722656
2015-09-28,295.2486877441406
2015-09-29,294.4143981933594
2015-09-30,294.21807861328125
2015-10-01,294.0708312988281
2015-10-05,297.4571228027344
2015-10-06,299.1257629394531
2015-10-07,316.0083923339844
2015-10-08,312.0330810546875
2015-10-09,317.33343505859375
2015-10-12,313.30914306640625
2015-10-13,308.4504699707031
2015-10-14,312.37664794921875
2015-10-15,309.6283264160156
2015-10-16,309.6283264160156
2015-10-19,308.9902648925781
2015-10-20,307.12542724609375
2015-10-21,311.8858947753906
2015-10-23,318.0696105957031
2015-10-26,323.41900634765625
2015-10-27,319.689208984375
2015-10-28,316.4991760253906
2015-10-29,318.265869140625
2015-10-30,317.52972412109375
2015-11-02,315.370361328125
2015-11-03,314.09429931640625
2015-11-04,310.21722412109375
2015-11-05,313.99615478515625
2015-11-06,307.56707763671875
2015-11-09,306.38922119140625
2015-11-10,311.9349670410156
2015-11-13,320.4743957519531
2015-11-16,322.2411193847656
2015-11-17,312.671142578125
2015-11-18,310.0699462890625
2015-11-19,307.12542724609375
2015-11-20,308.89215087890625
2015-11-23,299.1748046875
2015-11-24,305.99658203125
2015-11-26,307.7633972167969
2015-11-27,313.6035461425781
2015-11-30,310.51171875
2015-12-01,319.59100341796875
2015-12-02,317.87335205078125
2015-12-03,314.04522705078125
2015-12-04,317.0880432128906
