Date,PNVL3.SA
2015-08-24,5.267697334289551
2015-08-25,5.338794231414795
2015-08-26,5.396471977233887
2015-08-27,5.396471977233887
2015-08-28,5.424738883972168
2015-08-31,5.45357608795166
2015-09-01,5.4815592765808105
2015-09-02,5.610331058502197
2015-09-03,5.607762336730957
2015-09-04,5.71055269241333
2015-09-08,5.8815836906433105
2015-09-09,6.024061679840088
2015-09-10,6.11029052734375
2015-09-11,6.1357035636901855
2015-09-14,6.522307395935059
2015-09-15,6.624240875244141
2015-09-16,6.566849231719971
2015-09-17,6.53001594543457
2015-09-18,6.680774211883545
2015-09-21,5.853030681610107
2015-09-22,6.11029052734375
2015-09-23,6.309873580932617
2015-09-24,6.195948600769043
2015-09-25,5.596625804901123
2015-09-28,5.7345356941223145
2015-09-29,5.824763774871826
2015-09-30,5.924698352813721
2015-10-01,6.081737995147705
2015-10-02,6.304449558258057
2015-10-05,6.424371242523193
2015-10-06,6.4729108810424805
2015-10-07,6.5091729164123535
2015-10-08,6.423800945281982
2015-10-09,6.538582801818848
2015-10-13,6.589691638946533
2015-10-14,6.589691638946533
2015-10-15,6.5956878662109375
2015-10-16,6.538296699523926
2015-10-19,6.704188823699951
2015-10-20,6.70761251449585
2015-10-21,6.5100297927856445
2015-10-22,6.609964370727539
2015-10-23,6.680774211883545
2015-10-26,6.5388665199279785
2015-10-27,5.6825714111328125
2015-10-28,5.71055269241333
2015-10-29,5.8815836906433105
2015-10-30,6.062893867492676
2015-11-03,6.281606674194336
2015-11-04,6.381542205810547
2015-11-05,6.361269950866699
2015-11-06,6.367264747619629
2015-11-09,6.537441730499268
2015-11-10,6.6522216796875
2015-11-11,6.681059837341309
2015-11-12,6.424371242523193
2015-11-13,6.5100297927856445
2015-11-16,6.5956878662109375
2015-11-17,6.601968765258789
2015-11-18,6.581411838531494
2015-11-19,6.624240875244141
2015-11-23,6.70047664642334
2015-11-24,6.852090835571289
2015-11-25,7.131624221801758
2015-11-26,7.065951347351074
2015-11-27,7.052530765533447
2015-11-30,7.1938676834106445
2015-12-01,7.108780860900879
2015-12-02,7.059955596923828
2015-12-03,7.138189315795898
2015-12-04,7.138189315795898
2015-12-07,7.135047912597656
2015-12-08,7.252401828765869
2015-12-09,7.522797107696533
2015-12-10,7.537642478942871
2015-12-11,7.783482551574707
2015-12-14,7.7949042320251465
2015-12-15,7.852008819580078
2015-12-16,7.9659342765808105
2015-12-17,7.994775295257568
2015-12-18,8.123259544372559
2015-12-21,8.223196029663086
2015-12-22,8.285059928894043
2015-12-23,8.342307090759277
2015-12-28,8.371363639831543
2015-12-29,8.630270957946777
2015-12-30,8.3425931930542
2016-01-04,8.05492115020752
2016-01-05,8.241909980773926
2016-01-06,7.709997177124023
2016-01-07,7.738189697265625
2016-01-08,7.767245292663574
2016-01-11,7.88979434967041
2016-01-12,7.882027626037598
2016-01-13,7.997095584869385
2016-01-14,8.19875717163086
2016-01-15,8.33885383605957
2016-01-18,8.341731071472168
2016-01-19,8.422568321228027
2016-01-20,8.486431121826172
2016-01-21,8.486431121826172
2016-01-22,8.629981994628906
2016-01-26,8.684066772460938
2016-01-27,8.572160720825195
2016-01-28,8.35698127746582
2016-01-29,8.112455368041992
2016-02-01,8.19875717163086
2016-02-02,8.3425931930542
2016-02-03,8.457376480102539
2016-02-04,8.526132583618164
2016-02-05,8.17027759552002
2016-02-10,8.342307090759277
2016-02-11,8.485856056213379
2016-02-12,8.622504234313965
2016-02-15,8.74246597290039
2016-02-16,8.44615650177002
2016-02-17,8.623941421508789
2016-02-18,8.572735786437988
2016-02-19,8.572735786437988
2016-02-22,8.19559383392334
2016-02-23,7.9973859786987305
2016-02-24,8.05492115020752
2016-02-25,8.141510009765625
2016-02-26,8.055497169494629
2016-02-29,8.19875717163086
2016-03-01,8.276141166687012
2016-03-02,8.254278182983398
2016-03-03,7.652173042297363
2016-03-04,8.026155471801758
2016-03-07,8.05492115020752
2016-03-08,8.169703483581543
2016-03-09,8.284771919250488
2016-03-10,8.3425931930542
2016-03-11,8.543680191040039
2016-03-14,8.596612930297852
2016-03-15,8.630270957946777
2016-03-16,8.3425931930542
2016-03-17,8.572446823120117
2016-03-18,8.917659759521484
2016-03-21,8.630270957946777
2016-03-22,8.083687782287598
2016-03-23,8.224069595336914
2016-03-24,8.400129318237305
2016-03-28,8.629981994628906
2016-03-29,8.745342254638672
2016-03-30,8.917659759521484
2016-03-31,8.62940788269043
2016-04-01,8.630270957946777
2016-04-04,8.773820877075195
2016-04-05,8.285347938537598
2016-04-06,8.299445152282715
2016-04-07,8.3425931930542
2016-04-08,8.457376480102539
2016-04-11,8.448746681213379
2016-04-12,8.774107933044434
2016-04-13,9.1524019241333
2016-04-14,9.291926383972168
2016-04-15,9.49329662322998
2016-04-18,9.637136459350586
2016-04-19,9.061782836914062
2016-04-20,9.061495780944824
2016-04-22,9.20274543762207
2016-04-25,9.34859561920166
2016-04-26,8.945564270019531
2016-04-27,9.176279067993164
2016-04-28,9.637136459350586
2016-04-29,9.838508605957031
2016-05-02,9.866987228393555
2016-05-03,9.766589164733887
2016-05-04,8.630270957946777
2016-05-05,9.061495780944824
2016-05-06,9.202458381652832
2016-05-09,9.593695640563965
2016-05-10,10.21248722076416
2016-05-11,10.327559471130371
2016-05-12,10.614082336425781
2016-05-13,10.931675910949707
2016-05-16,10.472835540771484
2016-05-17,10.265131950378418
2016-05-18,10.21248722076416
2016-05-19,10.082745552062988
2016-05-20,9.205621719360352
2016-05-23,9.722290992736816
2016-05-24,9.277543067932129
