Date,ICICIBANK.NS
2015-08-21,251.70947265625
2015-08-24,229.17027282714844
2015-08-25,240.67333984375
2015-08-26,236.04664611816406
2015-08-27,239.781982421875
2015-08-28,240.84310913085938
2015-08-31,235.91934204101562
2015-09-01,230.01922607421875
2015-09-02,224.84068298339844
2015-09-03,226.53857421875
2015-09-04,218.813232421875
2015-09-07,211.46995544433594
2015-09-08,221.4025115966797
2015-09-09,224.58599853515625
2015-09-10,227.0054931640625
2015-09-11,227.1328125
2015-09-14,231.25015258789062
2015-09-15,227.9393310546875
2015-09-16,231.63218688964844
2015-09-18,235.8768768310547
2015-09-21,237.10780334472656
2015-09-22,229.6796417236328
2015-09-23,232.056640625
2015-09-24,227.76953125
2015-09-28,227.59971618652344
2015-09-29,228.36378479003906
2015-09-30,229.50982666015625
2015-10-01,226.7508087158203
2015-10-05,238.50857543945312
2015-10-06,240.03662109375
2015-10-07,240.24887084960938
2015-10-08,236.38623046875
2015-10-09,242.88058471679688
2015-10-12,244.15399169921875
2015-10-13,244.02664184570312
2015-10-14,240.16400146484375
2015-10-15,243.09278869628906
2015-10-16,245.72454833984375
2015-10-19,243.81439208984375
2015-10-20,242.96546936035156
2015-10-21,239.99420166015625
2015-10-23,243.00791931152344
2015-10-26,242.243896484375
2015-10-27,240.84310913085938
2015-10-28,230.23143005371094
2015-10-29,230.4436492919922
2015-10-30,235.1552734375
2015-11-02,237.32005310058594
2015-11-03,237.2351531982422
2015-11-04,232.056640625
2015-11-05,229.25515747070312
2015-11-06,226.7508087158203
2015-11-09,223.39749145507812
2015-11-10,223.100341796875
2015-11-13,222.20901489257812
2015-11-16,226.87815856933594
2015-11-17,227.38751220703125
2015-11-18,221.10537719726562
2015-11-19,226.1565399169922
2015-11-20,224.9255828857422
2015-11-23,225.77450561523438
2015-11-24,223.56729125976562
2015-11-26,224.1190948486328
2015-11-27,229.25515747070312
2015-11-30,232.22645568847656
2015-12-01,232.52357482910156
2015-12-02,229.5522918701172
2015-12-03,225.64718627929688
2015-12-04,221.95431518554688
2015-12-07,223.31260681152344
2015-12-08,221.95431518554688
2015-12-09,220.2564239501953
2015-12-10,219.8319549560547
2015-12-11,211.63975524902344
2015-12-14,211.38507080078125
2015-12-15,209.17782592773438
2015-12-16,213.9743194580078
2015-12-17,214.9081573486328
2015-12-18,212.31887817382812
2015-12-21,219.1952667236328
2015-12-22,220.34132385253906
2015-12-23,222.2938690185547
2015-12-24,218.9830322265625
2015-12-28,224.16156005859375
2015-12-29,224.7557830810547
2015-12-30,222.7183380126953
2015-12-31,221.86941528320312
2016-01-01,223.27017211914062
2016-01-04,216.94558715820312
2016-01-05,217.92185974121094
2016-01-06,212.31887817382812
2016-01-07,209.47494506835938
2016-01-08,208.03173828125
2016-01-11,203.2777099609375
2016-01-12,200.98556518554688
2016-01-13,203.32015991210938
2016-01-14,200.13665771484375
2016-01-15,190.543701171875
2016-01-18,189.39761352539062
2016-01-19,194.19410705566406
2016-01-20,190.501220703125
2016-01-21,192.1141815185547
2016-01-22,197.58984375
2016-01-25,200.39134216308594
2016-01-27,201.4525146484375
2016-01-28,197.9718780517578
2016-01-29,195.38259887695312
2016-02-01,184.38888549804688
2016-02-02,178.61610412597656
2016-02-03,173.2253875732422
2016-02-04,173.14047241210938
2016-02-05,177.76718139648438
2016-02-08,177.0456085205078
2016-02-09,177.76718139648438
2016-02-10,175.9420166015625
2016-02-11,169.1505126953125
2016-02-12,164.3115692138672
2016-02-15,172.7584686279297
2016-02-16,166.90081787109375
2016-02-17,161.93455505371094
2016-02-18,166.518798828125
2016-02-19,168.76846313476562
2016-02-22,168.47134399414062
2016-02-23,162.99569702148438
2016-02-24,158.7510223388672
2016-02-25,155.35528564453125
2016-02-26,156.88336181640625
2016-02-29,161.34027099609375
2016-03-01,173.98944091796875
2016-03-02,186.76593017578125
2016-03-03,185.06805419921875
2016-03-04,187.1903839111328
2016-03-08,184.09176635742188
2016-03-09,183.66729736328125
2016-03-10,182.94570922851562
2016-03-11,181.54493713378906
2016-03-14,188.1666717529297
2016-03-15,187.9119873046875
2016-03-16,192.19911193847656
2016-03-17,193.3451690673828
2016-03-18,195.42503356933594
2016-03-21,199.37261962890625
2016-03-22,198.3114471435547
2016-03-23,198.82080078125
2016-03-28,191.39260864257812
2016-03-29,189.6522979736328
2016-03-30,201.622314453125
2016-03-31,200.90069580078125
2016-04-01,202.30145263671875
2016-04-04,202.6834716796875
2016-04-05,191.5199432373047
2016-04-06,188.9307098388672
2016-04-07,187.02061462402344
2016-04-08,187.8270721435547
2016-04-11,190.75588989257812
2016-04-12,194.19410705566406
2016-04-13,204.29644775390625
2016-04-18,201.32516479492188
2016-04-20,202.08920288085938
2016-04-21,214.8232421875
2016-04-22,213.93186950683594
2016-04-25,214.7383575439453
2016-04-26,215.6721649169922
2016-04-27,207.6497344970703
2016-04-28,203.82952880859375
2016-04-29,201.15538024902344
2016-05-02,192.49623107910156
2016-05-03,187.6997528076172
2016-05-04,182.05433654785156
2016-05-05,182.22410583496094
2016-05-06,185.577392578125
2016-05-09,191.2652587890625
2016-05-10,191.43507385253906
2016-05-11,190.1192169189453
2016-05-12,196.7833251953125
2016-05-13,192.2839813232422
2016-05-16,189.94943237304688
2016-05-17,191.8170928955078
2016-05-18,192.24156188964844
2016-05-19,191.47750854492188
2016-05-20,186.850830078125
2016-05-23,187.6997528076172
2016-05-24,190.62857055664062
2016-05-25,199.4999542236328
2016-05-26,204.72093200683594
2016-05-27,206.4187774658203
2016-05-30,207.56484985351562
