Date,CCU.SN
2015-08-24,5461.275390625
2015-08-25,5647.703125
2015-08-26,5706.35205078125
2015-08-27,5713.94921875
2015-08-28,5655.224609375
2015-08-31,5832.30810546875
2015-09-01,5745.7802734375
2015-09-02,5624.00146484375
2015-09-03,5611.16259765625
2015-09-04,5592.54931640625
2015-09-07,5612.5302734375
2015-09-08,5585.33349609375
2015-09-09,5507.46533203125
2015-09-10,5540.1318359375
2015-09-11,5587.38330078125
2015-09-14,5589.13134765625
2015-09-15,5602.578125
2015-09-16,5758.46630859375
2015-09-17,5926.966796875
2015-09-21,5861.55712890625
2015-09-22,5784.4482421875
2015-09-23,5839.9814453125
2015-09-24,5981.20849609375
2015-09-25,6000.65673828125
2015-09-28,5934.03173828125
2015-09-29,5778.5234375
2015-09-30,5830.865234375
2015-10-01,5857.833984375
2015-10-02,5812.25244140625
2015-10-05,5921.57275390625
2015-10-06,5901.7451171875
2015-10-07,5950.59326171875
2015-10-08,5946.1865234375
2015-10-09,6060.6728515625
2015-10-13,6050.26416015625
2015-10-14,6052.61962890625
2015-10-15,6040.7685546875
2015-10-16,6024.13134765625
2015-10-19,6072.97998046875
2015-10-20,6103.0634765625
2015-10-21,6124.48583984375
2015-10-22,6317.67578125
2015-10-23,6451.83740234375
2015-10-26,6497.19189453125
2015-10-27,6280.9072265625
2015-10-28,6275.81689453125
2015-10-29,6262.75048828125
2015-10-30,6302.02685546875
2015-11-02,6238.1376953125
2015-11-03,6516.4873046875
2015-11-04,6572.3251953125
2015-11-05,6595.6484375
2015-11-06,6588.126953125
2015-11-09,6566.62744140625
2015-11-10,6316.46044921875
2015-11-11,6373.9697265625
2015-11-12,6276.65380859375
2015-11-13,6239.42822265625
2015-11-16,6334.39013671875
2015-11-17,6285.6171875
2015-11-18,6320.1845703125
2015-11-19,6367.13232421875
2015-11-20,6458.978515625
2015-11-23,6287.2890625
2015-11-24,6254.54541015625
2015-11-25,6289.3408203125
2015-11-26,6348.900390625
2015-11-27,6286.908203125
2015-11-30,6031.5
2015-12-01,5987.58984375
2015-12-02,6042.59130859375
2015-12-03,5950.97314453125
2015-12-04,5965.1025390625
2015-12-07,6005.5185546875
2015-12-09,5818.55859375
2015-12-10,5773.888671875
2015-12-11,5769.78662109375
2015-12-14,5666.240234375
2015-12-15,5624.0771484375
2015-12-16,5805.1884765625
2015-12-17,5794.85595703125
2015-12-18,5687.05615234375
2015-12-21,5663.9609375
2015-12-22,5698.1474609375
2015-12-23,5838.3115234375
2015-12-24,5787.8671875
2015-12-28,5846.36376953125
2015-12-29,5900.90966796875
2015-12-30,5955.9873046875
2015-12-31,5955.9873046875
2016-01-04,5880.98193359375
2016-01-05,5885.65576171875
2016-01-06,5795.55712890625
2016-01-07,5734.87890625
2016-01-08,5677.80126953125
2016-01-11,5488.10400390625
2016-01-12,5395.630859375
2016-01-13,5382.912109375
2016-01-14,5268.6044921875
2016-01-15,5387.509765625
2016-01-18,5316.48828125
2016-01-19,5297.7177734375
2016-01-20,5291.20556640625
2016-01-21,5275.041015625
2016-01-22,5454.93115234375
2016-01-25,5467.341796875
2016-01-26,5517.44775390625
2016-01-27,5600.34375
2016-01-28,5710.05517578125
2016-01-29,5923.35009765625
2016-02-01,6002.18505859375
2016-02-02,5701.244140625
2016-02-03,5380.15478515625
2016-02-04,5467.26513671875
2016-02-05,5332.04052734375
2016-02-08,5282.318359375
2016-02-09,5178.8125
2016-02-10,5282.7783203125
2016-02-11,5265.8466796875
2016-02-12,5292.1259765625
2016-02-15,5287.14501953125
2016-02-16,5320.779296875
2016-02-17,5274.4267578125
2016-02-18,5349.81591796875
2016-02-19,5336.71484375
2016-02-22,5318.6337890625
2016-02-23,5205.01513671875
2016-02-24,5118.900390625
2016-02-25,5124.033203125
2016-02-26,5202.7158203125
2016-02-29,5239.18505859375
2016-03-01,5339.62646484375
2016-03-02,5425.89306640625
2016-03-03,5478.52734375
2016-03-04,5510.7822265625
2016-03-07,5464.43017578125
2016-03-08,5474.46630859375
2016-03-09,5521.5849609375
2016-03-10,5649.9140625
2016-03-11,5587.93212890625
2016-03-14,5627.6181640625
2016-03-15,5561.041015625
2016-03-16,5557.13330078125
2016-03-17,5627.23486328125
2016-03-18,5728.44287109375
2016-03-21,5741.16162109375
2016-03-22,5674.73583984375
2016-03-23,5663.93310546875
2016-03-24,5693.27685546875
2016-03-28,5733.806640625
2016-03-29,5799.00537109375
2016-03-30,5886.9580078125
2016-03-31,5783.5283203125
2016-04-01,5818.54150390625
2016-04-04,5823.98095703125
2016-04-05,5830.1875
2016-04-06,5747.06005859375
2016-04-07,5760.08447265625
2016-04-08,5715.34228515625
2016-04-11,5656.65576171875
2016-04-12,5750.583984375
2016-04-13,5687.76171875
2016-04-14,5752.5
2016-04-15,5717.25732421875
2016-04-18,5702.2412109375
2016-04-19,5803.88525390625
2016-04-20,5743.8681640625
2016-04-21,5705.62646484375
2016-04-22,5725.09375
2016-04-25,5676.5419921875
