Date,ANANTRAJ.NS
2015-08-21,15.027536392211914
2015-08-24,13.100432395935059
2015-08-25,13.197760581970215
2015-08-26,12.711119651794434
2015-08-27,12.84737777709961
2015-08-28,13.100432395935059
2015-08-31,13.022568702697754
2015-09-01,12.302335739135742
2015-09-02,12.205007553100586
2015-09-03,12.594322204589844
2015-09-04,12.263406753540039
2015-09-07,12.458061218261719
2015-09-08,12.458061218261719
2015-09-09,12.535924911499023
2015-09-10,12.516461372375488
2015-09-11,12.925240516662598
2015-09-14,13.061500549316406
2015-09-15,12.925240516662598
2015-09-16,12.594322204589844
2015-09-18,12.65272045135498
2015-09-21,13.022568702697754
2015-09-22,13.525771141052246
2015-09-23,13.525771141052246
2015-09-24,13.525771141052246
2015-09-28,13.92184066772461
2015-09-29,14.040661811828613
2015-09-30,14.258499145507812
2015-10-01,14.317911148071289
2015-10-05,14.436729431152344
2015-10-06,14.179285049438477
2015-10-07,14.694175720214844
2015-10-08,14.575355529785156
2015-10-09,14.71397876739502
2015-10-12,14.634764671325684
2015-10-13,14.931818008422852
2015-10-14,15.407100677490234
2015-10-15,15.268474578857422
2015-10-16,15.14965534210205
2015-10-19,15.426902770996094
2015-10-20,15.426902770996094
2015-10-21,15.209065437316895
2015-10-23,15.941794395446777
2015-10-26,15.664546966552734
2015-10-27,15.48631477355957
2015-10-28,15.624943733215332
2015-10-29,15.426902770996094
2015-10-30,14.991229057312012
2015-11-02,14.634764671325684
2015-11-03,14.614962577819824
2015-11-04,14.793193817138672
2015-11-05,14.357516288757324
2015-11-06,14.258499145507812
2015-11-09,13.822823524475098
2015-11-10,13.66439437866211
2015-11-13,13.902037620544434
2015-11-16,13.684199333190918
2015-11-17,14.11987590789795
2015-11-18,13.70400333404541
2015-11-19,13.743611335754395
2015-11-20,13.862432479858398
2015-11-23,13.743611335754395
2015-11-24,14.11987590789795
2015-11-26,14.258499145507812
2015-11-27,14.278304100036621
2015-11-30,14.49614143371582
2015-12-01,14.654568672180176
2015-12-02,14.733782768249512
2015-12-03,15.070443153381348
2015-12-04,14.71397876739502
2015-12-07,14.892210006713867
2015-12-08,14.476339340209961
2015-12-09,13.822823524475098
