Date,FTV
2016-07-05,29.323867797851562
2016-07-06,28.811006546020508
2016-07-07,28.804973602294922
2016-07-08,30.289268493652344
2016-07-11,30.844371795654297
2016-07-12,30.512516021728516
2016-07-13,30.542678833007812
2016-07-14,31.115882873535156
2016-07-15,30.91073989868164
2016-07-18,30.946941375732422
2016-07-19,31.103811264038086
2016-07-20,30.37374496459961
2016-07-21,30.31340789794922
2016-07-22,29.806575775146484
2016-07-25,29.553150177001953
2016-07-26,29.73416519165039
2016-07-27,29.516952514648438
2016-07-28,29.354042053222656
2016-07-29,29.088558197021484
2016-08-01,28.84117317199707
2016-08-02,28.660165786743164
2016-08-03,29.73416519165039
2016-08-04,30.186695098876953
2016-08-05,30.51854705810547
2016-08-08,30.19876480102539
2016-08-09,30.446144104003906
2016-08-10,30.440109252929688
2016-08-11,31.707185745239258
2016-08-12,31.80371856689453
2016-08-15,32.37693405151367
2016-08-16,32.31055450439453
2016-08-17,32.2260856628418
2016-08-18,32.075252532958984
2016-08-19,31.32705307006836
2016-08-22,30.928844451904297
2016-08-23,31.31499671936035
2016-08-24,31.050785064697266
2016-08-25,31.201894760131836
2016-08-26,31.353012084960938
2016-08-29,31.67942237854004
2016-08-30,31.800312042236328
2016-08-31,31.836570739746094
2016-09-01,31.812389373779297
2016-09-02,32.26573181152344
2016-09-06,31.872835159301758
2016-09-07,31.99979019165039
2016-09-08,31.631065368652344
2016-09-09,30.555139541625977
2016-09-12,30.954078674316406
2016-09-13,30.24686622619629
2016-09-14,30.234779357910156
2016-09-15,30.51886749267578
2016-09-16,30.379844665527344
2016-09-19,30.694156646728516
2016-09-20,30.373802185058594
2016-09-21,30.815048217773438
2016-09-22,31.213993072509766
2016-09-23,30.754606246948242
2016-09-26,30.96012306213379
2016-09-27,31.19585418701172
2016-09-28,31.262344360351562
2016-09-29,30.645801544189453
2016-09-30,30.76668930053711
2016-10-03,31.0628662109375
2016-10-04,30.712291717529297
2016-10-05,30.790874481201172
2016-10-06,30.645801544189453
2016-10-07,30.180374145507812
2016-10-10,30.192461013793945
2016-10-11,29.751211166381836
2016-10-12,29.6121883392334
2016-10-13,29.509431838989258
2016-10-14,29.89628028869629
2016-10-17,29.65450096130371
2016-10-18,29.672630310058594
2016-10-19,29.853961944580078
2016-10-20,29.4368953704834
2016-10-21,29.418758392333984
2016-10-24,29.346227645874023
2016-10-25,28.96542739868164
2016-10-26,28.874752044677734
2016-10-27,28.70549964904785
2016-10-28,30.34962272644043
2016-10-31,30.85736083984375
2016-11-01,30.51886749267578
2016-11-02,30.416112899780273
2016-11-03,30.815048217773438
2016-11-04,30.893632888793945
2016-11-07,31.30465316772461
2016-11-08,31.824493408203125
2016-11-09,32.3140869140625
2016-11-10,32.76138687133789
2016-11-11,32.277828216552734
2016-11-14,32.53169250488281
2016-11-15,32.71303939819336
2016-11-16,32.906455993652344
2016-11-17,32.94271469116211
2016-11-18,33.021305084228516
2016-11-21,33.14218521118164
2016-11-22,33.525390625
2016-11-23,33.78574752807617
2016-11-25,33.8886833190918
2016-11-28,33.65859603881836
2016-11-29,33.47089767456055
2016-11-30,33.29531478881836
2016-12-01,32.81092834472656
2016-12-02,32.986515045166016
2016-12-05,32.641395568847656
2016-12-06,32.69587707519531
2016-12-07,32.84120559692383
2016-12-08,32.50214385986328
2016-12-09,32.69587707519531
2016-12-12,32.6898307800293
2016-12-13,32.60506820678711
2016-12-14,32.847259521484375
2016-12-15,33.186336517333984
2016-12-16,33.198429107666016
2016-12-19,33.27714538574219
2016-12-20,33.33164978027344
2016-12-21,32.7685546875
2016-12-22,32.7503776550293
2016-12-23,33.00469207763672
2016-12-27,32.97441101074219
2016-12-28,32.54452133178711
2016-12-29,32.70194625854492
2016-12-30,32.47185516357422
2017-01-03,32.53241729736328
2017-01-04,32.847259521484375
2017-01-05,32.65956115722656
2017-01-06,32.61717987060547
2017-01-09,32.53241729736328
2017-01-10,32.574798583984375
2017-01-11,32.49003219604492
2017-01-12,32.496089935302734
2017-01-13,33.15605163574219
2017-01-17,32.774600982666016
2017-01-18,32.78065490722656
2017-01-19,32.859378814697266
2017-01-20,33.010738372802734
2017-01-23,32.76249694824219
2017-01-24,33.119728088378906
2017-01-25,33.40430450439453
2017-01-26,33.71915817260742
2017-01-27,33.86445999145508
2017-01-30,33.567771911621094
2017-01-31,33.48907470703125
2017-02-01,33.38008117675781
2017-02-02,33.42850875854492
2017-02-03,33.9189567565918
2017-02-06,33.79181671142578
2017-02-07,33.68888473510742
2017-02-08,34.015830993652344
2017-02-09,34.524436950683594
2017-02-10,34.603153228759766
2017-02-13,34.83323669433594
2017-02-14,34.687923431396484
2017-02-15,34.86350631713867
2017-02-16,34.74846649169922
2017-02-17,34.930118560791016
2017-02-21,35.1965217590332
2017-02-22,34.98602294921875
2017-02-23,34.72523498535156
2017-02-24,35.04664993286133
2017-02-27,34.96175003051758
2017-02-28,34.96175003051758
2017-03-01,35.72587585449219
2017-03-02,35.55607604980469
2017-03-03,35.61672592163086
2017-03-06,35.374141693115234
2017-03-07,35.29529571533203
2017-03-08,35.277103424072266
2017-03-09,35.18613815307617
2017-03-10,35.36200714111328
2017-03-13,35.6409797668457
2017-03-14,35.5075569152832
2017-03-15,36.20497131347656
2017-03-16,36.08975601196289
2017-03-17,36.1322021484375
2017-03-20,35.780460357666016
2017-03-21,35.483306884765625
2017-03-22,35.471168518066406
2017-03-23,35.495426177978516
2017-03-24,35.96846008300781
2017-03-27,35.82898712158203
2017-03-28,36.13826370239258
2017-03-29,36.174652099609375
