Date,HMSO.L
2015-08-24,2802.026123046875
2015-08-25,2856.610595703125
2015-08-26,2799.7509765625
2015-08-27,2863.43359375
2015-08-28,2856.610595703125
2015-09-01,2777.0078125
2015-09-02,2827.043701171875
2015-09-03,2838.415771484375
2015-09-04,2786.10498046875
2015-09-07,2781.556396484375
2015-09-08,2817.9462890625
2015-09-09,2842.964111328125
2015-09-10,2829.31787109375
2015-09-11,2783.8310546875
2015-09-14,2777.0078125
2015-09-15,2770.184326171875
2015-09-16,2783.8310546875
2015-09-17,2779.281982421875
2015-09-18,2765.6357421875
2015-09-21,2765.6357421875
2015-09-22,2724.697021484375
2015-09-23,2788.379638671875
2015-09-24,2792.928466796875
2015-09-25,2845.238037109375
2015-09-28,2790.654052734375
2015-09-29,2786.10498046875
2015-09-30,2836.141357421875
2015-10-01,2820.219970703125
2015-10-02,2836.141357421875
2015-10-05,2890.72607421875
2015-10-06,2870.25634765625
2015-10-07,2820.219970703125
2015-10-08,2836.141357421875
2015-10-09,2806.57470703125
2015-10-12,2795.202880859375
2015-10-13,2802.026123046875
2015-10-14,2786.10498046875
2015-10-15,2781.556396484375
2015-10-16,2795.202880859375
2015-10-19,2836.141357421875
2015-10-20,2861.159423828125
2015-10-21,2865.70751953125
2015-10-22,2920.29296875
2015-10-23,2933.939208984375
2015-10-26,2943.03662109375
2015-10-27,2915.744140625
2015-10-28,2945.31103515625
2015-10-29,2929.390625
2015-10-30,2895.275634765625
2015-11-02,2870.25634765625
2015-11-03,2827.043701171875
2015-11-04,2770.184326171875
2015-11-05,2822.49560546875
2015-11-06,2799.7509765625
2015-11-09,2704.2275390625
2015-11-10,2674.660888671875
2015-11-11,2674.660888671875
2015-11-12,2620.076171875
2015-11-13,2638.27099609375
2015-11-16,2658.740234375
2015-11-17,2733.79443359375
2015-11-18,2715.599853515625
2015-11-19,2783.8310546875
2015-11-20,2804.300048828125
2015-11-23,2754.263671875
2015-11-24,2720.148193359375
2015-11-25,2761.08642578125
2015-11-26,2756.538330078125
2015-11-27,2770.184326171875
2015-11-30,2777.0078125
2015-12-01,2854.3359375
2015-12-02,2836.141357421875
2015-12-03,2758.8125
2015-12-04,2738.343017578125
2015-12-07,2777.0078125
2015-12-08,2742.89208984375
2015-12-09,2720.148193359375
2015-12-10,2704.2275390625
2015-12-11,2667.837158203125
2015-12-14,2649.642822265625
2015-12-15,2722.423095703125
2015-12-16,2742.89208984375
2015-12-17,2745.1669921875
2015-12-18,2704.2275390625
2015-12-21,2697.40478515625
2015-12-22,2704.2275390625
2015-12-23,2738.343017578125
2015-12-24,2751.9892578125
2015-12-29,2786.10498046875
2015-12-30,2761.08642578125
2015-12-31,2729.24560546875
2016-01-04,2699.678955078125
2016-01-05,2717.874267578125
2016-01-06,2690.58154296875
2016-01-07,2658.740234375
2016-01-08,2631.447998046875
2016-01-11,2626.89892578125
2016-01-12,2649.642822265625
2016-01-13,2674.660888671875
2016-01-14,2622.350341796875
2016-01-15,2597.331787109375
2016-01-18,2585.9609375
2016-01-19,2590.5087890625
2016-01-20,2501.808837890625
2016-01-21,2547.29638671875
2016-01-22,2590.5087890625
2016-01-25,2606.429443359375
2016-01-26,2599.606201171875
2016-01-27,2608.703857421875
2016-01-28,2579.13720703125
2016-01-29,2654.191650390625
2016-02-01,2674.660888671875
2016-02-02,2640.544921875
2016-02-03,2615.52734375
2016-02-04,2597.331787109375
2016-02-05,2576.863037109375
2016-02-08,2497.260009765625
2016-02-09,2456.3212890625
2016-02-10,2481.339599609375
2016-02-11,2435.85205078125
2016-02-12,2433.57763671875
2016-02-15,2545.021728515625
2016-02-16,2517.72900390625
2016-02-17,2576.863037109375
2016-02-18,2547.29638671875
2016-02-19,2563.216552734375
2016-02-22,2549.570556640625
2016-02-23,2506.357421875
2016-02-24,2433.57763671875
2016-02-25,2476.791015625
2016-02-26,2492.7109375
2016-02-29,2499.53369140625
2016-03-01,2515.455078125
2016-03-02,2538.198974609375
2016-03-03,2538.198974609375
2016-03-04,2531.37548828125
2016-03-07,2494.98486328125
2016-03-08,2492.7109375
2016-03-09,2485.888427734375
2016-03-10,2481.339599609375
2016-03-11,2583.686279296875
2016-03-14,2624.624755859375
2016-03-15,2617.80126953125
2016-03-16,2620.076171875
2016-03-17,2611.558837890625
2016-03-18,2602.459228515625
2016-03-21,2616.108642578125
2016-03-22,2602.459228515625
2016-03-23,2600.18505859375
2016-03-24,2552.41162109375
2016-03-29,2586.534912109375
2016-03-30,2622.93310546875
2016-03-31,2632.03271484375
2016-04-01,2627.482666015625
2016-04-04,2627.482666015625
2016-04-05,2638.85693359375
2016-04-06,2657.056396484375
2016-04-07,2620.658447265625
2016-04-08,2684.35498046875
2016-04-11,2693.454345703125
2016-04-12,2677.530517578125
2016-04-13,2741.22705078125
2016-04-14,2711.6533203125
2016-04-15,2663.88037109375
2016-04-18,2641.132568359375
2016-04-19,2652.50634765625
2016-04-20,2663.88037109375
2016-04-21,2650.232177734375
2016-04-22,2597.9091796875
2016-04-25,2636.58251953125
2016-04-26,2668.43115234375
2016-04-27,2684.35498046875
2016-04-28,2688.904052734375
2016-04-29,2659.3310546875
2016-05-03,2654.781005859375
2016-05-04,2632.03271484375
2016-05-05,2636.58251953125
2016-05-06,2645.68212890625
2016-05-09,2668.43115234375
2016-05-10,2682.080322265625
2016-05-11,2641.132568359375
2016-05-12,2616.108642578125
2016-05-13,2597.9091796875
2016-05-16,2591.0849609375
2016-05-17,2597.9091796875
2016-05-18,2566.0615234375
2016-05-19,2538.762939453125
2016-05-20,2581.985595703125
2016-05-23,2604.734619140625
2016-05-24,2629.757080078125
2016-05-25,2616.108642578125
2016-05-26,2636.58251953125
2016-05-27,2677.530517578125
2016-05-31,2634.307373046875
2016-06-01,2581.985595703125
2016-06-02,2579.7109375
2016-06-03,2609.283935546875
2016-06-06,2607.00927734375
2016-06-07,2611.558837890625
2016-06-08,2632.03271484375
2016-06-09,2645.68212890625
2016-06-10,2597.9091796875
2016-06-13,2572.8857421875
2016-06-14,2511.464599609375
2016-06-15,2527.388427734375
2016-06-16,2481.890625
2016-06-17,2500.089599609375
2016-06-20,2595.63525390625
2016-06-21,2636.58251953125
2016-06-22,2645.68212890625
2016-06-23,2684.35498046875
2016-06-24,2334.02392578125
2016-06-27,2132.014892578125
2016-06-28,2256.67822265625
2016-06-29,2356.77294921875
2016-06-30,2447.767822265625
2016-07-01,2422.744384765625
2016-07-04,2315.82421875
2016-07-05,2256.67822265625
2016-07-06,2184.336181640625
