Date,EMAMILTD.NS
2015-08-21,565.9835205078125
2015-08-24,513.0397338867188
2015-08-25,519.9500732421875
2015-08-26,535.5474243164062
2015-08-27,533.0560913085938
2015-08-28,515.054443359375
2015-08-31,516.4408569335938
2015-09-01,508.1222839355469
2015-09-02,528.0736083984375
2015-09-03,543.172607421875
2015-09-04,540.29150390625
2015-09-07,527.0339965820312
2015-09-08,529.936767578125
2015-09-09,525.9290161132812
2015-09-10,528.5503540039062
2015-09-11,528.138671875
2015-09-14,532.0596313476562
2015-09-15,532.0596313476562
2015-09-16,501.7968444824219
2015-09-18,474.7616271972656
2015-09-21,463.8434753417969
2015-09-22,469.5408630371094
2015-09-23,476.4945983886719
2015-09-24,474.7399597167969
2015-09-28,485.657958984375
2015-09-29,499.13226318359375
2015-09-30,499.37054443359375
2015-10-01,507.64569091796875
2015-10-05,524.6510620117188
2015-10-06,505.5227355957031
2015-10-07,509.3138122558594
2015-10-08,504.2013854980469
2015-10-09,501.99169921875
2015-10-12,480.9788818359375
2015-10-13,473.9383544921875
2015-10-14,462.76043701171875
2015-10-15,467.9378662109375
2015-10-16,465.1434020996094
2015-10-19,485.9829406738281
2015-10-20,490.14227294921875
2015-10-21,486.7844543457031
2015-10-23,472.50872802734375
2015-10-26,467.5479431152344
2015-10-27,475.2382507324219
2015-10-28,468.7394104003906
2015-10-29,454.4635925292969
2015-10-30,464.2768249511719
2015-11-02,443.1122741699219
2015-11-03,446.64337158203125
2015-11-04,449.11279296875
2015-11-05,449.7411193847656
2015-11-06,457.21478271484375
2015-11-09,459.31610107421875
2015-11-10,456.0882873535156
2015-11-13,438.5414733886719
2015-11-16,430.0279235839844
2015-11-17,433.3856506347656
2015-11-18,433.47235107421875
2015-11-19,431.0677185058594
2015-11-20,434.9671325683594
2015-11-23,425.3487548828125
2015-11-24,402.58123779296875
2015-11-26,403.57769775390625
2015-11-27,395.0425720214844
2015-11-30,402.1263122558594
2015-12-01,410.1848449707031
2015-12-02,417.96173095703125
2015-12-03,430.52618408203125
2015-12-04,437.35003662109375
2015-12-07,434.40386962890625
2015-12-08,431.9125671386719
2015-12-09,425.5003967285156
2015-12-10,426.2586669921875
2015-12-11,428.1000061035156
2015-12-14,434.5121765136719
2015-12-15,436.093505859375
2015-12-16,432.3675231933594
2015-12-17,433.8189392089844
2015-12-18,424.2656555175781
2015-12-21,426.6052551269531
2015-12-22,426.2586669921875
2015-12-23,427.3851013183594
2015-12-24,427.5583801269531
2015-12-28,424.5472412109375
2015-12-29,423.68072509765625
2015-12-30,432.172607421875
2015-12-31,433.0390625
2016-01-01,428.554931640625
2016-01-04,431.26275634765625
2016-01-05,432.8441467285156
2016-01-06,423.57244873046875
2016-01-07,419.23992919921875
2016-01-08,421.1678771972656
2016-01-11,413.10931396484375
2016-01-12,415.92547607421875
2016-01-13,428.87982177734375
2016-01-14,436.87335205078125
2016-01-15,428.554931640625
2016-01-18,433.6239318847656
2016-01-19,439.1263427734375
2016-01-20,435.6602478027344
2016-01-21,435.4002990722656
2016-01-22,437.6099548339844
