Date,EVO.ST
2015-08-24,26.704971313476562
2015-08-25,27.777067184448242
2015-08-26,29.044090270996094
2015-08-27,37.03609085083008
2015-08-28,38.9853630065918
2015-08-31,40.73969650268555
2015-09-01,40.349849700927734
2015-09-02,39.375213623046875
2015-09-03,41.5194091796875
2015-09-04,41.3244743347168
2015-09-07,45.61286926269531
2015-09-08,44.44330596923828
2015-09-09,43.078826904296875
2015-09-10,41.3244743347168
2015-09-11,41.227020263671875
2015-09-14,40.252376556396484
2015-09-15,40.057456970214844
2015-09-16,40.54477310180664
2015-09-17,43.078826904296875
2015-09-18,42.39657974243164
2015-09-21,43.858524322509766
2015-09-22,43.66360092163086
2015-09-23,42.59151077270508
2015-09-24,41.5194091796875
2015-09-25,46.49003982543945
2015-09-28,50.875892639160156
2015-09-29,49.31647872924805
2015-09-30,52.142921447753906
2015-10-01,47.0748176574707
2015-10-02,46.19765090942383
2015-10-05,45.41794204711914
2015-10-06,44.73569869995117
2015-10-07,44.345848083496094
2015-10-08,47.562137603759766
2015-10-09,47.75706100463867
2015-10-12,45.515403747558594
2015-10-13,46.19765090942383
2015-10-14,45.61286926269531
2015-10-15,46.49003982543945
2015-10-16,46.19765090942383
2015-10-19,46.78243637084961
2015-10-20,48.14691925048828
2015-10-21,50.291114807128906
2015-10-22,52.04545593261719
2015-10-23,49.51140213012695
2015-10-26,46.58750534057617
2015-10-27,47.659603118896484
2015-10-28,46.392574310302734
2015-10-29,45.41794204711914
2015-10-30,46.68496322631836
2015-11-02,48.04945755004883
2015-11-03,47.46467971801758
2015-11-04,46.97735595703125
2015-11-05,47.46467971801758
2015-11-06,48.04945755004883
2015-11-09,47.36720275878906
2015-11-10,46.392574310302734
2015-11-11,46.002723693847656
2015-11-12,47.17228317260742
2015-11-13,47.36720275878906
2015-11-16,46.97735595703125
2015-11-17,47.854522705078125
2015-11-18,47.854522705078125
2015-11-19,49.219017028808594
2015-11-20,49.706336975097656
2015-11-23,51.85052490234375
2015-11-24,50.68096160888672
2015-11-25,50.68096160888672
2015-11-26,50.7784309387207
2015-11-27,51.26573944091797
2015-11-30,56.723697662353516
2015-12-01,58.38057327270508
2015-12-02,60.037452697753906
2015-12-03,59.842529296875
2015-12-04,60.62223815917969
2015-12-07,61.30447769165039
2015-12-08,59.842529296875
2015-12-09,60.71969985961914
2015-12-10,57.69832992553711
