Date,BAJAJ-AUTO.NS
2015-08-03,1922.4366455078125
2015-08-04,1927.8089599609375
2015-08-05,1977.5025634765625
2015-08-06,1978.8072509765625
2015-08-07,1947.3792724609375
2015-08-10,1960.580078125
2015-08-11,1949.29833984375
2015-08-12,1889.665771484375
2015-08-13,1908.5841064453125
2015-08-14,1963.64990234375
2015-08-17,1945.8062744140625
2015-08-18,1939.2445068359375
2015-08-19,1951.715576171875
2015-08-20,1912.3824462890625
2015-08-21,1846.68701171875
2015-08-24,1681.9495849609375
2015-08-25,1687.053466796875
2015-08-26,1722.702392578125
2015-08-27,1679.033447265625
2015-08-28,1749.4871826171875
2015-08-31,1713.5311279296875
2015-09-01,1726.7313232421875
2015-09-02,1691.12109375
2015-09-03,1725.5804443359375
2015-09-04,1696.8770751953125
2015-09-07,1682.3720703125
2015-09-08,1692.770751953125
2015-09-09,1742.15771484375
2015-09-10,1767.25390625
2015-09-11,1784.982666015625
2015-09-14,1776.1949462890625
2015-09-15,1762.4188232421875
2015-09-16,1803.67041015625
2015-09-18,1763.263427734375
2015-09-21,1767.1776123046875
2015-09-22,1733.830322265625
2015-09-23,1718.55810546875
2015-09-24,1752.096435546875
2015-09-28,1745.5345458984375
2015-09-29,1727.30712890625
2015-09-30,1774.4683837890625
2015-10-01,1776.770751953125
2015-10-05,1833.294677734375
2015-10-06,1824.08544921875
2015-10-07,1881.6837158203125
2015-10-08,1865.6436767578125
2015-10-09,1879.9954833984375
2015-10-12,1859.005126953125
2015-10-13,1889.5889892578125
2015-10-14,1871.822021484375
2015-10-15,1880.80126953125
2015-10-16,1889.1285400390625
2015-10-19,1892.1217041015625
2015-10-20,1871.89892578125
2015-10-21,1933.296630859375
2015-10-23,1930.686767578125
2015-10-26,1976.6966552734375
2015-10-27,1981.7239990234375
2015-10-28,1972.7056884765625
2015-10-29,1978.00146484375
2015-10-30,1957.394775390625
2015-11-02,1866.987060546875
2015-11-03,1860.7703857421875
2015-11-04,1879.5733642578125
2015-11-05,1852.90380859375
2015-11-06,1864.5311279296875
2015-11-09,1848.912841796875
2015-11-10,1886.02001953125
2015-11-13,1826.9248046875
2015-11-16,1820.9005126953125
2015-11-17,1815.298095703125
2015-11-18,1798.1063232421875
2015-11-19,1863.610107421875
2015-11-20,1900.755615234375
2015-11-23,1936.1357421875
2015-11-24,1900.870849609375
2015-11-26,1878.8828125
2015-11-27,1878.6522216796875
2015-11-30,1902.7508544921875
2015-12-01,1891.545654296875
2015-12-02,1919.1363525390625
2015-12-03,1903.4801025390625
2015-12-04,1897.609130859375
2015-12-07,1880.1103515625
2015-12-08,1890.0108642578125
2015-12-09,1833.7171630859375
2015-12-10,1875.1220703125
2015-12-11,1854.400146484375
2015-12-14,1848.9896240234375
2015-12-15,1870.5556640625
2015-12-16,1882.3748779296875
2015-12-17,1942.54443359375
2015-12-18,1895.306640625
2015-12-21,1910.61767578125
2015-12-22,1900.4486083984375
2015-12-23,1898.2611083984375
2015-12-24,1905.5523681640625
2015-12-28,1912.95849609375
2015-12-29,1942.04541015625
2015-12-30,1929.4591064453125
2015-12-31,1943.2349853515625
2016-01-01,1932.4903564453125
2016-01-04,1905.897705078125
2016-01-05,1920.479736328125
2016-01-06,1907.547607421875
2016-01-07,1856.7027587890625
2016-01-08,1823.3946533203125
2016-01-11,1811.61376953125
2016-01-12,1799.21923828125
2016-01-13,1818.6744384765625
2016-01-14,1813.110595703125
2016-01-15,1782.1812744140625
2016-01-18,1726.7313232421875
2016-01-19,1739.3182373046875
2016-01-20,1748.5662841796875
2016-01-21,1744.421875
2016-01-22,1779.6490478515625
2016-01-25,1786.1337890625
2016-01-27,1767.3692626953125
2016-01-28,1737.0926513671875
2016-01-29,1797.377197265625
2016-02-01,1786.5941162109375
2016-02-02,1814.3768310546875
2016-02-03,1801.751708984375
2016-02-04,1773.3555908203125
2016-02-05,1816.1036376953125
2016-02-08,1807.4310302734375
2016-02-09,1823.9703369140625
2016-02-10,1817.4847412109375
2016-02-11,1788.1290283203125
2016-02-12,1768.558837890625
2016-02-15,1797.4923095703125
2016-02-16,1788.0911865234375
2016-02-17,1809.27294921875
2016-02-18,1846.8408203125
