Date,METROBRAND.NS
2021-12-22,485.9822692871094
2021-12-23,473.42266845703125
2021-12-24,463.4242248535156
2021-12-27,443.2304382324219
2021-12-28,453.3765869140625
2021-12-29,447.17071533203125
2021-12-30,445.39752197265625
2021-12-31,451.357177734375
2022-01-03,446.82586669921875
2022-01-04,430.07977294921875
2022-01-05,433.2812194824219
2022-01-06,448.4019775390625
2022-01-07,461.257080078125
2022-01-10,471.1077575683594
2022-01-11,487.164306640625
2022-01-12,491.5478820800781
2022-01-13,493.4687805175781
2022-01-14,500.3642272949219
2022-01-17,595.96484375
2022-01-18,596.161865234375
2022-01-19,599.0185546875
2022-01-20,599.4618530273438
2022-01-21,592.7633056640625
2022-01-24,588.5276489257812
2022-01-25,603.7468872070312
2022-01-27,616.4542236328125
2022-01-28,605.9633178710938
2022-01-31,599.8065795898438
2022-02-01,586.2620239257812
2022-02-02,589.7589111328125
2022-02-03,582.22314453125
2022-02-04,573.8009033203125
2022-02-07,569.2696533203125
2022-02-08,558.7293090820312
2022-02-09,585.7200927734375
2022-02-10,577.69189453125
2022-02-11,570.0577392578125
2022-02-14,551.2427978515625
2022-02-15,566.018798828125
2022-02-16,563.60546875
2022-02-17,549.8638305664062
2022-02-18,546.1204833984375
2022-02-21,540.5548706054688
2022-02-22,539.323486328125
2022-02-23,534.6937255859375
2022-02-24,514.992431640625
2022-02-25,536.9594116210938
2022-02-28,535.8759155273438
2022-03-02,528.1922607421875
2022-03-03,524.0057983398438
2022-03-04,511.2491455078125
2022-03-07,510.51031494140625
2022-03-08,512.3820190429688
2022-03-09,514.2042846679688
2022-03-10,527.35498046875
2022-03-11,540.6041259765625
2022-03-14,531.6892700195312
2022-03-15,543.3623046875
2022-03-16,563.1173095703125
2022-03-17,566.1300048828125
2022-03-21,565.5372924804688
2022-03-22,563.1173095703125
2022-03-23,562.96923828125
2022-03-24,568.40185546875
2022-03-25,575.7606201171875
2022-03-28,587.0703735351562
2022-03-29,591.4658813476562
2022-03-30,599.0714721679688
2022-03-31,604.7017211914062
2022-04-01,598.8246459960938
2022-04-04,593.8364868164062
2022-04-05,590.3793334960938
