Date,IPO.L
2015-08-24,205.90016174316406
2015-08-25,212.29702758789062
2015-08-26,216.19517517089844
2015-08-27,222.19224548339844
2015-08-28,223.4916229248047
2015-09-01,221.29266357421875
2015-09-02,225.0908203125
2015-09-03,238.7841796875
2015-09-04,235.6857147216797
2015-09-07,238.3843994140625
2015-09-08,235.48580932617188
2015-09-09,241.38294982910156
2015-09-10,240.28346252441406
2015-09-11,239.38389587402344
2015-09-14,243.48191833496094
2015-09-15,243.88172912597656
2015-09-16,245.8807373046875
2015-09-17,250.67843627929688
2015-09-18,258.9743957519531
2015-09-21,256.9753723144531
2015-09-22,248.87928771972656
2015-09-23,250.87831115722656
2015-09-24,243.981689453125
2015-09-25,240.783203125
2015-09-28,238.3843994140625
2015-09-29,228.08938598632812
2015-09-30,229.8885040283203
2015-10-01,237.68472290039062
2015-10-02,236.6852264404297
2015-10-05,238.58428955078125
2015-10-06,235.5857391357422
2015-10-07,236.78514099121094
2015-10-08,220.1932373046875
2015-10-09,234.68618774414062
2015-10-12,238.18450927734375
2015-10-13,231.28781127929688
2015-10-14,227.6895751953125
2015-10-15,230.18838500976562
2015-10-16,233.4867706298828
2015-10-19,233.286865234375
2015-10-20,235.48580932617188
2015-10-21,235.88558959960938
2015-10-22,237.68472290039062
2015-10-23,240.88316345214844
2015-10-26,236.38536071777344
2015-10-27,234.88607788085938
2015-10-28,239.6837615966797
2015-10-29,239.8836669921875
2015-10-30,237.68472290039062
2015-11-02,241.88270568847656
2015-11-03,238.8841552734375
2015-11-04,241.68280029296875
2015-11-05,240.38340759277344
2015-11-06,244.7812957763672
2015-11-09,239.78370666503906
2015-11-10,234.38633728027344
2015-11-11,236.1854705810547
2015-11-12,232.98703002929688
2015-11-13,234.88607788085938
2015-11-16,236.48532104492188
2015-11-17,234.38633728027344
2015-11-18,236.8851318359375
2015-11-19,232.0874481201172
2015-11-20,234.38633728027344
2015-11-23,235.6857147216797
2015-11-24,231.58767700195312
2015-11-25,229.38876342773438
2015-11-26,234.88607788085938
2015-11-27,236.48532104492188
2015-11-30,238.98410034179688
2015-12-01,234.88607788085938
2015-12-02,232.68714904785156
2015-12-03,229.8885040283203
2015-12-04,227.88949584960938
2015-12-07,229.8885040283203
2015-12-08,225.39071655273438
2015-12-09,224.6910400390625
2015-12-10,221.0927734375
2015-12-11,219.49354553222656
2015-12-14,218.09422302246094
2015-12-15,220.09324645996094
2015-12-16,216.8948211669922
2015-12-17,214.09616088867188
2015-12-18,213.89627075195312
2015-12-21,213.59640502929688
2015-12-22,212.59689331054688
2015-12-23,212.29702758789062
2015-12-24,211.6973419189453
2015-12-29,209.89822387695312
2015-12-30,207.89918518066406
2015-12-31,204.900634765625
2016-01-04,200.1029815673828
2016-01-05,206.899658203125
2016-01-06,202.50181579589844
2016-01-07,198.40379333496094
2016-01-08,197.90402221679688
2016-01-11,198.8035888671875
2016-01-12,196.00494384765625
2016-01-13,190.20774841308594
2016-01-14,182.21163940429688
2016-01-15,179.41297912597656
2016-01-18,179.91273498535156
2016-01-19,181.2121124267578
2016-01-20,177.61386108398438
2016-01-21,173.4158935546875
2016-01-22,173.1160430908203
2016-01-25,177.1140899658203
2016-01-26,175.91468811035156
2016-01-27,183.21115112304688
2016-01-28,183.71090698242188
2016-01-29,186.00978088378906
2016-02-01,177.7138214111328
2016-02-02,174.9151611328125
2016-02-03,169.4178466796875
2016-02-04,169.81764221191406
2016-02-05,167.7186737060547
2016-02-08,159.9224395751953
2016-02-09,155.12477111816406
2016-02-10,166.01950073242188
2016-02-11,161.32174682617188
2016-02-12,166.21939086914062
2016-02-15,173.7157745361328
2016-02-16,170.9171142578125
2016-02-17,173.4158935546875
2016-02-18,179.41297912597656
2016-02-19,183.61094665527344
2016-02-22,184.91030883789062
2016-02-23,183.91082763671875
2016-02-24,184.91030883789062
2016-02-25,186.10975646972656
2016-02-26,184.21066284179688
2016-02-29,180.91226196289062
2016-03-01,180.41249084472656
2016-03-02,178.41348266601562
2016-03-03,178.11361694335938
2016-03-04,176.8142547607422
2016-03-07,175.21502685546875
2016-03-08,172.1165008544922
2016-03-09,168.51828002929688
2016-03-10,163.0209503173828
2016-03-11,173.61578369140625
2016-03-14,173.9156494140625
2016-03-15,178.9132537841797
2016-03-16,179.7128448486328
2016-03-17,177.41395568847656
2016-03-18,183.81085205078125
2016-03-21,181.1121826171875
2016-03-22,184.61048889160156
2016-03-23,176.1145782470703
2016-03-24,174.9151611328125
2016-03-29,175.11508178710938
2016-03-30,174.8152313232422
2016-03-31,175.514892578125
2016-04-01,173.01609802246094
2016-04-04,174.8152313232422
2016-04-05,172.51634216308594
2016-04-06,173.7157745361328
2016-04-07,170.9171142578125
2016-04-08,164.92001342773438
2016-04-11,156.92391967773438
2016-04-12,155.12477111816406
2016-04-13,159.9224395751953
2016-04-14,162.4212188720703
2016-04-15,164.62014770507812
2016-04-18,163.92050170898438
2016-04-19,163.92050170898438
2016-04-20,172.1165008544922
2016-04-21,178.8132781982422
2016-04-22,176.7143096923828
2016-04-25,182.3115692138672
2016-04-26,183.81085205078125
2016-04-27,189.8079376220703
2016-04-28,176.21453857421875
2016-04-29,171.81668090820312
2016-05-03,164.42027282714844
2016-05-04,159.5226287841797
2016-05-05,160.2222900390625
2016-05-06,159.82249450683594
2016-05-09,157.72352600097656
2016-05-10,159.5226287841797
2016-05-11,158.82296752929688
2016-05-12,156.22425842285156
2016-05-13,152.02627563476562
2016-05-16,155.7244873046875
2016-05-17,154.3251495361328
2016-05-18,153.2257080078125
2016-05-19,152.5260467529297
2016-05-20,151.82635498046875
2016-05-23,156.4241485595703
2016-05-24,156.4241485595703
2016-05-25,158.3231964111328
2016-05-26,163.0209503173828
2016-05-27,163.0209503173828
2016-05-31,168.31837463378906
2016-06-01,167.818603515625
