Date,KEPL3.SA
2015-08-24,1.5971847772598267
2015-08-25,1.5943578481674194
2015-08-26,1.5359355211257935
2015-08-27,1.6216844320297241
2015-08-28,1.6442993879318237
2015-08-31,1.674452781677246
2015-09-01,1.6678568124771118
2015-09-02,1.5830506086349487
2015-09-03,1.6018961668014526
2015-09-04,1.5830506086349487
2015-09-08,1.5821081399917603
2015-09-09,1.5642040967941284
2015-09-10,1.5547816753387451
2015-09-11,1.469975471496582
2015-09-14,1.469032883644104
2015-09-15,1.488821029663086
2015-09-16,1.5538392066955566
2015-09-17,1.587761640548706
2015-09-18,1.5971847772598267
2015-09-21,1.5971847772598267
2015-09-22,1.5594931840896606
2015-09-23,1.6867022514343262
2015-09-24,1.731932520866394
2015-09-25,1.8487768173217773
2015-09-28,1.8836406469345093
2015-09-29,1.9307562112808228
2015-09-30,1.9769283533096313
2015-10-01,2.0070817470550537
2015-10-02,2.176693916320801
2015-10-05,2.3265187740325928
2015-10-06,2.5046119689941406
2015-10-07,2.383998394012451
2015-10-08,2.3236918449401855
2015-10-09,2.1672708988189697
2015-10-13,2.16538667678833
2015-10-14,2.057023286819458
2015-10-15,2.1013104915618896
2015-10-16,2.0325238704681396
2015-10-19,1.917563796043396
2015-10-20,2.1192147731781006
2015-10-21,2.1964826583862305
2015-10-22,2.214385986328125
2015-10-23,2.1757519245147705
2015-10-26,2.124868392944336
2015-10-27,2.1107335090637207
2015-10-28,2.0965993404388428
2015-10-29,2.1107335090637207
2015-10-30,2.1521944999694824
2015-11-03,2.3463072776794434
2015-11-04,2.378345012664795
2015-11-05,2.355729341506958
2015-11-06,2.3529021739959717
2015-11-09,2.3642098903656006
2015-11-10,2.313326358795166
2015-11-11,2.30861496925354
2015-11-12,2.1672708988189697
2015-11-13,2.063619613647461
2015-11-16,2.186117172241211
2015-11-17,2.162559986114502
2015-11-18,2.1672708988189697
2015-11-19,2.1578481197357178
2015-11-23,2.12015700340271
2015-11-24,2.0956571102142334
2015-11-25,2.0721001625061035
2015-11-26,2.0155627727508545
2015-11-27,1.978813648223877
2015-11-30,1.6263959407806396
2015-12-01,1.6018961668014526
2015-12-02,1.57362699508667
2015-12-03,1.587761640548706
2015-12-04,1.5547816753387451
2015-12-07,1.5359355211257935
2015-12-08,1.4775135517120361
2015-12-09,1.4652634859085083
2015-12-10,1.4040147066116333
2015-12-11,1.4040147066116333
2015-12-14,1.40684175491333
2015-12-15,1.4341678619384766
2015-12-16,1.4728022813796997
2015-12-17,1.475629210472107
2015-12-18,1.4935321807861328
2015-12-21,1.441706895828247
2015-12-22,1.4285144805908203
2015-12-23,1.432283878326416
2015-12-28,1.4935321807861328
2015-12-29,1.5076667070388794
2015-12-30,1.5265129804611206
2016-01-04,1.4464178085327148
2016-01-05,1.4341678619384766
2016-01-06,1.3842265605926514
2016-01-07,1.33051598072052
2016-01-08,1.3578420877456665
2016-01-11,1.3521885871887207
2016-01-12,1.2777477502822876
2016-01-13,1.0760972499847412
2016-01-14,1.0742127895355225
2016-01-15,1.0930585861206055
2016-01-18,1.1071929931640625
2016-01-19,1.177864670753479
2016-01-20,1.1119041442871094
2016-01-21,1.1071929931640625
2016-01-22,1.1684414148330688
2016-01-26,1.1307504177093506
2016-01-27,1.1580764055252075
2016-01-28,1.1326346397399902
2016-01-29,1.1307504177093506
2016-02-01,1.1298078298568726
2016-02-02,1.1194432973861694
2016-02-03,1.1307504177093506
2016-02-04,1.1307504177093506
2016-02-05,1.1119041442871094
2016-02-10,1.1185004711151123
2016-02-11,1.0883469581604004
2016-02-12,1.1590189933776855
2016-02-15,1.1024816036224365
2016-02-16,1.1128467321395874
2016-02-17,1.1335773468017578
2016-02-18,1.1307504177093506
2016-02-19,1.1307504177093506
2016-02-22,1.1543071269989014
2016-02-23,1.149596095085144
2016-02-24,1.1392312049865723
2016-02-25,1.1401728391647339
2016-02-26,1.1213274002075195
2016-02-29,1.1458265781402588
2016-03-01,1.192941665649414
2016-03-02,1.239113688468933
2016-03-03,1.2438254356384277
2016-03-04,1.2815165519714355
2016-03-07,1.2409987449645996
2016-03-08,1.2720942497253418
2016-03-09,1.2843434810638428
2016-03-10,1.2956511974334717
2016-03-11,1.2956511974334717
2016-03-14,1.3050739765167236
2016-03-15,1.2626712322235107
2016-03-16,1.3003625869750977
2016-03-17,1.3757460117340088
2016-03-18,1.3192085027694702
2016-03-21,1.312612533569336
2016-03-22,1.35124671459198
2016-03-23,1.3559582233428955
2016-03-24,1.389880657196045
2016-03-28,1.4586679935455322
2016-03-29,1.4746869802474976
2016-03-30,1.4775135517120361
2016-03-31,1.4040147066116333
2016-04-01,1.413437843322754
2016-04-04,1.3879963159561157
2016-04-05,1.3192085027694702
2016-04-06,1.2626712322235107
2016-04-07,1.4021302461624146
2016-04-08,1.377630352973938
2016-04-11,1.35124671459198
2016-04-12,1.3192085027694702
2016-04-13,1.3144971132278442
2016-04-14,1.3201510906219482
2016-04-15,1.3380542993545532
2016-04-18,1.3380542993545532
2016-04-19,1.316381573677063
2016-04-20,1.3606692552566528
2016-04-22,1.3663233518600464
2016-04-25,1.3267467021942139
2016-04-26,1.3653812408447266
2016-04-27,1.3851691484451294
2016-04-28,1.451799988746643
2016-04-29,1.5020909309387207
2016-05-02,1.515375018119812
2016-05-03,1.4888066053390503
2016-05-04,1.4755219221115112
2016-05-05,1.4812151193618774
2016-05-06,1.4318733215332031
2016-05-09,1.4423109292984009
2016-05-10,1.4280775785446167
2016-05-11,1.4660332202911377
2016-05-12,1.5353018045425415
