Date,IRCTC.NS
2019-10-14,140.02162170410156
2019-10-15,137.21253967285156
2019-10-16,134.80747985839844
2019-10-17,139.35784912109375
2019-10-18,149.9111785888672
2019-10-22,162.52320861816406
2019-10-23,173.2208251953125
2019-10-24,173.55755615234375
2019-10-25,172.98033142089844
2019-10-27,174.64459228515625
2019-10-29,169.9114990234375
2019-10-30,171.3256378173828
2019-10-31,169.6421356201172
2019-11-01,171.33529663085938
2019-11-04,169.9788360595703
2019-11-05,169.60365295410156
2019-11-06,170.14239501953125
2019-11-07,169.60365295410156
2019-11-08,168.71859741210938
2019-11-11,179.49319458007812
2019-11-13,179.3296356201172
2019-11-14,174.56764221191406
2019-11-15,178.58888244628906
2019-11-18,177.4248504638672
2019-11-19,173.6537322998047
2019-11-20,172.33580017089844
2019-11-21,170.2385711669922
2019-11-22,168.5261688232422
2019-11-25,169.72869873046875
2019-11-26,169.06491088867188
2019-11-27,169.9403533935547
2019-11-28,169.7864532470703
2019-11-29,172.6339874267578
2019-12-02,169.51707458496094
2019-12-03,168.35302734375
2019-12-04,168.17987060546875
2019-12-05,168.53582763671875
2019-12-06,167.84315490722656
2019-12-09,166.89077758789062
2019-12-10,165.64013671875
2019-12-11,166.3616485595703
2019-12-12,167.37176513671875
2019-12-13,171.33529663085938
2019-12-16,170.60415649414062
2019-12-17,170.61375427246094
2019-12-18,168.42037963867188
2019-12-19,167.33328247070312
2019-12-20,166.78494262695312
2019-12-23,166.3809051513672
2019-12-24,170.7677001953125
2019-12-26,168.71859741210938
2019-12-27,169.43045043945312
2019-12-30,178.1944580078125
2019-12-31,179.59902954101562
2020-01-01,181.69619750976562
2020-01-02,179.0121612548828
2020-01-03,179.20460510253906
2020-01-06,172.0952606201172
2020-01-07,174.5869140625
2020-01-08,172.42234802246094
2020-01-09,175.78939819335938
2020-01-10,176.48208618164062
2020-01-13,180.69573974609375
2020-01-14,187.42984008789062
2020-01-15,189.5943603515625
2020-01-16,193.10574340820312
2020-01-17,196.60745239257812
2020-01-20,191.1239776611328
2020-01-21,189.08450317382812
2020-01-22,191.79739379882812
2020-01-23,191.53762817382812
2020-01-24,192.9229278564453
2020-01-27,193.86575317382812
2020-01-28,201.7735137939453
2020-01-29,214.79922485351562
2020-01-30,218.7915802001953
2020-01-31,232.8658905029297
2020-02-03,240.66786193847656
2020-02-04,271.7987365722656
2020-02-05,290.25018310546875
2020-02-06,289.4324645996094
2020-02-07,291.20263671875
2020-02-10,284.7956237792969
2020-02-11,270.9040832519531
2020-02-12,272.2989807128906
2020-02-13,304.0647888183594
2020-02-14,299.6490783691406
2020-02-17,292.193603515625
2020-02-18,315.2723388671875
2020-02-19,352.4638977050781
2020-02-20,371.3482971191406
2020-02-24,372.01556396484375
2020-02-25,377.5179138183594
2020-02-26,377.4598693847656
2020-02-27,369.2885437011719
2020-02-28,337.2606201171875
2020-03-02,333.28607177734375
2020-03-03,336.3902282714844
2020-03-04,302.7570495605469
2020-03-05,276.7342834472656
2020-03-06,262.90582275390625
2020-03-09,249.7638702392578
2020-03-11,248.5938262939453
2020-03-12,236.16748046875
2020-03-13,237.4536590576172
2020-03-16,225.5882110595703
2020-03-17,214.31265258789062
2020-03-18,203.59800720214844
2020-03-19,193.42489624023438
2020-03-20,183.92864990234375
2020-03-23,174.73223876953125
2020-03-24,165.99996948242188
2020-03-25,157.702880859375
2020-03-26,165.58413696289062
2020-03-27,173.8618927001953
2020-03-30,180.98892211914062
2020-03-31,190.03060913085938
2020-04-01,199.52684020996094
2020-04-03,209.4968719482422
