Date,JKCEMENT.NS
2015-08-21,614.5111083984375
2015-08-24,562.4108276367188
2015-08-25,566.3969116210938
2015-08-26,585.8582763671875
2015-08-27,585.2487182617188
2015-08-28,588.3905639648438
2015-08-31,587.4058227539062
2015-09-01,575.3068237304688
2015-09-02,565.7403564453125
2015-09-03,577.2763671875
2015-09-04,572.3056030273438
2015-09-07,571.9772338867188
2015-09-08,570.1953735351562
2015-09-09,588.578125
2015-09-10,582.4349975585938
2015-09-11,581.4970703125
2015-09-14,585.7174682617188
2015-09-15,587.1243286132812
2015-09-16,583.1851806640625
2015-09-18,575.400634765625
2015-09-21,576.7138671875
2015-09-22,575.3538208007812
2015-09-23,605.83544921875
2015-09-24,609.3525390625
2015-09-28,592.986328125
2015-09-29,614.0420532226562
2015-09-30,612.7760009765625
2015-10-01,612.0725708007812
2015-10-05,613.5731201171875
2015-10-06,632.8471069335938
2015-10-07,625.859619140625
2015-10-08,617.5123901367188
2015-10-09,611.5567626953125
2015-10-12,600.3018188476562
2015-10-13,592.04833984375
2015-10-14,584.638916015625
2015-10-15,588.3905639648438
2015-10-16,602.2245483398438
2015-10-19,610.0091552734375
2015-10-20,614.3235473632812
2015-10-21,613.010498046875
2015-10-23,611.6035766601562
2015-10-26,603.6314086914062
2015-10-27,605.60107421875
2015-10-28,601.755615234375
2015-10-29,622.9990234375
2015-10-30,642.882568359375
2015-11-02,614.93310546875
2015-11-03,610.4312133789062
2015-11-04,609.9154052734375
2015-11-05,610.0091552734375
2015-11-06,609.2587280273438
2015-11-09,604.1002807617188
2015-11-10,619.4819946289062
2015-11-13,607.429931640625
2015-11-16,598.7543334960938
2015-11-17,602.0370483398438
2015-11-18,604.4755249023438
2015-11-19,608.3677978515625
2015-11-20,623.0459594726562
2015-11-23,610.29052734375
2015-11-24,606.023193359375
2015-11-26,612.7290649414062
2015-11-27,665.814208984375
2015-11-30,648.275390625
2015-12-01,643.3983154296875
2015-12-02,637.7240600585938
2015-12-03,624.0305786132812
2015-12-04,612.5414428710938
2015-12-07,614.7923583984375
2015-12-08,614.0889892578125
2015-12-09,604.3348388671875
2015-12-10,620.8888549804688
2015-12-11,613.010498046875
2015-12-14,609.4464721679688
2015-12-15,614.93310546875
2015-12-16,601.5211181640625
2015-12-17,619.3411254882812
2015-12-18,606.8671264648438
2015-12-21,606.2575073242188
2015-12-22,601.1460571289062
2015-12-23,583.7010498046875
2015-12-24,587.1243286132812
2015-12-28,573.0090942382812
2015-12-29,575.166259765625
2015-12-30,562.12939453125
2015-12-31,541.2142333984375
2016-01-01,559.5971069335938
2016-01-04,545.6692504882812
2016-01-05,543.4653930664062
2016-01-06,543.9811401367188
2016-01-07,530.2879028320312
