Date,WIE.VI
2015-08-24,12.383588790893555
2015-08-25,12.503005981445312
2015-08-26,12.618444442749023
2015-08-27,12.920966148376465
2015-08-28,12.132811546325684
2015-08-31,12.634364128112793
2015-09-01,12.359704971313477
2015-09-02,12.18057918548584
2015-09-03,12.383588790893555
2015-09-04,12.252230644226074
2015-09-07,12.236306190490723
2015-09-08,12.447278022766113
2015-09-09,12.805529594421387
2015-09-10,12.857277870178223
2015-09-11,12.972715377807617
2015-09-14,12.98067569732666
2015-09-15,12.952811241149902
2015-09-16,13.135919570922852
2015-09-17,13.28718090057373
2015-09-18,13.38271427154541
2015-09-21,13.275238990783691
2015-09-22,13.08018970489502
2015-09-23,12.956790924072266
2015-09-24,12.709997177124023
2015-09-25,12.797569274902344
2015-09-28,12.558733940124512
2015-09-29,12.455239295959473
2015-09-30,12.518927574157715
2015-10-01,12.654268264770508
2015-10-02,12.522908210754395
2015-10-05,12.610481262207031
2015-10-06,12.75776195526123
2015-10-07,13.044364929199219
2015-10-08,13.112034797668457
2015-10-09,13.155820846557617
2015-10-12,13.048345565795898
2015-10-13,12.439314842224121
2015-10-14,12.725918769836426
2015-10-15,13.28718090057373
2015-10-16,13.5220365524292
2015-10-19,13.601645469665527
2015-10-20,13.533974647521973
2015-10-21,13.637471199035645
2015-10-22,13.6135892868042
2015-10-23,13.87232494354248
2015-10-27,13.74892807006836
2015-10-28,14.19077205657959
2015-10-29,13.983783721923828
2015-10-30,13.346887588500977
2015-11-02,13.028443336486816
2015-11-03,13.100091934204102
2015-11-04,12.968734741210938
2015-11-05,12.833395957946777
2015-11-06,13.096113204956055
2015-11-09,13.028443336486816
2015-11-10,13.056304931640625
2015-11-11,12.825434684753418
2015-11-12,11.304851531982422
2015-11-13,11.77057933807373
2015-11-16,11.46805477142334
2015-11-17,12.423394203186035
2015-11-18,12.459218978881836
2015-11-19,12.877180099487305
2015-11-20,12.996598243713379
2015-11-23,12.976694107055664
2015-11-24,12.901063919067383
2015-11-25,12.805529594421387
2015-11-26,12.80155086517334
2015-11-27,12.765724182128906
2015-11-30,13.227472305297852
2015-12-01,13.28320026397705
