Date,TATACHEM.NS
2015-08-21,148.8896026611328
2015-08-24,131.9897003173828
2015-08-25,138.85997009277344
2015-08-26,133.1263885498047
2015-08-27,134.7144012451172
2015-08-28,136.73704528808594
2015-08-31,133.6613006591797
2015-09-01,132.54132080078125
2015-09-02,129.9169158935547
2015-09-03,131.83924865722656
2015-09-04,127.97785949707031
2015-09-07,126.87457275390625
2015-09-08,128.3121795654297
2015-09-09,130.9867401123047
2015-09-10,129.83331298828125
2015-09-11,129.39871215820312
2015-09-14,128.2787628173828
2015-09-15,128.0948486328125
2015-09-16,128.2620391845703
2015-09-18,132.4410400390625
2015-09-21,131.68881225585938
2015-09-22,127.77726745605469
2015-09-23,125.67105865478516
2015-09-24,127.12531280517578
2015-09-28,124.50092315673828
2015-09-29,123.76541137695312
2015-09-30,127.6268081665039
2015-10-01,127.71039581298828
2015-10-05,133.3603973388672
2015-10-06,136.10183715820312
2015-10-07,135.60037231445312
2015-10-08,133.77830505371094
2015-10-09,136.1854248046875
2015-10-12,136.3191680908203
2015-10-13,138.5089569091797
2015-10-14,137.1382293701172
2015-10-15,137.5059814453125
2015-10-16,139.34475708007812
2015-10-19,138.77639770507812
2015-10-20,139.67906188964844
2015-10-21,137.97401428222656
2015-10-23,138.9602813720703
2015-10-26,140.76560974121094
2015-10-27,140.59848022460938
2015-10-28,139.1942901611328
2015-10-29,138.3250732421875
2015-10-30,136.5531463623047
2015-11-02,136.77047729492188
2015-11-03,139.378173828125
2015-11-04,140.09695434570312
2015-11-05,138.87667846679688
2015-11-06,137.00448608398438
2015-11-09,140.197265625
2015-11-10,138.55909729003906
2015-11-13,140.11367797851562
2015-11-16,139.84625244140625
2015-11-17,140.58172607421875
2015-11-18,140.11367797851562
2015-11-19,143.65748596191406
2015-11-20,144.22579956054688
2015-11-23,143.85809326171875
2015-11-24,143.27301025390625
2015-11-26,144.09210205078125
2015-11-27,142.20318603515625
2015-11-30,140.0301055908203
2015-12-01,142.95541381835938
2015-12-02,146.11473083496094
2015-12-03,142.40377807617188
2015-12-04,140.0802459716797
2015-12-07,139.1942901611328
2015-12-08,137.3722686767578
2015-12-09,132.34072875976562
2015-12-10,131.15391540527344
2015-12-11,129.7998809814453
2015-12-14,131.77239990234375
2015-12-15,132.35745239257812
2015-12-16,132.5078887939453
2015-12-17,132.2738800048828
2015-12-18,130.93658447265625
2015-12-21,131.7891082763672
2015-12-22,130.8028564453125
2015-12-23,134.63084411621094
2015-12-24,136.45289611816406
2015-12-28,135.4331817626953
2015-12-29,137.18836975097656
2015-12-30,136.3024139404297
2015-12-31,134.2129364013672
2016-01-01,136.70361328125
2016-01-04,136.08509826660156
2016-01-05,134.84814453125
2016-01-06,138.592529296875
2016-01-07,131.40464782714844
2016-01-08,134.07919311523438
2016-01-11,131.5383758544922
