Date,AHT.L
2015-08-24,881.6182250976562
2015-08-25,921.0564575195312
2015-08-26,900.5885620117188
2015-08-27,936.0330200195312
2015-08-28,944.0205078125
2015-09-01,915.5650634765625
2015-09-02,986.4541625976562
2015-09-03,1011.4148559570312
2015-09-04,975.9703369140625
2015-09-07,979.4649047851562
2015-09-08,972.9749755859375
2015-09-09,988.9500732421875
2015-09-10,1016.4068603515625
2015-09-11,1007.4210205078125
2015-09-14,991.4461059570312
2015-09-15,997.4365844726562
2015-09-16,1011.4148559570312
2015-09-17,1001.4304809570312
2015-09-18,979.4649047851562
2015-09-21,962.9907836914062
2015-09-22,942.0235595703125
2015-09-23,953.5054931640625
2015-09-24,928.5448608398438
2015-09-25,948.0143432617188
2015-09-28,929.0440673828125
2015-09-29,906.5791015625
2015-09-30,928.5448608398438
2015-10-01,921.5556640625
2015-10-02,928.5448608398438
2015-10-05,964.987548828125
2015-10-06,978.9656372070312
2015-10-07,984.9562377929688
2015-10-08,999.4335327148438
2015-10-09,1043.3646240234375
2015-10-12,1009.4180908203125
2015-10-13,994.44140625
2015-10-14,977.4679565429688
2015-10-15,962.9907836914062
2015-10-16,948.0143432617188
2015-10-19,936.5321044921875
2015-10-20,939.5274658203125
2015-10-21,948.5133666992188
2015-10-22,985.4555053710938
2015-10-23,1010.4163818359375
2015-10-26,996.4383544921875
2015-10-27,979.964111328125
2015-10-28,1000.4320678710938
2015-10-29,987.4522705078125
2015-10-30,998.4351806640625
2015-11-02,1020.400634765625
2015-11-03,1035.3773193359375
2015-11-04,1033.380126953125
2015-11-05,1015.4085693359375
2015-11-06,1015.4085693359375
2015-11-09,1014.41015625
2015-11-10,997.9358520507812
2015-11-11,1009.4180908203125
2015-11-12,988.4508056640625
2015-11-13,981.9609375
2015-11-16,988.9500732421875
2015-11-17,1019.4024047851562
2015-11-18,1029.3863525390625
2015-11-19,1050.3536376953125
2015-11-20,1058.3411865234375
2015-11-23,1056.3443603515625
2015-11-24,1030.38525390625
2015-11-25,1059.33984375
