Date,SPG
2015-08-03,113.97624969482422
2015-08-04,114.07302856445312
2015-08-05,114.16378021240234
2015-08-06,114.8897933959961
2015-08-07,115.97278594970703
2015-08-10,114.44210052490234
2015-08-11,115.88806915283203
2015-08-12,116.17240142822266
2015-08-13,116.34317016601562
2015-08-14,116.9104232788086
2015-08-17,118.04483032226562
2015-08-18,118.8011703491211
2015-08-19,117.8313980102539
2015-08-20,117.23368072509766
2015-08-21,115.8674545288086
2015-08-24,111.04902648925781
2015-08-25,108.01161193847656
2015-08-26,110.988037109375
2015-08-27,113.2813491821289
2015-08-28,112.42137908935547
2015-08-31,109.3717269897461
2015-09-01,106.74298858642578
2015-09-02,108.03598022460938
2015-09-03,108.51785278320312
2015-09-04,106.68807220458984
2015-09-08,108.28604125976562
2015-09-09,106.49288940429688
2015-09-10,106.77345275878906
2015-09-11,109.2619400024414
2015-09-14,109.13996887207031
2015-09-15,110.44519805908203
2015-09-16,111.87242126464844
2015-09-17,112.76292419433594
2015-09-18,112.22618103027344
2015-09-21,113.31791687011719
2015-09-22,111.76264953613281
2015-09-23,111.92121124267578
2015-09-24,110.53667449951172
2015-09-25,111.4881591796875
2015-09-28,109.88407897949219
2015-09-29,111.26859283447266
2015-09-30,112.05540466308594
2015-10-01,113.38504791259766
2015-10-02,114.34872436523438
2015-10-05,116.98968505859375
2015-10-06,116.94087982177734
2015-10-07,118.45963287353516
2015-10-08,118.90486907958984
2015-10-09,118.98411560058594
2015-10-12,119.93565368652344
2015-10-13,118.91098022460938
2015-10-14,118.38643646240234
2015-10-15,120.51504516601562
2015-10-16,121.131103515625
2015-10-19,123.56468963623047
2015-10-20,123.29021453857422
2015-10-21,123.96113586425781
2015-10-22,124.93094635009766
2015-10-23,123.839111328125
2015-10-26,124.04041290283203
2015-10-27,125.76039123535156
2015-10-28,125.4676513671875
2015-10-29,124.66255187988281
2015-10-30,122.87544250488281
2015-11-02,125.50423431396484
2015-11-03,124.36369323730469
2015-11-04,124.26605987548828
2015-11-05,123.81475830078125
2015-11-06,118.87434387207031
2015-11-09,116.80669403076172
2015-11-10,118.60599517822266
2015-11-11,118.0570297241211
2015-11-12,117.5158462524414
2015-11-13,114.6007080078125
2015-11-16,115.40021514892578
2015-11-17,114.90206909179688
2015-11-18,116.9992446899414
2015-11-19,117.49126434326172
2015-11-20,118.22313690185547
2015-11-23,117.5219955444336
2015-11-24,115.15422058105469
2015-11-25,115.92303466796875
2015-11-27,116.85163116455078
2015-11-30,114.5392074584961
2015-12-01,116.02755737304688
2015-12-02,112.55891418457031
2015-12-03,111.74095153808594
2015-12-04,115.22801208496094
2015-12-07,115.5170669555664
2015-12-08,115.5970458984375
2015-12-09,115.16039276123047
2015-12-10,113.79505920410156
2015-12-11,113.53063201904297
2015-12-14,114.37315368652344
2015-12-15,116.6671142578125
2015-12-16,118.90576171875
2015-12-17,118.9857177734375
2015-12-18,117.17143249511719
2015-12-21,117.98326873779297
2015-12-22,118.45066833496094
2015-12-23,119.33011627197266
2015-12-24,119.52696228027344
2015-12-28,119.36091613769531
2015-12-29,120.41253662109375
2015-12-30,120.02509307861328
2015-12-31,119.58231353759766
2016-01-04,118.29078674316406
2016-01-05,120.6462173461914
2016-01-06,120.35101318359375
2016-01-07,117.81105041503906
2016-01-08,114.4531021118164
2016-01-11,114.82828521728516
2016-01-12,114.10871887207031
2016-01-13,113.32767486572266
2016-01-14,114.1824951171875
2016-01-15,113.26614379882812
2016-01-19,114.63761901855469
2016-01-20,111.09517669677734
2016-01-21,112.36209869384766
2016-01-22,115.20340728759766
2016-01-25,113.86886596679688
2016-01-26,116.93778228759766
2016-01-27,114.41619873046875
2016-01-28,114.87745666503906
2016-01-29,114.5638198852539
2016-02-01,115.57856750488281
2016-02-02,114.45925903320312
2016-02-03,115.80611419677734
2016-02-04,115.36335754394531
2016-02-05,113.1492919921875
2016-02-08,112.2267837524414
2016-02-09,110.0434799194336
2016-02-10,112.45126342773438
2016-02-11,112.62501525878906
2016-02-12,113.89094543457031
2016-02-16,115.6409683227539
2016-02-17,116.11253356933594
2016-02-18,117.4467544555664
2016-02-19,117.5646743774414
2016-02-22,117.55223846435547
2016-02-23,117.70735931396484
2016-02-24,117.39092254638672
2016-02-25,119.10984802246094
2016-02-26,118.15416717529297
2016-02-29,117.73844146728516
2016-03-01,120.73568725585938
2016-03-02,121.18870544433594
2016-03-03,122.50428771972656
2016-03-04,123.19313049316406
2016-03-07,123.89437103271484
2016-03-08,122.67804718017578
2016-03-09,122.72769165039062
2016-03-10,122.88286590576172
2016-03-11,124.92449951171875
2016-03-14,123.54685974121094
2016-03-15,123.88816833496094
2016-03-16,124.44664764404297
2016-03-17,127.29500579833984
2016-03-18,127.18952941894531
2016-03-21,125.97320556640625
2016-03-22,125.58226776123047
2016-03-23,125.04239654541016
2016-03-24,125.005126953125
2016-03-28,126.01665496826172
2016-03-29,128.41819763183594
2016-03-30,127.66734313964844
2016-03-31,128.8836212158203
2016-04-01,129.7586212158203
2016-04-04,129.54763793945312
2016-04-05,128.4864501953125
2016-04-06,129.48556518554688
2016-04-07,128.32510375976562
2016-04-08,128.51751708984375
2016-04-11,128.25686645507812
2016-04-12,129.14425659179688
2016-04-13,128.8526153564453
2016-04-14,129.0449676513672
