Date,GD
2015-08-03,119.3527603149414
2015-08-04,119.3126449584961
2015-08-05,120.13056945800781
2015-08-06,119.84188842773438
2015-08-07,120.05034637451172
2015-08-10,121.84648132324219
2015-08-11,120.75598907470703
2015-08-12,120.58760070800781
2015-08-13,120.70787048339844
2015-08-14,121.56581115722656
2015-08-17,122.56006622314453
2015-08-18,122.90483856201172
2015-08-19,122.47987365722656
2015-08-20,119.41692352294922
2015-08-21,116.40206146240234
2015-08-24,112.90603637695312
2015-08-25,111.32638549804688
2015-08-26,115.50394439697266
2015-08-27,116.40206146240234
2015-08-28,115.88885498046875
2015-08-31,113.8842544555664
2015-09-01,111.36652374267578
2015-09-02,114.22101593017578
2015-09-03,114.99079132080078
2015-09-04,113.20268249511719
2015-09-08,115.77657318115234
2015-09-09,114.237060546875
2015-09-10,112.82583618164062
2015-09-11,113.76396179199219
2015-09-14,112.77771759033203
2015-09-15,113.6917953491211
2015-09-16,113.73190307617188
2015-09-17,113.50737762451172
2015-09-18,111.64713287353516
2015-09-21,112.03202819824219
2015-09-22,110.61278533935547
2015-09-23,109.50625610351562
2015-09-24,111.0617904663086
2015-09-25,110.6689224243164
2015-09-28,108.3355712890625
2015-09-29,108.72042846679688
2015-09-30,110.61278533935547
2015-10-01,110.79718017578125
2015-10-02,111.55892944335938
2015-10-05,115.56008911132812
2015-10-06,112.7857666015625
2015-10-07,113.10001373291016
2015-10-08,114.34895324707031
2015-10-09,115.00167083740234
2015-10-12,115.78329467773438
2015-10-13,114.18783569335938
2015-10-14,112.40704345703125
2015-10-15,113.849365234375
2015-10-16,114.17974853515625
2015-10-19,113.81713104248047
2015-10-20,113.81713104248047
2015-10-21,115.29981994628906
2015-10-22,118.6518325805664
2015-10-23,119.48179626464844
2015-10-26,119.37706756591797
2015-10-27,119.5785140991211
2015-10-28,121.49624633789062
2015-10-29,120.84359741210938
2015-10-30,119.72357177734375
2015-11-02,119.83637237548828
2015-11-03,118.58740234375
2015-11-04,118.676025390625
2015-11-05,118.50682830810547
2015-11-06,117.58019256591797
