Date,ABI.BR
2015-08-24,73.47798156738281
2015-08-25,76.56103515625
2015-08-26,75.50652313232422
2015-08-27,78.07439422607422
2015-08-28,78.7183609008789
2015-08-31,78.45272827148438
2015-09-01,76.30345153808594
2015-09-02,77.14061737060547
2015-09-03,78.26758575439453
2015-09-04,76.78643035888672
2015-09-07,77.04402923583984
2015-09-08,76.9635238647461
2015-09-09,78.78276824951172
2015-09-10,76.95548248291016
2015-09-11,76.04585266113281
2015-09-14,75.82046508789062
2015-09-15,76.02974700927734
2015-09-16,80.89984893798828
2015-09-17,81.02059173583984
2015-09-18,79.12889862060547
2015-09-21,79.3784408569336
2015-09-22,77.11646270751953
2015-09-23,78.0099868774414
2015-09-24,76.06998443603516
2015-09-25,78.25952911376953
2015-09-28,77.47066497802734
2015-09-29,75.3052749633789
2015-09-30,76.4080810546875
2015-10-01,75.90096282958984
2015-10-02,77.05207061767578
2015-10-05,79.19331359863281
2015-10-06,78.93570709228516
2015-10-07,79.41064453125
2015-10-08,78.48491668701172
2015-10-09,79.12889862060547
2015-10-12,79.16914367675781
2015-10-13,80.49735260009766
2015-10-14,81.02059173583984
2015-10-15,81.42308044433594
2015-10-16,81.62431335449219
2015-10-19,82.46955108642578
2015-10-20,82.42930603027344
2015-10-21,81.50357818603516
2015-10-22,84.11973571777344
2015-10-23,86.25292205810547
2015-10-26,85.76993560791016
2015-10-27,85.44794464111328
2015-10-28,86.61515045166016
2015-10-29,86.49439239501953
2015-10-30,87.50062561035156
2015-11-02,87.46038818359375
2015-11-03,87.37989807128906
2015-11-04,88.14460754394531
2015-11-05,88.70809173583984
2015-11-06,90.03630065917969
2015-11-09,89.31181335449219
2015-11-10,89.51304626464844
2015-11-11,91.44499969482422
2015-11-12,91.77159118652344
2015-11-13,91.64911651611328
2015-11-16,93.07795715332031
2015-11-17,96.22137451171875
2015-11-18,96.13971710205078
2015-11-19,94.99665069580078
2015-11-20,96.42549133300781
2015-11-23,97.20113372802734
2015-11-24,97.9767837524414
2015-11-25,99.36479187011719
2015-11-26,100.63031768798828
2015-11-27,100.14044189453125
2015-11-30,99.56890869140625
2015-12-01,98.67079162597656
2015-12-02,99.1606674194336
2015-12-03,95.60901641845703
2015-12-04,95.03748321533203
2015-12-07,97.07865142822266
2015-12-08,95.73147583007812
2015-12-09,94.99665069580078
2015-12-10,94.75171661376953
2015-12-11,91.77159118652344
2015-12-14,90.1386489868164
2015-12-15,91.77159118652344
2015-12-16,92.34313201904297
2015-12-17,94.79253387451172
2015-12-18,93.69029235839844
2015-12-21,92.26146697998047
2015-12-22,91.85323333740234
2015-12-23,93.85359191894531
2015-12-24,93.85359191894531
2015-12-28,93.56783294677734
2015-12-29,95.28241729736328
2015-12-30,94.54759979248047
2016-01-04,91.8124008178711
2016-01-05,93.07795715332031
2016-01-06,91.85323333740234
2016-01-07,90.30193328857422
2016-01-08,87.81169891357422
2016-01-11,89.56710052490234
2016-01-12,88.91393280029297
2016-01-13,89.28133392333984
2016-01-14,86.75028228759766
2016-01-15,86.95438385009766
2016-01-18,87.73003387451172
2016-01-19,89.68959045410156
2016-01-20,85.9746322631836
2016-01-21,87.77086639404297
2016-01-22,90.99593353271484
2016-01-25,91.89407348632812
2016-01-26,92.22064971923828
2016-01-27,93.07795715332031
2016-01-28,91.44500732421875
2016-01-29,94.58842468261719
2016-02-01,94.83336639404297
2016-02-02,94.50676727294922
2016-02-03,91.68994903564453
2016-02-04,89.73040008544922
2016-02-05,87.6075668334961
2016-02-08,84.055908203125
2016-02-09,84.2600326538086
2016-02-10,84.9132308959961
2016-02-11,82.13719177246094
2016-02-12,83.52520751953125
2016-02-15,85.72966766357422
2016-02-16,85.23980712890625
2016-02-17,86.50533294677734
2016-02-18,86.1379165649414
2016-02-19,85.56639862060547
2016-02-22,86.79110717773438
2016-02-23,86.50533294677734
2016-02-24,84.7091064453125
2016-02-25,83.28026580810547
2016-02-26,83.3619155883789
2016-02-29,84.58662414550781
2016-03-01,85.4030990600586
2016-03-02,85.15816497802734
2016-03-03,84.5457992553711
2016-03-04,86.50533294677734
2016-03-07,86.21959686279297
2016-03-08,85.15816497802734
2016-03-09,86.21959686279297
2016-03-10,84.79073333740234
2016-03-11,86.05628204345703
2016-03-14,86.4236831665039
2016-03-15,85.77050018310547
2016-03-16,85.11731719970703
2016-03-17,85.11731719970703
2016-03-18,87.485107421875
2016-03-21,87.81169891357422
2016-03-22,88.7506332397461
2016-03-23,89.36299896240234
2016-03-24,88.26075744628906
2016-03-29,89.68959045410156
2016-03-30,90.87346649169922
2016-03-31,89.19969940185547
2016-04-01,89.11804962158203
2016-04-04,90.42440795898438
2016-04-05,88.99557495117188
2016-04-06,88.4240493774414
2016-04-07,87.44429016113281
2016-04-08,87.24016571044922
2016-04-11,86.58698272705078
2016-04-12,86.70945739746094
2016-04-13,88.58734130859375
2016-04-14,89.93453216552734
2016-04-15,91.52664947509766
2016-04-18,91.8124008178711
2016-04-19,94.26182556152344
2016-04-20,94.79253387451172
2016-04-21,93.48617553710938
2016-04-22,92.54723358154297
2016-04-25,93.3228988647461
2016-04-26,92.465576171875
2016-04-27,92.38394165039062
2016-04-28,91.93487548828125
2016-04-29,89.85677337646484
2016-05-02,90.6880111694336
2016-05-03,89.89835357666016
2016-05-04,88.4852523803711
2016-05-05,90.6464614868164
2016-05-06,90.81271362304688
2016-05-09,92.10113525390625
2016-05-10,93.14017486572266
2016-05-11,92.43362426757812
2016-05-12,92.10113525390625
2016-05-13,92.64143371582031
2016-05-16,92.01799774169922
