Date,COALINDIA.NS
2015-08-03,195.71417236328125
2015-08-04,201.01841735839844
2015-08-05,198.79702758789062
2015-08-06,195.57814025878906
2015-08-07,188.00706481933594
2015-08-10,184.9469451904297
2015-08-11,178.0332489013672
2015-08-12,168.37677001953125
2015-08-13,170.938232421875
2015-08-14,171.16488647460938
2015-08-17,172.20762634277344
2015-08-18,165.08990478515625
2015-08-19,161.23638916015625
2015-08-20,158.60691833496094
2015-08-21,158.0629119873047
2015-08-24,152.59994506835938
2015-08-25,160.30703735351562
2015-08-26,162.36978149414062
2015-08-27,164.04721069335938
2015-08-28,162.09779357910156
2015-08-31,166.08729553222656
2015-09-01,160.80567932128906
2015-09-02,156.11346435546875
2015-09-03,156.54412841796875
2015-09-04,157.54151916503906
2015-09-07,152.9853057861328
2015-09-08,152.93994140625
2015-09-09,153.66534423828125
2015-09-10,153.393310546875
2015-09-11,151.3531951904297
2015-09-14,153.82398986816406
2015-09-15,153.25729370117188
2015-09-16,152.9853057861328
2015-09-18,155.6601104736328
2015-09-21,155.1387481689453
2015-09-22,146.706298828125
2015-09-23,148.61038208007812
2015-09-24,144.34884643554688
2015-09-28,140.01925659179688
2015-09-29,142.98876953125
2015-09-30,148.51971435546875
2015-10-01,148.85975646972656
2015-10-05,149.4944305419922
2015-10-06,155.36541748046875
2015-10-07,156.97482299804688
2015-10-08,156.95217895507812
2015-10-09,152.2598876953125
2015-10-12,151.60255432128906
2015-10-13,154.30001831054688
2015-10-14,151.76123046875
2015-10-15,154.77606201171875
2015-10-16,153.50665283203125
2015-10-19,153.14393615722656
2015-10-20,151.8518829345703
2015-10-21,152.89462280273438
2015-10-23,155.0027313232422
2015-10-26,151.14918518066406
2015-10-27,150.65049743652344
2015-10-28,149.69842529296875
2015-10-29,145.89024353027344
2015-10-30,145.0288848876953
2015-11-02,147.3409881591797
2015-11-03,147.72634887695312
2015-11-04,149.811767578125
2015-11-05,152.8265838623047
2015-11-06,155.1387481689453
2015-11-09,153.96002197265625
2015-11-10,147.81698608398438
2015-11-13,153.09866333007812
2015-11-16,149.9478302001953
2015-11-17,150.6731414794922
2015-11-18,151.89724731445312
2015-11-19,151.28518676757812
2015-11-20,151.10386657714844
2015-11-23,150.60516357421875
2015-11-24,150.69581604003906
2015-11-26,152.23727416992188
2015-11-27,152.5546112060547
2015-11-30,149.85714721679688
2015-12-01,154.84405517578125
2015-12-02,153.393310546875
2015-12-03,151.7838897705078
2015-12-04,151.98789978027344
2015-12-07,148.49705505371094
2015-12-08,144.16748046875
2015-12-09,139.4525909423828
2015-12-10,140.97134399414062
2015-12-11,139.5205841064453
2015-12-14,143.32879638671875
2015-12-15,142.60340881347656
2015-12-16,143.6234893798828
2015-12-17,143.28343200683594
2015-12-18,143.41946411132812
2015-12-21,144.75686645507812
2015-12-22,144.66616821289062
2015-12-23,146.20761108398438
2015-12-24,146.116943359375
2015-12-28,147.56768798828125
2015-12-29,145.86758422851562
2015-12-30,146.02626037597656
2015-12-31,149.51712036132812
2016-01-01,151.44387817382812
2016-01-04,149.69842529296875
2016-01-05,147.7036895751953
2016-01-06,148.6557159423828
2016-01-07,147.97567749023438
2016-01-08,145.57293701171875
2016-01-11,143.23812866210938
2016-01-12,143.2607421875
2016-01-13,143.85015869140625
2016-01-14,144.46217346191406
2016-01-15,144.41683959960938
2016-01-18,140.9259796142578
2016-01-19,140.01925659179688
2016-01-20,135.1683349609375
2016-01-21,130.657470703125
2016-01-22,135.75772094726562
2016-01-25,138.22854614257812
2016-01-27,137.84315490722656
2016-01-28,138.99923706054688
2016-01-29,145.05152893066406
2016-02-01,148.95042419433594
2016-02-02,144.59820556640625
2016-02-03,143.8274688720703
2016-02-04,146.20761108398438
2016-02-05,147.9076690673828
2016-02-08,146.5929718017578
2016-02-09,140.20065307617188
2016-02-10,142.24072265625
2016-02-11,138.3192138671875
2016-02-12,137.29913330078125
2016-02-15,147.00096130371094
2016-02-16,144.1221466064453
2016-02-17,141.81004333496094
2016-02-18,143.98617553710938
2016-02-19,141.5607147216797
2016-02-22,142.30870056152344
2016-02-23,136.5057830810547
2016-02-24,133.85360717773438
2016-02-25,135.73504638671875
2016-02-26,141.197998046875
2016-02-29,140.99398803710938
2016-03-01,144.09950256347656
2016-03-02,140.99398803710938
2016-03-03,142.3994140625
2016-03-04,147.4090118408203
2016-03-08,146.91029357910156
2016-03-09,146.20761108398438
2016-03-10,145.8449249267578
2016-03-11,144.5755157470703
2016-03-14,147.15457153320312
2016-03-15,146.6337890625
2016-03-16,146.6337890625
2016-03-17,145.93943786621094
2016-03-18,147.67532348632812
2016-03-21,147.10499572753906
2016-03-22,146.01382446289062
2016-03-23,147.79931640625
2016-03-28,145.56744384765625
2016-03-29,146.3857879638672
2016-03-30,147.2289581298828
2016-03-31,144.7987060546875
