Date,IHG.L
2015-08-24,3006.476318359375
2015-08-25,3135.306884765625
2015-08-26,3069.57763671875
2015-08-27,3190.761962890625
2015-08-28,3228.88818359375
2015-09-01,3142.1181640625
2015-09-02,3138.174072265625
2015-09-03,3217.056396484375
2015-09-04,3135.544921875
2015-09-07,3131.6005859375
2015-09-08,3163.1533203125
2015-09-09,3173.671142578125
2015-09-10,3198.650390625
2015-09-11,3171.0419921875
2015-09-14,3144.74755859375
2015-09-15,3122.3984375
2015-09-16,3144.74755859375
2015-09-17,3146.062744140625
2015-09-18,3086.90087890625
2015-09-21,3060.60693359375
2015-09-22,2960.690673828125
2015-09-23,3014.5927734375
2015-09-24,2979.096435546875
2015-09-25,3048.774658203125
2015-09-28,2951.4873046875
2015-09-29,2904.15869140625
2015-09-30,3002.760498046875
2015-10-01,3029.0546875
2015-10-02,3063.236572265625
2015-10-05,3128.9716796875
2015-10-06,3168.412353515625
2015-10-07,3146.062744140625
2015-10-08,3188.132080078125
2015-10-09,3189.447265625
2015-10-12,3125.02734375
2015-10-13,3139.489501953125
2015-10-14,3047.4609375
2015-10-15,3042.201171875
2015-10-16,3006.704345703125
2015-10-19,3038.257080078125
2015-10-20,3248.60888671875
2015-10-21,3236.776123046875
2015-10-22,3236.776123046875
2015-10-23,3307.770263671875
2015-10-26,3291.99365234375
2015-10-27,3274.90234375
2015-10-28,3356.41357421875
2015-10-29,3373.50390625
2015-10-30,3419.5185546875
2015-11-02,3407.685791015625
2015-11-03,3437.92431640625
2015-11-04,3447.12744140625
2015-11-05,3433.98095703125
2015-11-06,3646.9609375
2015-11-09,3470.791748046875
2015-11-10,3424.777587890625
2015-11-11,3440.5537109375
2015-11-12,3359.04248046875
2015-11-13,3298.566650390625
2015-11-16,3235.461181640625
2015-11-17,3286.734375
2015-11-18,3240.720703125
2015-11-19,3289.36376953125
2015-11-20,3289.36376953125
2015-11-23,3263.06982421875
2015-11-24,3209.16748046875
2015-11-25,3215.7412109375
2015-11-26,3260.440673828125
2015-11-27,3272.273193359375
2015-11-30,3360.357421875
2015-12-01,3418.203857421875
2015-12-02,3448.441650390625
2015-12-03,3422.1484375
2015-12-04,3376.133544921875
2015-12-07,3395.8544921875
2015-12-08,3319.60205078125
2015-12-09,3272.273193359375
2015-12-10,3313.028076171875
2015-12-11,3280.1611328125
2015-12-14,3301.196533203125
2015-12-15,3373.50390625
2015-12-16,3365.6162109375
2015-12-17,3384.021728515625
2015-12-18,3316.971435546875
2015-12-21,3406.371826171875
2015-12-22,3424.777587890625
2015-12-23,3479.99462890625
2015-12-24,3465.53271484375
2015-12-29,3494.456787109375
2015-12-30,3483.938232421875
2015-12-31,3494.456787109375
2016-01-04,3397.168701171875
2016-01-05,3411.6298828125
2016-01-06,3336.693115234375
2016-01-07,3267.01416015625
2016-01-08,3311.714111328125
2016-01-11,3319.60205078125
2016-01-12,3306.455322265625
2016-01-13,3270.958251953125
2016-01-14,3035.628662109375
2016-01-15,2981.725830078125
2016-01-18,2952.80224609375
2016-01-19,2989.613525390625
2016-01-20,2906.7880859375
2016-01-21,2944.914306640625
2016-01-22,3010.648193359375
2016-01-25,3002.760498046875
2016-01-26,2993.55810546875
2016-01-27,3054.033935546875
