Date,KANSAINER.NS
2015-08-21,147.60195922851562
2015-08-24,137.9287872314453
2015-08-25,144.1271209716797
2015-08-26,149.38632202148438
2015-08-27,154.1446533203125
2015-08-28,153.9881134033203
2015-08-31,161.09432983398438
2015-09-01,153.39334106445312
2015-09-02,155.6785888671875
2015-09-03,155.49075317382812
2015-09-04,154.4577178955078
2015-09-07,149.07330322265625
2015-09-08,153.42465209960938
2015-09-09,152.9863739013672
2015-09-10,149.98110961914062
2015-09-11,148.1967315673828
2015-09-14,149.60546875
2015-09-15,148.1028594970703
2015-09-16,147.85240173339844
2015-09-18,148.72891235351562
2015-09-21,151.421142578125
2015-09-22,148.69761657714844
2015-09-23,153.17420959472656
2015-09-24,149.48025512695312
2015-09-28,148.32200622558594
2015-09-29,148.57237243652344
2015-09-30,151.01419067382812
2015-10-01,149.88722229003906
2015-10-05,150.63853454589844
2015-10-06,151.35853576660156
2015-10-07,150.294189453125
2015-10-08,150.82635498046875
2015-10-09,149.6680908203125
2015-10-12,155.27163696289062
2015-10-13,151.57765197753906
2015-10-14,155.11509704589844
2015-10-15,157.18121337890625
2015-10-16,157.36904907226562
2015-10-19,155.36553955078125
2015-10-20,158.46473693847656
2015-10-21,160.65603637695312
2015-10-23,161.50125122070312
2015-10-26,159.12208557128906
2015-10-27,157.71339416503906
2015-10-28,159.71693420410156
2015-10-29,157.71339416503906
2015-10-30,155.83509826660156
2015-11-02,154.55160522460938
2015-11-03,154.05075073242188
2015-11-04,154.58291625976562
2015-11-05,154.0194549560547
2015-11-06,153.17420959472656
2015-11-09,152.64207458496094
2015-11-10,153.2055206298828
2015-11-13,154.70814514160156
2015-11-16,152.3915557861328
2015-11-17,156.52381896972656
2015-11-18,152.5167999267578
2015-11-19,154.0194549560547
2015-11-20,156.8368682861328
2015-11-23,154.64556884765625
2015-11-24,153.54983520507812
2015-11-26,153.8942108154297
2015-11-27,154.08203125
2015-11-30,151.4837646484375
2015-12-01,152.29766845703125
2015-12-02,152.0472412109375
2015-12-03,149.3550262451172
2015-12-04,150.294189453125
2015-12-07,156.52381896972656
2015-12-08,154.1759796142578
2015-12-09,154.0194549560547
2015-12-10,157.68209838867188
2015-12-11,156.11683654785156
