Date,KPN.AS
2015-08-24,2.0248708724975586
2015-08-25,2.1197667121887207
2015-08-26,2.1236140727996826
2015-08-27,2.2088921070098877
2015-08-28,2.2120978832244873
2015-08-31,2.2262043952941895
2015-09-01,2.168497323989868
2015-09-02,2.194786310195923
2015-09-03,2.262751579284668
2015-09-04,2.242233991622925
2015-09-07,2.2467217445373535
2015-09-08,2.2582638263702393
2015-09-09,2.2492868900299072
2015-09-10,2.1178433895111084
2015-09-11,2.087066173553467
2015-09-14,2.088348627090454
2015-09-15,2.1077632904052734
2015-09-16,2.1452975273132324
2015-09-17,2.142709255218506
2015-09-18,2.142709255218506
2015-09-21,2.194481372833252
2015-09-22,2.14465069770813
2015-09-23,2.1614761352539062
2015-09-24,2.1349432468414307
2015-09-25,2.2197201251983643
2015-09-28,2.160181999206543
2015-09-29,2.116176128387451
2015-09-30,2.164065361022949
2015-10-01,2.070875406265259
2015-10-02,2.078641653060913
2015-10-05,2.1355905532836914
2015-10-06,2.1608290672302246
2015-10-07,2.094172954559326
2015-10-08,2.068934440612793
2015-10-09,2.0514609813690186
2015-10-12,2.079288959503174
2015-10-13,2.0372235774993896
2015-10-14,1.9776862859725952
2015-10-15,1.9770389795303345
2015-10-16,2.0417535305023193
2015-10-19,2.0669925212860107
2015-10-20,2.0831716060638428
2015-10-21,2.0695815086364746
2015-10-22,2.1452975273132324
2015-10-23,2.195775270462036
2015-10-26,2.2035412788391113
2015-10-27,2.1414151191711426
2015-10-28,2.10646915435791
2015-10-29,2.1213538646698
2015-10-30,2.1614761352539062
2015-11-02,2.1653594970703125
2015-11-03,2.1588876247406006
2015-11-04,2.140768051147461
2015-11-05,2.1252362728118896
2015-11-06,2.1012918949127197
2015-11-09,2.0579328536987305
2015-11-10,2.122647762298584
2015-11-11,2.2177786827087402
2015-11-12,2.1873629093170166
2015-11-13,2.224250078201294
2015-11-16,2.2566075325012207
2015-11-17,2.307731866836548
2015-11-18,2.2870233058929443
2015-11-19,2.3090269565582275
2015-11-20,2.3044965267181396
2015-11-23,2.2708449363708496
2015-11-24,2.2604904174804688
2015-11-25,2.277963638305664
2015-11-26,2.31355619430542
2015-11-27,2.329087734222412
2015-11-30,2.330382823944092
2015-12-01,2.318087100982666
2015-12-02,2.297377824783325
2015-12-03,2.243664264678955
2015-12-04,2.2255446910858154
2015-12-07,2.2384872436523438
2015-12-08,2.197716236114502
2015-12-09,2.210660219192505
2015-12-10,2.1873629093170166
2015-12-11,2.1808905601501465
2015-12-14,2.146592140197754
2015-12-15,2.2197201251983643
2015-12-16,2.2268385887145996
2015-12-17,2.2514302730560303
2015-12-18,2.1893038749694824
2015-12-21,2.142062187194824
2015-12-22,2.133648633956909
2015-12-23,2.2035412788391113
2015-12-24,2.218425989151001
2015-12-28,2.235898494720459
2015-12-29,2.2708449363708496
2015-12-30,2.2695505619049072
2016-01-04,2.2126011848449707
2016-01-05,2.2255446910858154
2016-01-06,2.229426860809326
2016-01-07,2.206130027770996
2016-01-08,2.1614761352539062
2016-01-11,2.1569461822509766
2016-01-12,2.2307214736938477
2016-01-13,2.1970696449279785
2016-01-14,2.1375317573547363
2016-01-15,2.118764877319336
2016-01-18,2.082524299621582
2016-01-19,2.1038801670074463
2016-01-20,2.0611681938171387
2016-01-21,2.0935258865356445
2016-01-22,2.186068058013916
2016-01-25,2.193834066390991
2016-01-26,2.2391343116760254
2016-01-27,2.2604904174804688
2016-01-28,2.2313690185546875
2016-01-29,2.3032021522521973
2016-02-01,2.273433208465576
2016-02-02,2.230074644088745
2016-02-03,2.2028939723968506
2016-02-04,2.2346041202545166
2016-02-05,2.2307214736938477
2016-02-08,2.1582412719726562
2016-02-09,2.1194117069244385
2016-02-10,2.1258835792541504
2016-02-11,2.110351800918579
2016-02-12,2.114234685897827
2016-02-15,2.1530635356903076
2016-02-16,2.1627705097198486
2016-02-17,2.194481372833252
2016-02-18,2.211954116821289
2016-02-19,2.195775270462036
2016-02-22,2.24172306060791
2016-02-23,2.2190723419189453
2016-02-24,2.1491806507110596
2016-02-25,2.190598249435425
2016-02-26,2.1550047397613525
2016-02-29,2.206130027770996
2016-03-01,2.2831408977508545
2016-03-02,2.239781379699707
2016-03-03,2.2087185382843018
2016-03-04,2.215836763381958
2016-03-07,2.230074644088745
2016-03-08,2.1970696449279785
2016-03-09,2.2151904106140137
2016-03-10,2.2177786827087402
2016-03-11,2.274080753326416
2016-03-14,2.31355619430542
2016-03-15,2.3206753730773926
2016-03-16,2.3543262481689453
2016-03-17,2.367917537689209
2016-03-18,2.3549745082855225
2016-03-21,2.3627398014068604
