Date,MULT3.SA
2015-08-24,10.809725761413574
2015-08-25,10.732879638671875
2015-08-26,10.953174591064453
2015-08-27,11.590997695922852
2015-08-28,11.07868766784668
2015-08-31,11.347650527954102
2015-09-01,10.376825332641602
2015-09-02,10.428054809570312
2015-09-03,10.62785530090332
2015-09-04,10.233376502990723
2015-09-08,10.381949424743652
2015-09-09,10.510025978088379
2015-09-10,10.297415733337402
2015-09-11,10.717509269714355
2015-09-14,11.009525299072266
2015-09-15,10.896820068359375
2015-09-16,11.109428405761719
2015-09-17,10.863520622253418
2015-09-18,10.773863792419434
2015-09-21,10.563817977905273
2015-09-22,10.845588684082031
2015-09-23,10.691895484924316
2015-09-24,10.540762901306152
2015-09-25,10.589435577392578
2015-09-28,10.394756317138672
2015-09-29,10.699579238891602
2015-09-30,10.860957145690918
2015-10-01,10.773863792419434
2015-10-02,11.17602825164795
2015-10-05,11.173468589782715
2015-10-06,11.188835144042969
2015-10-07,11.106866836547852
2015-10-08,11.652474403381348
2015-10-09,11.637105941772461
2015-10-13,11.49878215789795
2015-10-14,11.283614158630371
2015-10-15,11.173468589782715
2015-10-16,11.327160835266113
2015-10-19,11.365580558776855
2015-10-20,11.06588077545166
2015-10-21,11.142728805541992
2015-10-22,11.380952835083008
2015-10-23,11.386077880859375
2015-10-26,11.263118743896484
2015-10-27,11.475728988647461
2015-10-28,11.411689758300781
2015-10-29,10.707263946533203
2015-10-30,10.776426315307617
2015-11-03,11.186273574829102
2015-11-04,11.2554349899292
2015-11-05,11.667842864990234
2015-11-06,11.32203483581543
2015-11-09,11.168343544006348
2015-11-10,11.296420097351074
2015-11-11,11.432183265686035
2015-11-12,11.434744834899902
2015-11-13,11.547452926635742
2015-11-16,11.450114250183105
2015-11-17,11.739567756652832
2015-11-18,11.775433540344238
2015-11-19,11.665285110473633
2015-11-23,11.631982803344727
2015-11-24,11.547452926635742
2015-11-25,11.388636589050293
2015-11-26,11.427061080932617
2015-11-27,11.370704650878906
2015-11-30,10.912189483642578
2015-12-01,11.135041236877441
2015-12-02,11.24262809753418
2015-12-03,11.798483848571777
2015-12-04,11.296420097351074
