Date,CENTRALBK.NS
2015-08-21,79.89111328125
2015-08-24,69.10037231445312
2015-08-25,62.319026947021484
2015-08-26,63.21000289916992
2015-08-27,65.83344268798828
2015-08-28,66.82341766357422
2015-08-31,67.16990661621094
2015-09-01,66.179931640625
2015-09-02,66.27892303466797
2015-09-03,68.95187377929688
2015-09-04,69.24886322021484
2015-09-07,69.89234924316406
2015-09-08,71.97129821777344
2015-09-09,74.49573516845703
2015-09-10,74.89173126220703
2015-09-11,75.4857177734375
2015-09-14,76.62419128417969
2015-09-15,75.53521728515625
2015-09-16,76.6736831665039
2015-09-18,78.80213165283203
2015-09-21,80.03960418701172
2015-09-22,79.44561767578125
2015-09-23,80.23760986328125
2015-09-24,80.8810806274414
2015-09-28,80.28710174560547
2015-09-29,82.31655883789062
2015-09-30,82.21755981445312
2015-10-01,82.91053771972656
2015-10-05,84.14801025390625
2015-10-06,84.84099578857422
2015-10-07,84.98948669433594
2015-10-08,85.43498229980469
2015-10-09,86.67245483398438
2015-10-12,86.77144622802734
2015-10-13,86.37545776367188
2015-10-14,84.74198913574219
2015-10-15,85.63297271728516
2015-10-16,86.07846069335938
2015-10-19,86.32595825195312
2015-10-20,86.32595825195312
2015-10-21,85.53398132324219
2015-10-23,85.53398132324219
2015-10-26,84.89049530029297
2015-10-27,84.79149627685547
2015-10-28,84.24700927734375
2015-10-29,83.603515625
2015-10-30,82.7125473022461
2015-11-02,68.70437622070312
2015-11-03,69.24886322021484
2015-11-04,68.25888061523438
2015-11-05,67.46690368652344
2015-11-06,68.60537719726562
2015-11-09,66.87291717529297
2015-11-10,66.82341766357422
2015-11-13,66.22943115234375
2015-11-16,67.56590270996094
2015-11-17,68.40738677978516
2015-11-18,67.81340026855469
2015-11-19,68.50637817382812
2015-11-20,69.1993637084961
2015-11-23,69.1993637084961
2015-11-24,69.24886322021484
2015-11-26,69.1993637084961
2015-11-27,70.83283233642578
2015-11-30,70.48633575439453
2015-12-01,70.04084014892578
2015-12-02,69.99134063720703
2015-12-03,69.74384307861328
2015-12-04,69.39735412597656
2015-12-07,70.73382568359375
2015-12-08,70.88232421875
