Date,TRITURBINE.NS
2015-08-21,114.1690902709961
2015-08-24,104.08699798583984
2015-08-25,100.48963165283203
2015-08-26,99.54295349121094
2015-08-27,105.412353515625
2015-08-28,109.05703735351562
2015-08-31,108.91505432128906
2015-09-01,105.1756820678711
2015-09-02,102.38298034667969
2015-09-03,102.80899047851562
2015-09-04,100.44229125976562
2015-09-07,100.96297454833984
2015-09-08,100.77362823486328
2015-09-09,102.14632415771484
2015-09-10,101.38898468017578
2015-09-11,101.15231323242188
2015-09-14,100.53694915771484
2015-09-15,100.39497375488281
2015-09-16,101.62564849853516
2015-09-18,101.3416519165039
2015-09-21,102.61964416503906
2015-09-22,101.3416519165039
2015-09-23,100.48963165283203
2015-09-24,100.63162231445312
2015-09-28,100.8683090209961
2015-09-29,101.10498046875
2015-09-30,100.72630310058594
2015-10-01,101.01030731201172
2015-10-05,102.52498626708984
2015-10-06,109.10438537597656
2015-10-07,106.78504943847656
2015-10-08,103.51898193359375
2015-10-09,103.80300903320312
2015-10-12,102.47765350341797
2015-10-13,102.61964416503906
2015-10-14,102.28832244873047
2015-10-15,102.95098876953125
2015-10-16,106.16969299316406
2015-10-19,108.82037353515625
2015-10-20,111.18705749511719
2015-10-21,107.49504089355469
2015-10-23,103.89766693115234
2015-10-26,102.85633087158203
2015-10-27,105.12834930419922
2015-10-28,103.42431640625
2015-10-29,102.33565521240234
2015-10-30,102.61964416503906
2015-11-02,102.28832244873047
2015-11-03,100.72630310058594
2015-11-04,101.15231323242188
2015-11-05,100.15828704833984
2015-11-06,99.16429138183594
2015-11-09,103.37699127197266
2015-11-10,103.37699127197266
2015-11-13,103.89766693115234
2015-11-16,104.03968048095703
2015-11-17,102.66697692871094
2015-11-18,104.65499877929688
2015-11-19,106.55522918701172
2015-11-20,106.41271209716797
2015-11-23,105.7951431274414
2015-11-24,106.36521911621094
2015-11-26,105.7951431274414
2015-11-27,105.36759185791016
2015-11-30,104.1324462890625
2015-12-01,104.0374526977539
2015-12-02,104.1324462890625
2015-12-03,103.03981018066406
2015-12-04,100.90206146240234
2015-12-07,100.94956970214844
2015-12-08,98.52677917480469
2015-12-09,95.39140319824219
2015-12-10,101.13958740234375
2015-12-11,99.52439880371094
2015-12-14,98.90682220458984
2015-12-15,97.67168426513672
2015-12-16,96.9115982055664
2015-12-17,98.81181335449219
2015-12-18,98.14673614501953
2015-12-21,100.56951141357422
2015-12-22,104.41748046875
2015-12-23,103.03981018066406
2015-12-24,104.46498107910156
2015-12-28,107.07781982421875
2015-12-29,104.51248168945312
2015-12-30,105.65264129638672
2015-12-31,107.26781463623047
2016-01-01,108.31294250488281
2016-01-04,103.5623779296875
2016-01-05,106.36521911621094
2016-01-06,104.60751342773438
2016-01-07,99.71440124511719
2016-01-08,101.85216522216797
