Date,ENELGXCH.SN
2015-08-24,284.75885009765625
2015-08-25,288.0498046875
2015-08-26,287.408935546875
2015-08-27,293.9288635253906
2015-08-28,293.3258361816406
2015-08-31,296.0310363769531
2015-09-01,291.14105224609375
2015-09-02,292.2644958496094
2015-09-03,297.5335693359375
2015-09-04,289.0113525390625
2015-09-07,291.9440002441406
2015-09-08,288.0050048828125
2015-09-09,286.9436340332031
2015-09-10,285.4584045410156
2015-09-11,281.44024658203125
2015-09-14,278.6936950683594
2015-09-15,284.28668212890625
2015-09-16,287.45709228515625
2015-09-17,287.3089294433594
2015-09-21,288.36688232421875
2015-09-22,284.9207763671875
2015-09-23,282.990966796875
2015-09-24,284.22125244140625
2015-09-25,281.7814025878906
2015-09-28,279.0348205566406
2015-09-29,278.82464599609375
2015-09-30,282.32928466796875
2015-10-01,282.0226135253906
2015-10-02,284.1971130371094
2015-10-05,287.7569580078125
2015-10-06,289.47308349609375
2015-10-07,290.2381591796875
2015-10-08,289.4111022949219
2015-10-09,290.8722229003906
2015-10-13,292.0955810546875
2015-10-14,287.3709716796875
2015-10-15,290.2554016113281
2015-10-16,292.3299560546875
2015-10-19,295.86212158203125
2015-10-20,297.3853454589844
2015-10-21,303.9537048339844
2015-10-22,305.1287536621094
2015-10-23,304.694580078125
2015-10-26,303.0335388183594
2015-10-27,299.6804504394531
2015-10-28,302.0341796875
2015-10-29,300.093994140625
2015-10-30,298.56390380859375
2015-11-02,296.35498046875
2015-11-03,298.4537353515625
2015-11-04,295.1592102050781
2015-11-05,295.3108215332031
2015-11-06,298.65704345703125
2015-11-09,295.46929931640625
2015-11-10,293.5980529785156
2015-11-11,294.0736999511719
2015-11-12,297.0200500488281
2015-11-13,296.6581726074219
2015-11-16,296.7926330566406
2015-11-17,296.7134094238281
2015-11-18,293.2190246582031
2015-11-19,302.65789794921875
2015-11-20,312.9031677246094
2015-11-23,303.2472229003906
2015-11-24,303.8330383300781
2015-11-25,304.6532287597656
2015-11-26,303.8675231933594
2015-11-27,297.5646057128906
2015-11-30,290.3450012207031
2015-12-01,289.2456970214844
2015-12-02,284.1178283691406
2015-12-03,282.8496398925781
2015-12-04,283.5837097167969
2015-12-07,282.82904052734375
2015-12-09,280.9129638671875
2015-12-10,279.96875
2015-12-11,275.7989501953125
2015-12-14,273.9173889160156
2015-12-15,273.9793701171875
2015-12-16,277.5323181152344
2015-12-17,292.9812927246094
2015-12-18,288.71148681640625
2015-12-21,290.5655517578125
2015-12-22,294.9385986328125
2015-12-23,301.9721374511719
2015-12-24,301.89971923828125
2015-12-28,302.93359375
2015-12-29,302.4407958984375
2015-12-30,302.77850341796875
2015-12-31,302.77850341796875
2016-01-04,297.6541748046875
2016-01-05,298.6121826171875
2016-01-06,299.8079528808594
2016-01-07,294.53533935546875
2016-01-08,296.1379089355469
2016-01-11,296.3481140136719
2016-01-12,293.4912109375
2016-01-13,296.809814453125
2016-01-14,299.08087158203125
2016-01-15,289.6763916015625
2016-01-18,289.5489501953125
2016-01-19,293.9564208984375
2016-01-20,293.30859375
2016-01-21,294.26666259765625
2016-01-22,299.5184631347656
2016-01-25,299.43731689453125
2016-01-26,300.8835754394531
2016-01-27,303.505859375
2016-01-28,309.6727294921875
2016-01-29,322.4784240722656
2016-02-01,322.3431396484375
2016-02-02,314.0812683105469
2016-02-03,316.66522216796875
2016-02-04,322.11767578125
2016-02-05,320.4736633300781
2016-02-08,317.0433044433594
2016-02-09,318.82952880859375
2016-02-10,320.2481994628906
2016-02-11,317.31732177734375
2016-02-12,320.7060241699219
2016-02-15,321.2713317871094
2016-02-16,324.1572265625
2016-02-17,324.9619140625
2016-02-18,326.3804626464844
2016-02-19,323.5362854003906
2016-02-22,322.3951416015625
2016-02-23,320.3626708984375
2016-02-24,317.86181640625
2016-02-25,324.07733154296875
2016-02-26,319.4886169433594
2016-02-29,319.3082580566406
2016-03-01,325.5202941894531
2016-03-02,325.3225402832031
2016-03-03,325.7527160644531
2016-03-04,323.9004821777344
2016-03-07,323.42181396484375
2016-03-08,324.9965515136719
2016-03-09,323.5710144042969
2016-03-10,325.17340087890625
2016-03-11,322.5755310058594
2016-03-14,326.5261535644531
2016-03-15,326.609375
2016-03-16,324.008056640625
2016-03-17,328.6072082519531
2016-03-18,333.8862609863281
2016-03-21,336.0158996582031
2016-03-22,330.2443542480469
2016-03-23,321.2818603515625
2016-03-24,320.390380859375
2016-03-28,322.568603515625
2016-03-29,323.106201171875
2016-03-30,323.5952453613281
2016-03-31,323.20330810546875
2016-04-01,322.5165710449219
