Date,IP.MI
2015-08-24,10.801534652709961
2015-08-25,11.21662425994873
2015-08-26,11.170502662658691
2015-08-27,11.33653736114502
2015-08-28,11.207399368286133
2015-08-31,11.198175430297852
2015-09-01,11.004467964172363
2015-09-02,11.456452369689941
2015-09-03,11.80697250366211
2015-09-04,11.410332679748535
2015-09-07,11.373435974121094
2015-09-08,11.613266944885254
2015-09-09,11.78852367401123
2015-09-10,11.677833557128906
2015-09-11,11.78852367401123
2015-09-14,11.474902153015137
2015-09-15,11.594818115234375
2015-09-16,11.687057495117188
2015-09-17,11.751627922058105
2015-09-18,11.438005447387695
2015-09-21,11.594818115234375
2015-09-22,11.170502662658691
2015-09-23,11.456452369689941
2015-09-24,11.188950538635254
2015-09-25,11.723955154418945
2015-09-28,11.354986190795898
2015-09-29,11.069037437438965
2015-09-30,10.9860200881958
2015-10-01,11.02291488647461
2015-10-02,10.9860200881958
2015-10-05,11.069037437438965
2015-10-06,11.71473217010498
2015-10-07,11.5579195022583
2015-10-08,11.71473217010498
2015-10-09,11.71473217010498
2015-10-12,11.71473217010498
2015-10-13,11.419557571411133
2015-10-14,11.410332679748535
2015-10-15,11.493350982666016
2015-10-16,11.391884803771973
2015-10-19,11.419557571411133
2015-10-20,11.299641609191895
2015-10-21,11.308866500854492
2015-10-22,11.438005447387695
2015-10-23,11.880765914916992
2015-10-26,12.351202011108398
2015-10-27,12.12059497833252
2015-10-28,12.056024551391602
2015-10-29,12.240510940551758
2015-10-30,12.360424041748047
2015-11-02,12.664822578430176
2015-11-03,12.710942268371582
2015-11-04,12.812409400939941
2015-11-05,12.637151718139648
2015-11-06,12.950773239135742
2015-11-09,12.876978874206543
2015-11-10,13.107584953308105
2015-11-11,13.172154426574707
2015-11-12,12.766288757324219
2015-11-13,12.9138765335083
2015-11-16,12.978445053100586
2015-11-17,13.282845497131348
2015-11-18,13.310517311096191
2015-11-19,13.319741249084473
2015-11-20,13.310517311096191
2015-11-23,13.411981582641602
2015-11-24,13.116809844970703
2015-11-25,13.19060230255127
2015-11-26,13.292068481445312
2015-11-27,13.338190078735352
2015-11-30,13.550345420837402
2015-12-01,13.504225730895996
2015-12-02,13.559569358825684
2015-12-03,13.421207427978516
2015-12-04,13.347414016723633
2015-12-07,13.467327117919922
2015-12-08,13.245946884155273
2015-12-09,13.21827507019043
2015-12-10,13.04301643371582
2015-12-11,12.904651641845703
2015-12-14,12.812409400939941
2015-12-15,13.079912185668945
2015-12-16,12.987668991088867
2015-12-17,13.0614652633667
2015-12-18,13.079912185668945
2015-12-21,12.987668991088867
2015-12-22,12.93232536315918
2015-12-23,13.126032829284668
2015-12-28,12.88620376586914
2015-12-29,13.227499008178711
2015-12-30,13.209050178527832
2015-12-31,13.209050178527832
2016-01-04,12.969223022460938
2016-01-05,13.162930488586426
2016-01-06,12.840083122253418
2016-01-07,12.203614234924316
2016-01-08,11.926887512207031
2016-01-11,11.087485313415527
2016-01-12,11.262744903564453
2016-01-13,10.930676460266113
2016-01-14,10.912226676940918
2016-01-15,10.515584945678711
2016-01-18,10.534032821655273
2016-01-19,10.580154418945312
2016-01-20,10.303427696228027
2016-01-21,10.589380264282227
2016-01-22,10.598602294921875
2016-01-25,10.589380264282227
2016-01-26,10.644725799560547
2016-01-27,10.635499954223633
2016-01-28,10.414118766784668
2016-01-29,10.773863792419434
2016-02-01,10.866104125976562
2016-02-02,10.56170654296875
2016-02-03,10.469464302062988
2016-02-04,10.386445045471191
2016-02-05,10.294203758239746
2016-02-08,9.713080406188965
2016-02-09,9.759201049804688
2016-02-10,9.916011810302734
2016-02-11,9.639286041259766
2016-02-12,10.26653003692627
2016-02-15,10.672396659851074
2016-02-16,10.856880187988281
2016-02-17,11.760851860046387
2016-02-18,11.760851860046387
2016-02-19,11.622488021850586
2016-02-22,11.899213790893555
2016-02-23,11.908439636230469
2016-02-24,11.733180046081543
2016-02-25,11.71473217010498
2016-02-26,11.86231803894043
2016-02-29,11.816198348999023
2016-03-01,12.148268699645996
2016-03-02,12.185164451599121
2016-03-03,12.222061157226562
2016-03-04,12.249733924865723
2016-03-07,12.194388389587402
2016-03-08,11.908439636230469
2016-03-09,12.01912784576416
2016-03-10,11.78852367401123
