Date,BK
2015-08-03,33.61583709716797
2015-08-04,33.995357513427734
2015-08-05,34.39039993286133
2015-08-06,34.29743957519531
2015-08-07,34.6614875793457
2015-08-10,35.05650329589844
2015-08-11,34.59950256347656
2015-08-12,34.00311279296875
2015-08-13,33.97989273071289
2015-08-14,34.13478088378906
2015-08-17,34.12704849243164
2015-08-18,34.35165786743164
2015-08-19,34.21998977661133
2015-08-20,33.15108871459961
2015-08-21,32.105430603027344
2015-08-24,29.928936004638672
2015-08-25,29.2628173828125
2015-08-26,30.57183074951172
2015-08-27,31.601980209350586
2015-08-28,31.501277923583984
2015-08-31,30.827423095703125
2015-09-01,29.696569442749023
2015-09-02,30.223264694213867
2015-09-03,30.424665451049805
2015-09-04,29.812747955322266
2015-09-08,30.455638885498047
2015-09-09,30.192277908325195
2015-09-10,30.46338653564453
2015-09-11,30.64153289794922
2015-09-14,30.64153289794922
2015-09-15,31.028810501098633
2015-09-16,31.16048240661621
2015-09-17,30.83516502380371
2015-09-18,30.09933853149414
2015-09-21,30.540851593017578
2015-09-22,30.091590881347656
2015-09-23,30.068361282348633
2015-09-24,29.83599090576172
2015-09-25,30.672510147094727
2015-09-28,29.58812713623047
2015-09-29,29.774024963378906
2015-09-30,30.323965072631836
2015-10-01,30.48661994934082
2015-10-02,30.339452743530273
2015-10-05,31.0985164642334
2015-10-06,30.951351165771484
2015-10-07,31.408336639404297
2015-10-08,31.65620231628418
2015-10-09,31.33087921142578
2015-10-12,31.338626861572266
2015-10-13,30.858407974243164
2015-10-14,30.409164428710938
2015-10-15,31.354108810424805
2015-10-16,31.361873626708984
2015-10-19,31.1140079498291
2015-10-20,31.950544357299805
2015-10-21,31.63295555114746
2015-10-22,32.260353088378906
2015-10-23,32.7250862121582
2015-10-26,32.446258544921875
2015-10-27,32.30684280395508
2015-10-28,33.36022186279297
2015-10-29,33.010284423828125
2015-10-30,32.38819885253906
2015-11-02,32.85477066040039
2015-11-03,33.16581726074219
2015-11-04,33.119171142578125
2015-11-05,33.66350555419922
2015-11-06,34.36335372924805
2015-11-09,33.95901107788086
2015-11-10,33.92789840698242
2015-11-11,34.0911979675293
2015-11-12,33.577964782714844
2015-11-13,33.181373596191406
2015-11-16,33.3835563659668
2015-11-17,33.368011474609375
2015-11-18,34.21561813354492
2015-11-19,34.08343505859375
2015-11-20,34.01343536376953
2015-11-23,33.95901107788086
2015-11-24,33.96678924560547
2015-11-25,34.16118621826172
2015-11-27,34.12230682373047
2015-11-30,34.0911979675293
2015-12-01,34.145633697509766
2015-12-02,33.819034576416016
2015-12-03,33.42243957519531
2015-12-04,34.26228332519531
2015-12-07,33.896785736083984
2015-12-08,33.554630279541016
2015-12-09,32.971412658691406
2015-12-10,32.870323181152344
2015-12-11,31.703876495361328
2015-12-14,31.408382415771484
2015-12-15,32.691463470458984
2015-12-16,33.2047004699707
2015-12-17,32.084922790527344
2015-12-18,31.276180267333984
2015-12-21,31.563915252685547
2015-12-22,31.87495994567871
2015-12-23,32.1549072265625
2015-12-24,32.061588287353516
2015-12-28,31.991600036621094
2015-12-29,32.44261932373047
2015-12-30,32.100460052490234
2015-12-31,32.05381774902344
2016-01-04,31.081785202026367
2016-01-05,30.965133666992188
2016-01-06,30.18750762939453
2016-01-07,29.425434112548828
2016-01-08,28.888874053955078
2016-01-11,29.098819732666016
2016-01-12,29.33211898803711
2016-01-13,28.352310180664062
2016-01-14,28.82666015625
2016-01-15,27.823518753051758
2016-01-19,27.940166473388672
2016-01-20,27.582456588745117
2016-01-21,26.680416107177734
2016-01-22,27.3336124420166
2016-01-25,26.960351943969727
2016-01-26,27.65244483947754
2016-01-27,27.551359176635742
2016-01-28,27.504688262939453
2016-01-29,28.301700592041016
2016-02-01,27.739107131958008
2016-02-02,26.793636322021484
2016-02-03,26.832704544067383
2016-02-04,27.309354782104492
2016-02-05,26.92646026611328
2016-02-08,26.020061492919922
2016-02-09,26.254474639892578
2016-02-10,26.223228454589844
2016-02-11,25.58249282836914
2016-02-12,26.4341983795166
2016-02-16,26.996797561645508
2016-02-17,27.278093338012695
2016-02-18,26.98897933959961
2016-02-19,27.293720245361328
2016-02-22,27.684419631958008
2016-02-23,27.395301818847656
2016-02-24,27.168691635131836
2016-02-25,27.606273651123047
2016-02-26,28.22356605529785
2016-02-29,27.653152465820312
2016-03-01,28.754907608032227
2016-03-02,29.239355087280273
2016-03-03,29.450328826904297
2016-03-04,29.76288604736328
2016-03-07,29.825401306152344
2016-03-08,29.29405975341797
2016-03-09,29.020578384399414
2016-03-10,28.809602737426758
2016-03-11,29.49721908569336
2016-03-14,29.40345573425293
2016-03-15,29.29405975341797
2016-03-16,29.04401206970215
2016-03-17,29.20810890197754
2016-03-18,29.80978012084961
2016-03-21,29.79414176940918
2016-03-22,29.583168029785156
2016-03-23,29.317502975463867
2016-03-24,29.129972457885742
2016-03-28,29.176847457885742
2016-03-29,28.887737274169922
2016-03-30,29.020578384399414
2016-03-31,28.77834701538086
2016-04-01,28.856487274169922
2016-04-04,28.94243812561035
2016-04-05,28.53612518310547
2016-04-06,28.887737274169922
2016-04-07,27.8719482421875
2016-04-08,27.731304168701172
2016-04-11,28.020410537719727
2016-04-12,28.231386184692383
2016-04-13,29.520662307739258
2016-04-14,29.73944664001465
2016-04-15,29.575353622436523
2016-04-18,29.934795379638672
2016-04-19,30.348922729492188
2016-04-20,31.036548614501953
2016-04-21,31.802295684814453
2016-04-22,32.08360290527344
2016-04-25,31.778850555419922
2016-04-26,32.2164306640625
2016-04-27,32.255496978759766
