Date,RACE.MI
2016-01-04,40.386070251464844
2016-01-05,41.23688888549805
2016-01-06,41.246131896972656
2016-01-07,39.9051628112793
2016-01-08,37.49143981933594
2016-01-11,36.36317825317383
2016-01-12,37.46369934082031
2016-01-13,37.03828430175781
2016-01-14,35.32740020751953
2016-01-15,34.17140197753906
2016-01-18,33.04314422607422
2016-01-19,35.88228225708008
2016-01-20,33.477806091308594
2016-01-21,34.6800422668457
2016-01-22,35.7158203125
2016-01-25,34.63380432128906
2016-01-26,35.00372314453125
2016-01-27,35.0592155456543
2016-01-28,33.57953643798828
2016-01-29,33.847721099853516
2016-02-01,33.7552375793457
2016-02-02,30.518436431884766
2016-02-03,30.472196578979492
2016-02-04,31.470979690551758
2016-02-05,31.443239212036133
2016-02-08,29.88957405090332
2016-02-09,28.113956451416016
2016-02-10,28.012229919433594
2016-02-11,25.89443016052246
2016-02-12,27.78102684020996
2016-02-15,28.7520694732666
2016-02-16,28.86304473876953
2016-02-17,31.85940170288086
2016-02-18,32.05360412597656
2016-02-19,31.776172637939453
2016-02-22,33.26509475708008
2016-02-23,32.599239349365234
2016-02-24,31.822412490844727
2016-02-25,32.183082580566406
2016-02-26,32.63623046875
2016-02-29,32.913673400878906
2016-03-01,33.2188606262207
2016-03-02,33.38532257080078
2016-03-03,33.2188606262207
2016-03-04,33.292842864990234
2016-03-07,33.92170715332031
2016-03-08,34.94823455810547
2016-03-09,35.234920501708984
2016-03-10,34.04193115234375
2016-03-11,35.040714263916016
2016-03-14,35.299659729003906
2016-03-15,34.559818267822266
2016-03-16,34.85575485229492
2016-03-17,35.06845474243164
2016-03-18,34.957481384277344
2016-03-21,34.7540283203125
2016-03-22,34.495086669921875
2016-03-23,34.01418685913086
2016-03-24,33.782981872558594
2016-03-29,33.90321350097656
2016-03-30,34.42109680175781
2016-03-31,33.7552375793457
2016-04-01,33.20035934448242
2016-04-04,33.56103515625
2016-04-05,32.72871780395508
2016-04-06,33.477806091308594
2016-04-07,32.876686096191406
2016-04-08,33.57953643798828
2016-04-11,33.62576675415039
2016-04-12,33.311336517333984
2016-04-13,34.2176399230957
2016-04-14,34.6800422668457
2016-04-15,35.78981018066406
2016-04-18,36.09498596191406
2016-04-19,36.34468460083008
2016-04-20,36.5666389465332
2016-04-21,36.22446060180664
2016-04-22,35.697322845458984
2016-04-25,35.26266860961914
2016-04-26,35.78981018066406
2016-04-27,35.965511322021484
2016-04-28,36.76084899902344
2016-04-29,36.36317825317383
2016-05-02,36.06724548339844
2016-05-03,35.19792938232422
2016-05-04,35.66032791137695
2016-05-05,35.00372314453125
2016-05-06,35.14244079589844
2016-05-09,34.874244689941406
2016-05-10,35.447628021240234
2016-05-11,35.28116989135742
2016-05-12,35.179439544677734
2016-05-13,36.08574295043945
2016-05-16,35.743568420410156
2016-05-17,34.96673583984375
2016-05-18,34.78177261352539
2016-05-19,33.69976043701172
2016-05-20,33.95869827270508
2016-05-23,33.696468353271484
2016-05-24,34.52998733520508
2016-05-25,35.44778823852539
2016-05-26,35.18555450439453
2016-05-27,35.18555450439453
2016-05-30,35.75684356689453
2016-05-31,35.68191909790039
2016-06-01,35.58826446533203
2016-06-02,36.093994140625
2016-06-03,35.48524856567383
2016-06-06,35.53207015991211
2016-06-07,36.337493896484375
2016-06-08,35.98161315917969
2016-06-09,35.81303405761719
2016-06-10,35.063804626464844
2016-06-13,34.258392333984375
2016-06-14,34.30521774291992
2016-06-15,34.567440032958984
2016-06-16,34.41759490966797
2016-06-17,34.960792541503906
2016-06-20,35.83176040649414
2016-06-21,35.49461364746094
2016-06-22,35.204288482666016
2016-06-23,36.14081954956055
2016-06-24,34.389503479003906
2016-06-27,33.45297622680664
2016-06-28,33.89313507080078
2016-06-29,33.555992126464844
2016-06-30,34.32394790649414
2016-07-01,34.8858642578125
2016-07-04,34.6517333984375
2016-07-05,34.174110412597656
2016-07-06,33.74329376220703
2016-07-07,33.57472229003906
2016-07-08,35.16682052612305
2016-07-11,35.83176040649414
2016-07-12,36.318756103515625
2016-07-13,35.44778823852539
2016-07-14,36.168914794921875
2016-07-15,35.9254150390625
2016-07-18,35.89732360839844
2016-07-19,36.00971221923828
2016-07-20,35.841129302978516
2016-07-21,36.47797393798828
2016-07-22,36.609092712402344
2016-07-25,36.8338623046875
2016-07-26,37.19910430908203
2016-07-27,38.36976623535156
2016-07-28,37.23656463623047
2016-07-29,37.87340545654297
2016-08-01,37.92959976196289
2016-08-02,38.88486099243164
2016-08-03,39.27820587158203
2016-08-04,38.98788833618164
2016-08-05,39.75584411621094
2016-08-08,40.03679656982422
2016-08-09,40.22410583496094
2016-08-10,40.31776428222656
2016-08-11,40.31776428222656
2016-08-12,40.6923713684082
2016-08-16,39.68091583251953
2016-08-17,39.89632034301758
2016-08-18,39.98060607910156
2016-08-19,39.83075714111328
2016-08-22,40.11172103881836
2016-08-23,40.39268493652344
2016-08-24,40.31776428222656
2016-08-25,40.083621978759766
2016-08-26,40.2896614074707
2016-08-29,40.50506591796875
2016-08-30,40.64555358886719
2016-08-31,40.45823669433594
2016-09-01,40.11172103881836
2016-09-02,40.55189514160156
2016-09-05,40.523799896240234
2016-09-06,40.430145263671875
2016-09-07,41.65700149536133
2016-09-08,41.020164489746094
2016-09-09,40.579986572265625
2016-09-12,40.21473693847656
2016-09-13,39.66217803955078
2016-09-14,39.615360260009766
2016-09-15,39.802669525146484
2016-09-16,38.92232131958008
2016-09-19,40.102359771728516
2016-09-20,39.76520538330078
2016-09-21,41.01079559326172
2016-09-22,42.01288604736328
