Date,BANKBARODA.NS
2015-08-03,162.69491577148438
2015-08-04,168.1518096923828
2015-08-05,166.34751892089844
2015-08-06,166.69955444335938
2015-08-07,162.82693481445312
2015-08-10,160.27450561523438
2015-08-11,156.7099151611328
2015-08-12,154.9496307373047
2015-08-13,155.56573486328125
2015-08-14,162.298828125
2015-08-17,187.29498291015625
2015-08-18,187.38299560546875
2015-08-19,183.73040771484375
2015-08-20,176.99728393554688
2015-08-21,175.72105407714844
2015-08-24,160.714599609375
2015-08-25,160.7585906982422
2015-08-26,155.96180725097656
2015-08-27,165.29135131835938
2015-08-28,163.00296020507812
2015-08-31,162.6068878173828
2015-09-01,151.8251190185547
2015-09-02,149.18467712402344
2015-09-03,154.55357360839844
2015-09-04,153.36537170410156
2015-09-07,149.44871520996094
2015-09-08,156.40185546875
2015-09-09,158.9542999267578
2015-09-10,157.50205993652344
2015-09-11,159.57040405273438
2015-09-14,164.191162109375
2015-09-15,159.83444213867188
2015-09-16,160.6705780029297
2015-09-18,167.49169921875
2015-09-21,169.0759735107422
2015-09-22,164.45521545410156
2015-09-23,165.68740844726562
2015-09-24,164.05914306640625
2015-09-28,161.55072021484375
2015-09-29,164.80726623535156
2015-09-30,161.24266052246094
2015-10-01,159.3943634033203
2015-10-05,164.05914306640625
2015-10-06,162.2548370361328
2015-10-07,164.01515197753906
2015-10-08,163.61904907226562
2015-10-09,160.27450561523438
2015-10-12,155.6097412109375
2015-10-13,154.9056396484375
2015-10-14,152.70526123046875
2015-10-15,158.3381805419922
2015-10-16,156.40185546875
2015-10-19,154.50955200195312
2015-10-20,155.12564086914062
2015-10-21,153.80543518066406
2015-10-23,152.35321044921875
2015-10-26,151.42904663085938
2015-10-27,148.17250061035156
2015-10-28,144.3878936767578
2015-10-29,142.9796600341797
2015-10-30,140.99932861328125
2015-11-02,142.45155334472656
2015-11-03,142.53958129882812
2015-11-04,143.85980224609375
2015-11-05,140.29519653320312
2015-11-06,147.02830505371094
2015-11-09,150.9009552001953
2015-11-10,152.22117614746094
2015-11-13,153.32135009765625
2015-11-16,155.3016815185547
2015-11-17,152.4852294921875
2015-11-18,148.17250061035156
2015-11-19,147.95248413085938
2015-11-20,151.29702758789062
2015-11-23,149.0526580810547
2015-11-24,148.04046630859375
2015-11-26,149.66876220703125
2015-11-27,158.0741424560547
2015-11-30,158.3381805419922
2015-12-01,156.2698516845703
2015-12-02,152.96929931640625
2015-12-03,150.7249298095703
2015-12-04,146.89630126953125
2015-12-07,145.84011840820312
2015-12-08,142.3195343017578
2015-12-09,141.0433349609375
2015-12-10,140.25120544433594
2015-12-11,136.64259338378906
2015-12-14,138.0068359375
2015-12-15,139.37106323242188
2015-12-16,140.6472625732422
2015-12-17,140.77928161621094
2015-12-18,139.9431610107422
2015-12-21,140.33920288085938
2015-12-22,138.2708740234375
2015-12-23,139.5470733642578
2015-12-24,139.32705688476562
2015-12-28,139.89913940429688
2015-12-29,138.9309844970703
2015-12-30,137.39073181152344
2015-12-31,137.87478637695312
2016-01-01,139.98715209960938
2016-01-04,133.0780029296875
2016-01-05,130.3495635986328
2016-01-06,130.87765502929688
2016-01-07,122.78031158447266
2016-01-08,123.6164321899414
2016-01-11,122.42825317382812
2016-01-12,118.37957763671875
2016-01-13,116.2672348022461
2016-01-14,115.21104431152344
2016-01-15,111.03036499023438
2016-01-18,110.6343002319336
2016-01-19,110.15021514892578
2016-01-20,106.629638671875
2016-01-21,109.35807800292969
2016-01-22,114.59495544433594
2016-01-25,113.97885131835938
2016-01-27,114.41893005371094
2016-01-28,114.55094909667969
2016-01-29,110.3702621459961
2016-02-01,107.55377960205078
2016-02-02,106.45360565185547
2016-02-03,106.10154724121094
2016-02-04,108.08187866210938
2016-02-05,111.7344741821289
2016-02-08,114.99101257324219
2016-02-09,109.402099609375
2016-02-10,102.88902282714844
2016-02-11,102.05287170410156
2016-02-12,100.07254791259766
2016-02-15,122.6482925415039
2016-02-16,115.16706085205078
2016-02-17,121.72413635253906
2016-02-18,122.2082290649414
2016-02-19,122.9123306274414
2016-02-22,122.56027221679688
2016-02-23,117.01535034179688
2016-02-24,117.67546844482422
2016-02-25,114.5069351196289
2016-02-26,116.8393325805664
2016-02-29,116.09119415283203
2016-03-01,119.74380493164062
2016-03-02,127.84113311767578
2016-03-03,127.9731674194336
2016-03-04,131.0536651611328
2016-03-08,124.89263916015625
2016-03-09,125.90481567382812
2016-03-10,122.51627349853516
2016-03-11,123.83649444580078
2016-03-14,124.05652618408203
2016-03-15,126.03684997558594
2016-03-16,125.81680297851562
2016-03-17,125.2007064819336
2016-03-18,126.82897186279297
2016-03-21,129.73345947265625
2016-03-22,128.94134521484375
2016-03-23,126.74095916748047
2016-03-28,122.12020111083984
2016-03-29,123.5284423828125
2016-03-30,129.4254150390625
2016-03-31,129.3813934326172
2016-04-01,134.4862518310547
2016-04-04,133.2980499267578
2016-04-05,127.04903411865234
2016-04-06,126.16887664794922
2016-04-07,126.21286010742188
2016-04-08,125.9488296508789
2016-04-11,131.44973754882812
2016-04-12,131.31771850585938
2016-04-13,134.17819213867188
2016-04-18,130.3495635986328
2016-04-20,134.35423278808594
2016-04-21,138.84295654296875
2016-04-22,142.53958129882812
2016-04-25,138.9309844970703
2016-04-26,142.3195343017578
2016-04-27,141.74745178222656
2016-04-28,141.30738830566406
2016-04-29,138.97499084472656
2016-05-02,136.86264038085938
2016-05-03,134.57424926757812
2016-05-04,130.83363342285156
2016-05-05,130.87765502929688
2016-05-06,132.54994201660156
2016-05-09,136.55458068847656
2016-05-10,138.53489685058594
2016-05-11,138.05084228515625
2016-05-12,138.7549285888672
2016-05-13,136.51058959960938
2016-05-16,125.24473571777344
2016-05-17,124.89263916015625
2016-05-18,125.33271789550781
2016-05-19,120.75597381591797
2016-05-20,118.86366271972656
2016-05-23,116.00318908691406
2016-05-24,114.2428970336914
2016-05-25,117.23538208007812
2016-05-26,118.68763732910156
2016-05-27,121.9881820678711
2016-05-30,121.81214141845703
2016-05-31,125.68479919433594
2016-06-01,122.12020111083984
2016-06-02,124.58460235595703
2016-06-03,123.39639282226562
2016-06-06,126.25688171386719
2016-06-07,127.9731674194336
2016-06-08,130.217529296875
2016-06-09,131.18569946289062
2016-06-10,128.76528930664062
2016-06-13,128.5892791748047
2016-06-14,130.96566772460938
2016-06-15,133.60610961914062
2016-06-16,133.43008422851562
2016-06-17,132.54994201660156
2016-06-20,133.4740753173828
2016-06-21,131.93382263183594
2016-06-22,131.22970581054688
2016-06-23,133.95814514160156
2016-06-24,129.51341247558594
2016-06-27,133.6501007080078
2016-06-28,135.8944854736328
2016-06-29,135.45440673828125
2016-06-30,135.49839782714844
2016-07-01,137.83079528808594
2016-07-04,140.6472625732422
2016-07-05,140.33920288085938
2016-07-07,139.19500732421875
2016-07-08,136.20252990722656
2016-07-11,142.89163208007812
2016-07-12,141.4833984375
2016-07-13,140.95530700683594
2016-07-14,144.079833984375
