Date,EG
2015-08-03,148.9547882080078
2015-08-04,148.5494842529297
2015-08-05,149.4815673828125
2015-08-06,149.13308715820312
2015-08-07,149.31947326660156
2015-08-10,150.60008239746094
2015-08-11,150.18679809570312
2015-08-12,149.8625030517578
2015-08-13,149.90304565429688
2015-08-14,150.51092529296875
2015-08-17,150.72164916992188
2015-08-18,150.94862365722656
2015-08-19,149.7247314453125
2015-08-20,147.7228240966797
2015-08-21,145.59925842285156
2015-08-24,138.3636932373047
2015-08-25,136.6770477294922
2015-08-26,139.1459197998047
2015-08-27,142.8859100341797
2015-08-28,142.53555297851562
2015-08-31,143.25262451171875
2015-09-01,140.93849182128906
2015-09-02,142.2259521484375
2015-09-03,142.5192413330078
2015-09-04,140.92225646972656
2015-09-08,143.30152893066406
2015-09-09,142.54371643066406
2015-09-10,143.58670043945312
2015-09-11,144.42588806152344
2015-09-14,144.35260009765625
2015-09-15,143.9370880126953
2015-09-16,144.06744384765625
2015-09-17,143.45631408691406
2015-09-18,140.8407440185547
2015-09-21,142.28298950195312
2015-09-22,140.66152954101562
2015-09-23,140.93035888671875
2015-09-24,141.2237548828125
2015-09-25,141.63931274414062
2015-09-28,139.30078125
2015-09-29,140.18072509765625
2015-09-30,141.24000549316406
2015-10-01,140.30296325683594
2015-10-02,141.50076293945312
2015-10-05,142.8207550048828
2015-10-06,142.86965942382812
2015-10-07,144.23033142089844
2015-10-08,145.8192901611328
2015-10-09,144.12445068359375
2015-10-12,145.26522827148438
2015-10-13,143.7740936279297
2015-10-14,144.2140655517578
2015-10-15,145.20822143554688
2015-10-16,145.4525604248047
2015-10-19,144.41778564453125
2015-10-20,146.39784240722656
2015-10-21,146.02297973632812
2015-10-22,147.98667907714844
2015-10-23,146.0718536376953
2015-10-26,147.3185272216797
2015-10-27,148.00299072265625
2015-10-28,148.4511260986328
2015-10-29,148.2963104248047
2015-10-30,145.01266479492188
2015-11-02,145.305908203125
2015-11-03,144.85781860351562
2015-11-04,146.0148162841797
2015-11-05,146.6422576904297
2015-11-06,147.5548095703125
2015-11-09,147.000732421875
2015-11-10,147.50592041015625
2015-11-11,148.03553771972656
2015-11-12,147.94590759277344
2015-11-13,147.58738708496094
2015-11-16,148.36148071289062
2015-11-17,147.5303955078125
2015-11-18,150.01553344726562
2015-11-19,151.6044158935547
2015-11-20,151.23780822753906
2015-11-23,150.89556884765625
2015-11-24,150.57777404785156
2015-11-25,150.47186279296875
2015-11-27,151.0830535888672
2015-11-30,151.22235107421875
2015-12-01,153.19834899902344
2015-12-02,151.2879638671875
2015-12-03,150.66481018066406
2015-12-04,153.24749755859375
2015-12-07,154.81350708007812
2015-12-08,153.49351501464844
2015-12-09,152.00125122070312
2015-12-10,151.1813507080078
2015-12-11,150.0089111328125
2015-12-14,151.0091552734375
2015-12-15,150.61563110351562
2015-12-16,149.1070098876953
2015-12-17,149.14797973632812
2015-12-18,148.49208068847656
2015-12-21,149.57437133789062
2015-12-22,151.4191131591797
2015-12-23,151.27978515625
2015-12-24,151.7388916015625
2015-12-28,151.9110870361328
2015-12-29,153.5918731689453
2015-12-30,152.5506134033203
2015-12-31,150.1155242919922
2016-01-04,148.46754455566406
2016-01-05,147.8853759765625
2016-01-06,146.6473388671875
2016-01-07,145.1059112548828
2016-01-08,143.5562744140625
2016-01-11,144.015380859375
2016-01-12,144.02366638183594
2016-01-13,141.66236877441406
2016-01-14,143.11354064941406
2016-01-15,142.01492309570312
2016-01-19,140.39967346191406
2016-01-20,139.15345764160156
2016-01-21,138.85006713867188
2016-01-22,141.38357543945312
2016-01-25,139.6781463623047
2016-01-26,141.8509063720703
2016-01-27,141.25238037109375
2016-01-28,143.03976440429688
2016-01-29,146.71290588378906
2016-02-01,148.09039306640625
2016-02-02,144.884521484375
2016-02-03,145.69622802734375
2016-02-04,149.6809539794922
2016-02-05,147.59019470214844
2016-02-08,153.6082763671875
2016-02-09,154.06741333007812
2016-02-10,151.34535217285156
2016-02-11,149.9761199951172
2016-02-12,152.22267150878906
2016-02-16,151.42735290527344
2016-02-17,151.94386291503906
2016-02-18,152.44400024414062
2016-02-19,152.95237731933594
2016-02-22,152.5506134033203
2016-02-23,152.91952514648438
2016-02-24,153.8542022705078
2016-02-25,155.1988525390625
2016-02-26,153.21470642089844
2016-02-29,152.6079864501953
2016-03-01,156.5517120361328
2016-03-02,157.2978515625
2016-03-03,157.40435791015625
2016-03-04,158.73260498046875
2016-03-07,159.84613037109375
2016-03-08,158.68316650390625
2016-03-09,159.47496032714844
2016-03-10,159.6976776123047
2016-03-11,161.7266387939453
2016-03-14,161.5039825439453
2016-03-15,159.32652282714844
2016-03-16,160.93484497070312
2016-03-17,160.62139892578125
2016-03-18,157.77590942382812
2016-03-21,159.93687438964844
2016-03-22,159.60696411132812
2016-03-23,159.4584503173828
2016-03-24,157.83363342285156
2016-03-28,160.34922790527344
2016-03-29,161.479248046875
2016-03-30,162.3205108642578
2016-03-31,162.84010314941406
2016-04-01,164.3577880859375
2016-04-04,163.14535522460938
2016-04-05,161.39678955078125
2016-04-06,161.5947265625
2016-04-07,161.02560424804688
2016-04-08,160.73690795898438
2016-04-11,160.7203826904297
2016-04-12,162.6669158935547
2016-04-13,164.1845703125
2016-04-14,163.0050811767578
2016-04-15,163.04632568359375
2016-04-18,163.2030487060547
2016-04-19,163.21954345703125
2016-04-20,162.98031616210938
2016-04-21,158.02328491210938
2016-04-22,159.49147033691406
2016-04-25,159.54092407226562
2016-04-26,153.27247619628906
2016-04-27,152.42291259765625
2016-04-28,152.04354858398438
2016-04-29,152.50537109375
2016-05-02,153.46218872070312
2016-05-03,152.34866333007812
2016-05-04,150.73207092285156
2016-05-05,151.07850646972656
2016-05-06,149.72586059570312
2016-05-09,149.08251953125
2016-05-10,151.1527862548828
2016-05-11,150.59190368652344
2016-05-12,151.82907104492188
2016-05-13,151.25997924804688
2016-05-16,151.98582458496094
2016-05-17,150.23716735839844
2016-05-18,150.06394958496094
2016-05-19,148.37315368652344
2016-05-20,148.513427734375
2016-05-23,147.0122528076172
2016-05-24,148.13400268554688
2016-05-25,147.71334838867188
2016-05-26,147.70504760742188
2016-05-27,148.2032012939453
2016-05-31,148.68463134765625
2016-06-01,148.5850067138672
2016-06-02,147.63864135742188
2016-06-03,147.64695739746094
2016-06-06,147.46432495117188
2016-06-07,146.36024475097656
2016-06-08,149.5396270751953
2016-06-09,149.77210998535156
2016-06-10,148.68463134765625
2016-06-13,145.82069396972656
2016-06-14,144.16046142578125
2016-06-15,142.55828857421875
2016-06-16,143.54612731933594
2016-06-17,145.59652709960938
2016-06-20,145.3474884033203
2016-06-21,145.55503845214844
2016-06-22,145.72105407714844
2016-06-23,147.28167724609375
2016-06-24,143.20574951171875
2016-06-27,140.46632385253906
2016-06-28,144.45094299316406
2016-06-29,144.34304809570312
2016-06-30,151.63990783691406
2016-07-01,150.6852569580078
2016-07-05,149.1411895751953
2016-07-06,150.0626678466797
2016-07-07,150.14564514160156
2016-07-08,150.8512725830078
2016-07-11,150.41961669921875
2016-07-12,151.2497100830078
2016-07-13,150.4860076904297
2016-07-14,150.2203826904297
2016-07-15,149.2241973876953
2016-07-18,147.54736328125
2016-07-19,148.6929168701172
2016-07-20,149.10800170898438
2016-07-21,148.2446746826172
2016-07-22,150.46942138671875
2016-07-25,150.61886596679688
2016-07-26,153.39146423339844
2016-07-27,154.4042205810547
2016-07-28,156.9194793701172
2016-07-29,156.90289306640625
2016-08-01,157.44247436523438
