Date,INVERCAP.SN
2015-08-24,321.8125915527344
2015-08-25,336.5615539550781
2015-08-26,336.5615539550781
2015-08-27,336.5615539550781
2015-08-28,336.5615539550781
2015-08-31,336.5615539550781
2015-09-01,336.5615539550781
2015-09-02,341.4410095214844
2015-09-03,347.93182373046875
2015-09-04,347.93182373046875
2015-09-07,347.93182373046875
2015-09-08,347.93182373046875
2015-09-09,352.9738464355469
2015-09-10,352.9738464355469
2015-09-11,352.9738464355469
2015-09-14,347.8603820800781
2015-09-15,347.8603820800781
2015-09-16,347.8603820800781
2015-09-17,347.8603820800781
2015-09-21,342.8184814453125
2015-09-22,342.8184814453125
2015-09-23,342.8184814453125
2015-09-24,342.8184814453125
2015-09-25,342.3441467285156
2015-09-28,340.4599609375
2015-09-29,330.71392822265625
2015-09-30,324.8663024902344
2015-10-01,321.6177062988281
2015-10-02,327.4653015136719
2015-10-05,324.8663024902344
2015-10-06,324.8663024902344
2015-10-07,341.10968017578125
2015-10-08,340.4599609375
2015-10-09,354.16925048828125
2015-10-13,354.16925048828125
2015-10-14,354.16925048828125
2015-10-15,354.16925048828125
2015-10-16,357.35296630859375
2015-10-19,357.35296630859375
2015-10-20,357.35296630859375
2015-10-21,357.41790771484375
2015-10-22,357.41790771484375
2015-10-23,357.35296630859375
2015-10-26,357.35296630859375
2015-10-27,357.35296630859375
2015-10-28,362.5248107910156
2015-10-29,362.5248107910156
2015-10-30,362.5248107910156
2015-11-02,367.78125
2015-11-03,367.74871826171875
2015-11-04,367.74871826171875
2015-11-05,379.4439392089844
2015-11-06,387.89044189453125
2015-11-09,383.34234619140625
2015-11-10,367.74871826171875
2015-11-11,367.74871826171875
2015-11-12,367.74871826171875
2015-11-13,367.74871826171875
2015-11-16,362.4208679199219
2015-11-17,362.4208679199219
2015-11-18,357.1710205078125
2015-11-19,351.99267578125
2015-11-20,351.99267578125
2015-11-23,351.99267578125
2015-11-24,351.99267578125
2015-11-25,346.892333984375
2015-11-26,346.892333984375
2015-11-27,346.892333984375
2015-11-30,346.892333984375
2015-12-01,346.892333984375
2015-12-02,346.892333984375
2015-12-03,346.892333984375
2015-12-04,346.892333984375
2015-12-07,346.892333984375
2015-12-09,346.892333984375
2015-12-10,346.892333984375
2015-12-11,346.892333984375
2015-12-14,346.892333984375
2015-12-15,346.892333984375
2015-12-16,346.892333984375
2015-12-17,346.892333984375
2015-12-18,346.892333984375
2015-12-21,341.86334228515625
2015-12-22,341.86334228515625
2015-12-23,341.86334228515625
2015-12-24,338.5107116699219
2015-12-28,338.5107116699219
2015-12-29,338.5107116699219
2015-12-30,338.5107116699219
2015-12-31,338.5107116699219
2016-01-04,338.5107116699219
2016-01-05,338.5107116699219
2016-01-06,338.5107116699219
2016-01-07,338.5107116699219
2016-01-08,338.5107116699219
2016-01-11,329.4144287109375
2016-01-12,320.96795654296875
2016-01-13,320.96795654296875
2016-01-14,320.96795654296875
2016-01-15,316.31585693359375
2016-01-18,316.31585693359375
2016-01-19,316.31585693359375
2016-01-20,316.31585693359375
2016-01-21,316.31585693359375
2016-01-22,317.2774353027344
2016-01-25,317.2774353027344
2016-01-26,317.2774353027344
2016-01-27,312.6773681640625
2016-01-28,312.6773681640625
2016-01-29,312.6773681640625
2016-02-01,312.6773681640625
2016-02-02,312.6773681640625
2016-02-03,312.6773681640625
2016-02-04,312.6773681640625
2016-02-05,312.6773681640625
2016-02-08,312.6773681640625
2016-02-09,309.9224548339844
2016-02-10,309.9224548339844
2016-02-11,309.9224548339844
2016-02-12,309.9224548339844
2016-02-15,308.6229553222656
2016-02-16,308.6229553222656
2016-02-17,308.22021484375
2016-02-18,308.22021484375
2016-02-19,308.22021484375
2016-02-22,321.6177062988281
2016-02-23,321.6177062988281
2016-02-24,321.6177062988281
2016-02-25,321.6177062988281
2016-02-26,321.6177062988281
2016-02-29,321.6177062988281
2016-03-01,321.6177062988281
2016-03-02,321.6177062988281
2016-03-03,321.6177062988281
2016-03-04,344.3582763671875
2016-03-07,387.56549072265625
2016-03-08,389.839599609375
2016-03-09,388.54010009765625
2016-03-10,388.54010009765625
2016-03-11,388.54010009765625
2016-03-14,388.54010009765625
2016-03-15,388.54010009765625
2016-03-16,388.54010009765625
2016-03-17,389.84613037109375
2016-03-18,395.86260986328125
2016-03-21,395.86260986328125
2016-03-22,395.86260986328125
2016-03-23,395.86260986328125
2016-03-24,395.86260986328125
2016-03-28,395.6871337890625
2016-03-29,389.9500427246094
2016-03-30,389.9500427246094
2016-03-31,393.0882263183594
2016-04-01,393.0882263183594
2016-04-04,387.3900451660156
2016-04-05,387.3900451660156
2016-04-06,387.3900451660156
2016-04-07,381.77642822265625
2016-04-08,387.3121643066406
2016-04-11,387.3121643066406
