Date,VOLTAS.NS
2015-08-21,272.2356872558594
2015-08-24,249.10177612304688
2015-08-25,256.73455810546875
2015-08-26,254.6614227294922
2015-08-27,263.8489990234375
2015-08-28,270.49237060546875
2015-08-31,257.2057189941406
2015-09-01,240.7151336669922
2015-09-02,243.16517639160156
2015-09-03,249.2430877685547
2015-09-04,239.06607055664062
2015-09-07,238.9718475341797
2015-09-08,247.54698181152344
2015-09-09,247.78256225585938
2015-09-10,240.2910919189453
2015-09-11,240.8564910888672
2015-09-14,242.5997772216797
2015-09-15,248.30079650878906
2015-09-16,242.41131591796875
2015-09-18,236.56895446777344
2015-09-21,244.4373016357422
2015-09-22,241.7987823486328
2015-09-23,243.77764892578125
2015-09-24,235.8150634765625
2015-09-28,236.38046264648438
2015-09-29,241.28050231933594
2015-09-30,252.8238983154297
2015-10-01,254.56723022460938
2015-10-05,254.52011108398438
2015-10-06,265.73370361328125
2015-10-07,257.3941650390625
2015-10-08,256.4518737792969
2015-10-09,262.1999816894531
2015-10-12,256.8758850097656
2015-10-13,252.7767791748047
2015-10-14,255.88644409179688
2015-10-15,260.4095764160156
2015-10-16,268.32501220703125
2015-10-19,267.9480895996094
2015-10-20,266.016357421875
2015-10-21,271.5289306640625
2015-10-23,272.42413330078125
2015-10-26,278.36077880859375
2015-10-27,274.026123046875
2015-10-28,275.76934814453125
2015-10-29,280.0097961425781
2015-10-30,267.10003662109375
2015-11-02,262.1999816894531
2015-11-03,269.2202453613281
2015-11-04,261.4461364746094
2015-11-05,258.1951599121094
2015-11-06,262.576904296875
2015-11-09,260.31536865234375
2015-11-10,249.52577209472656
2015-11-13,245.002685546875
2015-11-16,244.4844207763672
2015-11-17,245.14404296875
2015-11-18,239.01893615722656
2015-11-19,245.002685546875
2015-11-20,255.83935546875
2015-11-23,256.0278015136719
2015-11-24,254.42587280273438
2015-11-26,268.65484619140625
2015-11-27,266.3933410644531
2015-11-30,272.42413330078125
2015-12-01,275.67510986328125
2015-12-02,276.24053955078125
2015-12-03,265.45098876953125
2015-12-04,269.3144226074219
2015-12-07,277.74822998046875
2015-12-08,275.1097412109375
2015-12-09,270.39813232421875
2015-12-10,276.5703430175781
2015-12-11,281.04632568359375
2015-12-14,276.09918212890625
2015-12-15,283.496337890625
2015-12-16,288.8204345703125
2015-12-17,285.8050537109375
2015-12-18,285.7579345703125
2015-12-21,288.0194396972656
2015-12-22,286.0877990722656
2015-12-23,290.0454406738281
2015-12-24,293.57916259765625
2015-12-28,294.568603515625
2015-12-29,293.767578125
2015-12-30,298.43218994140625
2015-12-31,305.59368896484375
2016-01-01,300.8349914550781
2016-01-04,289.5743103027344
2016-01-05,287.0771789550781
2016-01-06,288.066650390625
2016-01-07,271.5289306640625
2016-01-08,279.5386047363281
2016-01-11,281.1877136230469
2016-01-12,270.8222351074219
2016-01-13,272.0472106933594
2016-01-14,272.0472106933594
2016-01-15,264.2259826660156
2016-01-18,256.07489013671875
2016-01-19,260.8807678222656
2016-01-20,254.37875366210938
2016-01-21,259.37298583984375
2016-01-22,267.80682373046875
2016-01-25,267.14715576171875
2016-01-27,266.62890625
2016-01-28,267.1942138671875
2016-01-29,270.02117919921875
2016-02-01,270.2568054199219
2016-02-02,266.77020263671875
2016-02-03,261.1634521484375
2016-02-04,258.3364562988281
2016-02-05,262.859619140625
2016-02-08,267.0528869628906
2016-02-09,264.4615478515625
2016-02-10,253.7191162109375
2016-02-11,226.4861297607422
2016-02-12,215.4138946533203
2016-02-15,224.3188018798828
2016-02-16,218.94760131835938
2016-02-17,222.3870391845703
2016-02-18,221.30340576171875
2016-02-19,223.470703125
2016-02-22,224.69570922851562
2016-02-23,216.73313903808594
2016-02-24,219.4658660888672
2016-02-25,210.6551971435547
2016-02-26,212.58692932128906
2016-02-29,210.51380920410156
2016-03-01,218.5235595703125
2016-03-02,229.64288330078125
2016-03-03,230.302490234375
2016-03-04,231.52752685546875
2016-03-08,226.7217254638672
2016-03-09,228.51211547851562
2016-03-10,224.22454833984375
2016-03-11,232.98809814453125
2016-03-14,234.26023864746094
2016-03-15,234.07177734375
2016-03-16,232.65829467773438
2016-03-17,237.84107971191406
2016-03-18,253.57777404785156
2016-03-21,259.89129638671875
2016-03-22,256.35760498046875
2016-03-23,254.00181579589844
2016-03-28,249.52577209472656
2016-03-29,251.1748809814453
2016-03-30,257.7239685058594
2016-03-31,262.0586242675781
2016-04-01,268.4192810058594
2016-04-04,265.2154235839844
2016-04-05,258.2893371582031
2016-04-06,261.0221252441406
2016-04-07,254.99127197265625
2016-04-08,256.21624755859375
