Date,AUTO.L
2015-08-24,329.3679504394531
2015-08-25,348.348876953125
2015-08-26,334.16314697265625
2015-08-27,342.9542541503906
2015-08-28,341.25604248046875
2015-09-01,338.65863037109375
2015-09-02,337.6595764160156
2015-09-03,336.66064453125
2015-09-04,338.35894775390625
2015-09-07,340.35693359375
2015-09-08,335.66168212890625
2015-09-09,338.5587463378906
2015-09-10,334.86248779296875
2015-09-11,331.8654479980469
2015-09-14,324.8724365234375
2015-09-15,328.6686706542969
2015-09-16,329.667724609375
2015-09-17,331.4658508300781
2015-09-18,331.6656494140625
2015-09-21,334.0632019042969
2015-09-22,322.5747985839844
2015-09-23,327.66973876953125
2015-09-24,331.8654479980469
2015-09-25,330.86651611328125
2015-09-28,328.16925048828125
2015-09-29,327.66973876953125
2015-09-30,338.7585144042969
2015-10-01,339.55767822265625
2015-10-02,334.2630920410156
2015-10-05,349.44775390625
2015-10-06,347.6495666503906
2015-10-07,336.66064453125
2015-10-08,340.55670166015625
2015-10-09,325.1722412109375
2015-10-12,320.17730712890625
2015-10-13,331.76556396484375
2015-10-14,346.35089111328125
2015-10-15,356.5405578613281
2015-10-16,360.4366455078125
2015-10-19,362.5346374511719
2015-10-20,373.6234130859375
2015-10-21,373.6234130859375
2015-10-22,375.1219177246094
2015-10-23,389.607177734375
2015-10-26,385.9109802246094
2015-10-27,380.6163330078125
2015-10-28,384.41241455078125
2015-10-29,387.80902099609375
2015-10-30,388.6082458496094
2015-11-02,387.409423828125
2015-11-03,381.815185546875
2015-11-04,379.5174255371094
2015-11-05,379.8171691894531
2015-11-06,387.20965576171875
2015-11-09,385.1117858886719
2015-11-10,380.7162170410156
2015-11-11,373.32366943359375
2015-11-12,366.6304016113281
2015-11-13,376.22076416015625
2015-11-16,380.1168518066406
2015-11-17,385.6112976074219
2015-11-18,389.50738525390625
2015-11-19,387.5093994140625
2015-11-20,386.8100891113281
2015-11-23,392.60430908203125
2015-11-24,391.2056579589844
2015-11-25,397.0997314453125
2015-11-26,397.4992980957031
2015-11-27,399.59722900390625
2015-11-30,405.890869140625
2015-12-01,415.5810546875
2015-12-02,418.0785827636719
2015-12-03,419.3771667480469
2015-12-04,420.8757629394531
2015-12-07,428.3681945800781
2015-12-08,423.572998046875
2015-12-09,416.97955322265625
2015-12-10,419.57708740234375
2015-12-11,421.5750427246094
2015-12-14,436.7596740722656
2015-12-15,446.5498962402344
2015-12-16,449.14727783203125
2015-12-17,435.5609130859375
2015-12-18,420.5760498046875
2015-12-21,423.572998046875
2015-12-22,420.6759338378906
2015-12-23,422.5740966796875
2015-12-24,425.27130126953125
2015-12-29,435.26123046875
2015-12-30,441.455078125
2015-12-31,443.5528869628906
2016-01-04,435.76080322265625
2016-01-05,438.25823974609375
2016-01-06,431.9645690917969
2016-01-07,426.0754699707031
2016-01-08,438.2633056640625
2016-01-11,441.55999755859375
2016-01-12,440.56097412109375
2016-01-13,434.467041015625
2016-01-14,414.4870300292969
2016-01-15,400.7007751464844
2016-01-18,405.5957946777344
2016-01-19,411.2901916503906
2016-01-20,389.6116943359375
2016-01-21,395.5058898925781
2016-01-22,398.6028137207031
2016-01-25,393.2082214355469
2016-01-26,382.6187438964844
2016-01-27,388.0133972167969
2016-01-28,384.017333984375
2016-01-29,391.11029052734375
2016-02-01,398.5028991699219
2016-02-02,405.4959716796875
2016-02-03,405.4959716796875
2016-02-04,400.3011169433594
2016-02-05,385.6157531738281
2016-02-08,348.1531066894531
2016-02-09,346.654541015625
2016-02-10,339.66156005859375
2016-02-11,330.8703308105469
2016-02-12,345.45574951171875
2016-02-15,355.24609375
2016-02-16,360.9403381347656
2016-02-17,371.1301574707031
2016-02-18,375.2261047363281
2016-02-19,385.9154357910156
2016-02-22,379.9214172363281
2016-02-23,386.71466064453125
2016-02-24,358.6426696777344
2016-02-25,371.0302734375
2016-02-26,371.6296691894531
2016-02-29,362.6385498046875
2016-03-01,365.33599853515625
2016-03-02,357.6436767578125
2016-03-03,351.24993896484375
2016-03-04,352.0491638183594
2016-03-07,358.6426696777344
2016-03-08,360.0412292480469
2016-03-09,368.432861328125
2016-03-10,375.72564697265625
2016-03-11,380.2211608886719
2016-03-14,379.6216735839844
2016-03-15,378.92236328125
2016-03-16,383.2181091308594
2016-03-17,375.6257019042969
2016-03-18,368.0332336425781
2016-03-21,369.43182373046875
2016-03-22,376.624755859375
2016-03-23,386.115234375
2016-03-24,389.51190185546875
2016-03-29,393.40802001953125
2016-03-30,392.0093078613281
2016-03-31,389.6116943359375
2016-04-01,397.6037902832031
2016-04-04,390.31109619140625
2016-04-05,390.9104919433594
2016-04-06,387.9134521484375
2016-04-07,385.6157531738281
2016-04-08,387.1142272949219
2016-04-11,383.41796875
2016-04-12,379.72161865234375
2016-04-13,382.3190002441406
2016-04-14,378.1232604980469
2016-04-15,379.5218200683594
2016-04-18,379.5218200683594
2016-04-19,383.11822509765625
2016-04-20,378.3230285644531
2016-04-21,365.83544921875
2016-04-22,357.343994140625
2016-04-25,369.0323181152344
2016-04-26,370.2311096191406
2016-04-27,373.2281188964844
2016-04-28,376.9244079589844
2016-04-29,374.626708984375
2016-05-03,381.0203552246094
2016-05-04,378.92236328125
2016-05-05,374.626708984375
2016-05-06,377.92340087890625
2016-05-09,378.0233154296875
2016-05-10,381.6197204589844
2016-05-11,381.1202087402344
2016-05-12,381.3200378417969
2016-05-13,384.017333984375
2016-05-16,380.6207275390625
2016-05-17,384.8165588378906
2016-05-18,383.8175048828125
2016-05-19,381.3200378417969
2016-05-20,383.41796875
