Date,F
2015-08-03,8.760100364685059
2015-08-04,8.742511749267578
2015-08-05,8.678014755249023
2015-08-06,8.69560432434082
2015-08-07,8.678014755249023
2015-08-10,8.789420127868652
2015-08-11,8.619375228881836
2015-08-12,8.607649803161621
2015-08-13,8.62524127960205
2015-08-14,8.666284561157227
2015-08-17,8.607649803161621
2015-08-18,8.69560432434082
2015-08-19,8.660423278808594
2015-08-20,8.461063385009766
2015-08-21,8.126842498779297
2015-08-24,7.733984470367432
2015-08-25,7.5639424324035645
2015-08-26,7.745711326599121
2015-08-27,7.950936794281006
2015-08-28,8.056479454040527
2015-08-31,8.132704734802246
2015-09-01,8.044753074645996
2015-09-02,8.132704734802246
2015-09-03,8.11511516571045
2015-09-04,7.950936794281006
2015-09-08,8.015433311462402
2015-09-09,7.933346271514893
2015-09-10,8.050616264343262
2015-09-11,8.038887977600098
2015-09-14,8.079931259155273
2015-09-15,8.390700340270996
2015-09-16,8.58419418334961
2015-09-17,8.560742378234863
2015-09-18,8.373111724853516
2015-09-21,8.396564483642578
2015-09-22,8.162020683288574
2015-09-23,8.0212984085083
2015-09-24,8.003708839416504
2015-09-25,7.933346271514893
2015-09-28,7.6929426193237305
2015-09-29,7.710532188415527
2015-09-30,7.956799030303955
2015-10-01,8.015433311462402
2015-10-02,8.2030668258667
2015-10-05,8.320337295532227
2015-10-06,8.390700340270996
2015-10-07,8.648695945739746
2015-10-08,8.789420127868652
2015-10-09,8.777692794799805
2015-10-12,8.783555030822754
2015-10-13,8.760100364685059
2015-10-14,8.80114459991455
2015-10-15,8.92428207397461
2015-10-16,8.959461212158203
2015-10-19,9.006369590759277
2015-10-20,9.018097877502441
2015-10-21,9.035687446594238
2015-10-22,9.135366439819336
2015-10-23,9.188138008117676
2015-10-26,9.19400405883789
2015-10-27,8.730783462524414
2015-10-28,8.867018699645996
2015-10-29,8.724860191345215
2015-10-30,8.772245407104492
2015-11-02,8.73670768737793
2015-11-03,8.772245407104492
2015-11-04,8.677473068237305
2015-11-05,8.63008975982666
2015-11-06,8.600472450256348
2015-11-09,8.487932205200195
2015-11-10,8.458318710327148
2015-11-11,8.47608757019043
2015-11-12,8.316161155700684
2015-11-13,8.24508285522461
2015-11-16,8.316161155700684
2015-11-17,8.381315231323242
2015-11-18,8.564933776855469
2015-11-19,8.63008975982666
2015-11-20,8.647859573364258
2015-11-23,8.618243217468262
2015-11-24,8.618243217468262
2015-11-25,8.618243217468262
2015-11-27,8.606396675109863
2015-11-30,8.487932205200195
2015-12-01,8.624167442321777
2015-12-02,8.446470260620117
2015-12-03,8.280621528625488
2015-12-04,8.410932540893555
2015-12-07,8.363547325134277
2015-12-08,8.274698257446289
2015-12-09,8.227312088012695
2015-12-10,8.268775939941406
2015-12-11,8.079233169555664
2015-12-14,8.067387580871582
2015-12-15,8.215463638305664
2015-12-16,8.50570297241211
2015-12-17,8.280621528625488
2015-12-18,8.174004554748535
2015-12-21,8.132542610168457
2015-12-22,8.410932540893555
2015-12-23,8.50570297241211
2015-12-24,8.47608757019043
2015-12-28,8.399086952209473
2015-12-29,8.42870044708252
2015-12-30,8.393162727355957
2015-12-31,8.345778465270996
2016-01-04,8.274698257446289
2016-01-05,8.126618385314941
2016-01-06,7.765304088592529
2016-01-07,7.522451877593994
2016-01-08,7.427682876586914
2016-01-11,7.56391716003418
2016-01-12,7.611302375793457
2016-01-13,7.226295471191406
2016-01-14,7.220369338989258
2016-01-15,7.090061187744141
2016-01-19,7.078213214874268
2016-01-20,7.048596382141113
2016-01-21,7.113753318786621
2016-01-22,7.190756797790527
2016-01-25,7.09598445892334
2016-01-26,7.261833667755127
2016-01-27,7.255710124969482
2016-01-28,7.169991493225098
2016-01-29,7.310815811157227
2016-02-01,7.390416145324707
2016-02-02,7.04752779006958
2016-02-03,7.016915321350098
2016-02-04,7.059774875640869
2016-02-05,7.010792255401611
2016-02-08,7.0965142250061035
2016-02-09,6.9495625495910645
2016-02-10,6.943441390991211
2016-02-11,6.839349746704102
2016-02-12,7.072021961212158
2016-02-16,7.2679572105407715
2016-02-17,7.512875080108643
2016-02-18,7.506751537322998
2016-02-19,7.408784866333008
2016-02-22,7.690441608428955
2016-02-23,7.6047186851501465
2016-02-24,7.396539211273193
2016-02-25,7.586349964141846
2016-02-26,7.635332107543945
2016-02-29,7.659825801849365
2016-03-01,8.01495361328125
2016-03-02,8.094558715820312
2016-03-03,8.290489196777344
2016-03-04,8.321106910705566
2016-03-07,8.33947467803955
2016-03-08,8.100680351257324
2016-03-09,8.076187133789062
2016-03-10,8.051694869995117
2016-03-11,8.137415885925293
2016-03-14,8.125170707702637
2016-03-15,8.100680351257324
2016-03-16,8.265999794006348
2016-03-17,8.247631072998047
2016-03-18,8.351719856262207
2016-03-21,8.363967895507812
2016-03-22,8.321106910705566
2016-03-23,8.119047164916992
2016-03-24,7.996588706970215
2016-03-28,8.01495361328125
2016-03-29,8.08230972290039
2016-03-30,8.174155235290527
2016-03-31,8.265999794006348
2016-04-01,8.021079063415527
2016-04-04,7.837390899658203
2016-04-05,7.819024085998535
2016-04-06,7.849637031555176
2016-04-07,7.66594934463501
2016-04-08,7.684316635131836
2016-04-11,7.7516679763793945
2016-04-12,7.843515396118164
2016-04-13,7.996588706970215
2016-04-14,8.01495361328125
2016-04-15,7.9231157302856445
2016-04-18,8.11292552947998
2016-04-19,8.22926139831543
2016-04-20,8.351719856262207
2016-04-21,8.357845306396484
2016-04-22,8.33335018157959
2016-04-25,8.314981460571289
2016-04-26,8.419075012207031
2016-04-27,8.456216812133789
2016-04-28,8.722408294677734
2016-04-29,8.39431095123291
2016-05-02,8.431455612182617
2016-05-03,8.313835144042969
2016-05-04,8.239547729492188
2016-05-05,8.245738983154297
2016-05-06,8.320023536682129
2016-05-09,8.245738983154297
2016-05-10,8.350976943969727
2016-05-11,8.245738983154297
2016-05-12,8.26430892944336
2016-05-13,8.183835983276367
2016-05-16,8.245738983154297
2016-05-17,8.13431167602539
2016-05-18,8.14669132232666
2016-05-19,8.103355407714844
2016-05-20,8.165262222290039
2016-05-23,8.128118515014648
2016-05-24,8.227165222167969
2016-05-25,8.369546890258789
2016-05-26,8.332406044006348
2016-05-27,8.326214790344238
2016-05-31,8.350976943969727
2016-06-01,8.115738868713379
2016-06-02,8.177641868591309
2016-06-03,8.072405815124512
2016-06-06,8.159073829650879
2016-06-07,8.282880783081055
2016-06-08,8.270503044128418
2016-06-09,8.208595275878906
2016-06-10,8.109548568725586
2016-06-13,8.035261154174805
2016-06-14,7.94859504699707
2016-06-15,8.053832054138184
2016-06-16,8.121931076049805
2016-06-17,8.208595275878906
2016-06-20,8.307644844055176
2016-06-21,8.183835983276367
2016-06-22,8.159073829650879
2016-06-23,8.29526138305664
2016-06-24,7.7505011558532715
2016-06-27,7.527642250061035
2016-06-28,7.670024871826172
