Date,DG
2015-08-03,70.33955383300781
2015-08-04,70.40995025634766
2015-08-05,70.99954223632812
2015-08-06,69.7323226928711
2015-08-07,68.9666976928711
2015-08-10,69.30990600585938
2015-08-11,69.26591491699219
2015-08-12,68.85230255126953
2015-08-13,69.6883316040039
2015-08-14,69.72350311279297
2015-08-17,69.87310791015625
2015-08-18,70.48030853271484
2015-08-19,70.82354736328125
2015-08-20,70.5947265625
2015-08-21,67.73469543457031
2015-08-24,65.71064758300781
2015-08-25,64.88346099853516
2015-08-26,67.5058822631836
2015-08-27,65.35865020751953
2015-08-28,65.86026000976562
2015-08-31,65.55223846435547
2015-09-01,63.20262145996094
2015-09-02,63.58102035522461
2015-09-03,63.501808166503906
2015-09-04,63.85382080078125
2015-09-08,64.28504180908203
2015-09-09,63.34343338012695
2015-09-10,61.51298522949219
2015-09-11,61.91780090332031
2015-09-14,60.99970626831055
2015-09-15,61.847164154052734
2015-09-16,62.68580627441406
2015-09-17,63.021270751953125
2015-09-18,61.9884147644043
2015-09-21,62.5445442199707
2015-09-22,62.8447265625
2015-09-23,63.33905792236328
2015-09-24,63.85990524291992
2015-09-25,63.38319396972656
2015-09-28,62.200294494628906
2015-09-29,62.085514068603516
2015-09-30,63.94818878173828
2015-10-01,63.065406799316406
2015-10-02,62.959449768066406
2015-10-05,62.80940628051758
2015-10-06,60.66425323486328
2015-10-07,59.54312515258789
2015-10-08,58.439666748046875
2015-10-09,59.34892272949219
2015-10-12,60.48771286010742
2015-10-13,60.00218963623047
2015-10-14,57.47745895385742
2015-10-15,58.607391357421875
2015-10-16,59.278297424316406
2015-10-19,59.21650695800781
2015-10-20,59.17237854003906
2015-10-21,59.631412506103516
2015-10-22,59.101768493652344
2015-10-23,58.04243087768555
2015-10-26,58.227813720703125
2015-10-27,57.68048858642578
2015-10-28,59.56962966918945
2015-10-29,59.40190887451172
2015-10-30,59.825626373291016
2015-11-02,60.68190383911133
2015-11-03,60.505367279052734
2015-11-04,59.83445739746094
2015-11-05,60.2317008972168
2015-11-06,59.8697509765625
2015-11-09,59.11940383911133
2015-11-10,58.298431396484375
2015-11-11,55.30581283569336
2015-11-12,55.92376708984375
2015-11-13,52.984130859375
2015-11-16,53.884559631347656
2015-11-17,55.4117431640625
2015-11-18,55.74720764160156
2015-11-19,55.27050018310547
2015-11-20,56.5505256652832
2015-11-23,56.77122497558594
2015-11-24,57.91000747680664
2015-11-25,57.53041458129883
2015-11-27,57.389156341552734
2015-11-30,57.742271423339844
2015-12-01,58.015926361083984
2015-12-02,57.68930435180664
2015-12-03,60.134605407714844
2015-12-04,61.017364501953125
2015-12-07,61.44111251831055
