Date,EFX
2015-08-03,92.70411682128906
2015-08-04,93.26758575439453
2015-08-05,94.0855712890625
2015-08-06,92.98585510253906
2015-08-07,93.69475555419922
2015-08-10,95.10347747802734
2015-08-11,94.09465026855469
2015-08-12,93.31302642822266
2015-08-13,94.39460754394531
2015-08-14,94.95806884765625
2015-08-17,95.85786437988281
2015-08-18,95.62155151367188
2015-08-19,95.4483871459961
2015-08-20,92.79631805419922
2015-08-21,90.55429077148438
2015-08-24,85.51439666748047
2015-08-25,84.48453521728516
2015-08-26,87.82926940917969
2015-08-27,90.08951568603516
2015-08-28,89.72494506835938
2015-08-31,89.22367095947266
2015-09-01,86.79943084716797
2015-09-02,88.93205261230469
2015-09-03,89.59736633300781
2015-09-04,88.41259002685547
2015-09-08,90.62721252441406
2015-09-09,89.77053833007812
2015-09-10,89.1872329711914
2015-09-11,89.31484985351562
2015-09-14,89.1598892211914
2015-09-15,90.61810302734375
2015-09-16,90.42669677734375
2015-09-17,89.6429443359375
2015-09-18,88.43994140625
2015-09-21,89.42420196533203
2015-09-22,89.06879425048828
2015-09-23,89.45154571533203
2015-09-24,88.75889587402344
2015-09-25,88.81356811523438
2015-09-28,86.88143920898438
2015-09-29,87.30982208251953
2015-09-30,88.56748962402344
2015-10-01,89.66117095947266
2015-10-02,90.51782989501953
2015-10-05,92.00340270996094
2015-10-06,91.99427032470703
2015-10-07,93.62567138671875
2015-10-08,95.42105865478516
2015-10-09,96.13195037841797
2015-10-12,96.40534210205078
2015-10-13,94.85601043701172
2015-10-14,94.94715118408203
2015-10-15,96.45089721679688
2015-10-16,96.93395233154297
2015-10-19,97.38963317871094
2015-10-20,98.12781524658203
2015-10-21,96.51471710205078
2015-10-22,94.1360092163086
2015-10-23,96.6331787109375
2015-10-26,97.20734405517578
2015-10-27,97.44429016113281
2015-10-28,97.38052368164062
2015-10-29,97.20734405517578
2015-10-30,97.1253433227539
2015-11-02,98.12781524658203
2015-11-03,97.26202392578125
2015-11-04,96.92484283447266
2015-11-05,96.6878433227539
2015-11-06,96.66053009033203
2015-11-09,95.61243438720703
2015-11-10,96.0954818725586
2015-11-11,97.26202392578125
2015-11-12,96.56028747558594
2015-11-13,95.39370727539062
2015-11-16,97.47164154052734
2015-11-17,98.00025939941406
2015-11-18,100.76168823242188
2015-11-19,100.40532684326172
2015-11-20,100.71601104736328
2015-11-23,101.46532440185547
2015-11-24,100.56069946289062
2015-11-25,101.41049194335938
2015-11-27,102.63495635986328
2015-11-30,101.88568878173828
2015-12-01,102.81770324707031
2015-12-02,102.30599212646484
2015-12-03,99.92105865478516
2015-12-04,102.13236236572266
2015-12-07,101.82168579101562
2015-12-08,102.30599212646484
2015-12-09,100.43277740478516
2015-12-10,101.40135955810547
2015-12-11,98.4864501953125
2015-12-14,99.05297088623047
2015-12-15,99.82052612304688
2015-12-16,103.21063232421875
2015-12-17,103.43907928466797
2015-12-18,100.17691040039062
2015-12-21,101.41964721679688
2015-12-22,102.01358032226562
2015-12-23,103.15579223632812
2015-12-24,103.02788543701172
2015-12-28,103.32027435302734
2015-12-29,103.813720703125
2015-12-30,103.04615783691406
2015-12-31,101.7668685913086
2016-01-04,100.01240539550781
2016-01-05,100.61551666259766
2016-01-06,99.81139373779297
