Date,KPITTECH.NS
2019-04-22,99.14080047607422
2019-04-23,104.05252838134766
2019-04-24,109.25039672851562
2019-04-25,106.00770568847656
2019-04-26,103.62335968017578
2019-04-30,98.47318267822266
2019-05-02,95.56428527832031
2019-05-03,95.99346923828125
2019-05-06,93.752197265625
2019-05-07,92.46465301513672
2019-05-08,91.55860900878906
2019-05-09,92.56002807617188
2019-05-10,95.0874252319336
2019-05-13,93.17996215820312
2019-05-14,93.37071228027344
2019-05-15,93.3230209350586
2019-05-16,92.79845428466797
2019-05-17,93.13227081298828
2019-05-20,94.1336898803711
2019-05-21,93.99063110351562
2019-05-22,96.4703369140625
2019-05-23,95.32585906982422
2019-05-24,93.0845718383789
2019-05-27,94.75361633300781
2019-05-28,92.46465301513672
2019-05-29,91.51091003417969
2019-05-30,92.70308685302734
2019-05-31,92.56002807617188
2019-06-03,91.79702758789062
2019-06-04,90.65255737304688
2019-06-06,91.0340347290039
2019-06-07,90.6048583984375
2019-06-10,89.88955688476562
2019-06-11,93.752197265625
2019-06-12,93.51375579833984
2019-06-13,94.56287384033203
2019-06-14,92.3692855834961
2019-06-17,92.56002807617188
2019-06-18,93.37071228027344
2019-06-19,89.60343933105469
2019-06-20,93.65682220458984
2019-06-21,91.98777770996094
2019-06-24,94.03831481933594
2019-06-25,94.61054992675781
2019-06-26,92.13085174560547
2019-06-27,91.32018280029297
2019-06-28,92.2739028930664
2019-07-01,93.41837310791016
2019-07-02,94.22906494140625
2019-07-03,93.51375579833984
2019-07-04,94.22906494140625
2019-07-05,93.65682220458984
2019-07-08,92.56002807617188
2019-07-09,91.94010925292969
2019-07-10,88.41126251220703
2019-07-11,84.11946105957031
2019-07-12,84.8824462890625
2019-07-15,84.78709411621094
2019-07-16,84.93013000488281
2019-07-17,83.97640991210938
2019-07-18,82.21199798583984
2019-07-19,79.77997589111328
2019-07-22,77.10951232910156
2019-07-23,81.06749725341797
2019-07-24,81.11520385742188
2019-07-25,77.77713775634766
2019-07-26,76.53727722167969
2019-07-29,78.49242401123047
2019-07-30,79.39846801757812
2019-07-31,75.77428436279297
2019-08-01,76.01270294189453
2019-08-02,76.91876983642578
2019-08-05,78.7308578491211
2019-08-06,79.20772552490234
2019-08-07,79.35077667236328
2019-08-08,78.87391662597656
2019-08-09,79.25543212890625
2019-08-13,79.49385833740234
2019-08-14,80.39990234375
2019-08-16,81.30594635009766
2019-08-19,84.5009536743164
2019-08-20,85.70330047607422
2019-08-21,87.33850860595703
2019-08-22,88.34848022460938
2019-08-23,87.53087615966797
2019-08-26,87.62706756591797
2019-08-27,91.42648315429688
2019-08-28,90.2241439819336
2019-08-29,92.43645477294922
2019-08-30,93.44641876220703
2019-09-03,94.3121109008789
2019-09-04,93.10977172851562
2019-09-05,96.957275390625
2019-09-06,98.35198211669922
2019-09-09,98.49628448486328
2019-09-11,95.46636962890625
2019-09-12,93.7349853515625
2019-09-13,93.97545623779297
2019-09-16,94.88925170898438
2019-09-17,92.43645477294922
2019-09-18,91.61885833740234
2019-09-19,91.33028411865234
2019-09-20,88.20419311523438
2019-09-23,91.52265167236328
2019-09-24,91.1860122680664
2019-09-25,91.04173278808594
2019-09-26,91.71503448486328
2019-09-27,92.00360870361328
2019-09-30,91.66695404052734
2019-10-01,91.23410034179688
2019-10-03,92.91738891601562
2019-10-04,90.2241439819336
2019-10-07,91.71503448486328
2019-10-09,91.52265167236328
2019-10-10,93.44641876220703
2019-10-11,97.58250427246094
2019-10-14,95.12971496582031
2019-10-15,94.11973571777344
2019-10-16,93.3021469116211
2019-10-17,93.3983154296875
2019-10-18,93.3983154296875
2019-10-22,94.93732452392578
2019-10-23,93.78307342529297
2019-10-24,96.04349517822266
2019-10-25,92.77310180664062
2019-10-27,92.34026336669922
2019-10-29,91.1860122680664
2019-10-30,89.5988998413086
2019-10-31,87.62706756591797
2019-11-01,88.05992126464844
2019-11-04,88.34848022460938
2019-11-05,88.58894348144531
2019-11-06,86.37662506103516
2019-11-07,86.56898498535156
2019-11-08,86.56898498535156
2019-11-11,87.00183868408203
2019-11-13,87.7713394165039
2019-11-14,89.40653991699219
2019-11-15,90.70507049560547
2019-11-18,93.0135726928711
2019-11-19,93.97545623779297
2019-11-20,94.0716552734375
2019-11-21,94.93732452392578
2019-11-22,94.93732452392578
2019-11-25,92.24407196044922
2019-11-26,92.34026336669922
2019-11-27,90.464599609375
2019-11-28,91.33028411865234
2019-11-29,94.1678466796875
2019-12-02,93.2059555053711
2019-12-03,88.01180267333984
2019-12-04,88.92559814453125
2019-12-05,85.79949188232422
2019-12-06,85.60711669921875
2019-12-09,83.875732421875
2019-12-10,83.971923828125
2019-12-11,83.875732421875
2019-12-12,83.3947982788086
2019-12-13,84.64524841308594
2019-12-16,88.44467163085938
2019-12-17,88.58894348144531
2019-12-18,88.2522964477539
2019-12-19,84.74142456054688
2019-12-20,83.29861450195312
2019-12-23,87.00183868408203
2019-12-24,86.61709594726562
2019-12-26,85.46282196044922
2019-12-27,90.17603302001953
2019-12-30,90.41651153564453
2019-12-31,90.1279525756836
2020-01-01,87.96371459960938
2020-01-02,85.94377899169922
2020-01-03,87.7713394165039
2020-01-06,84.21239471435547
2020-01-07,83.29861450195312
2020-01-08,82.76958465576172
2020-01-09,83.971923828125
2020-01-10,84.02001953125
2020-01-13,89.55081176757812
2020-01-14,94.21591186523438
2020-01-15,98.44818878173828
2020-01-16,99.6024398803711
2020-01-17,100.4200439453125
2020-01-20,98.44818878173828
2020-01-21,94.60066986083984
2020-01-22,94.26402282714844
