Date,HD
2015-08-03,92.35796356201172
2015-08-04,92.86363983154297
2015-08-05,93.23501586914062
2015-08-06,92.09721374511719
2015-08-07,92.38959503173828
2015-08-10,92.91896057128906
2015-08-11,92.9900894165039
2015-08-12,92.9900894165039
2015-08-13,94.04095458984375
2015-08-14,94.61775207519531
2015-08-17,94.57823181152344
2015-08-18,97.02764129638672
2015-08-19,96.99602508544922
2015-08-20,95.24195098876953
2015-08-21,91.78117370605469
2015-08-24,88.92092895507812
2015-08-25,87.68038940429688
2015-08-26,91.59944152832031
2015-08-27,92.96638488769531
2015-08-28,92.85575866699219
2015-08-31,92.01818084716797
2015-09-01,89.79461669921875
2015-09-02,92.50263977050781
2015-09-03,92.59790802001953
2015-09-04,90.86672973632812
2015-09-08,92.46295166015625
2015-09-09,90.50935363769531
2015-09-10,90.92230224609375
2015-09-11,91.67676544189453
2015-09-14,91.11286926269531
2015-09-15,92.26437377929688
2015-09-16,93.56681060791016
2015-09-17,93.6382827758789
2015-09-18,91.4225845336914
2015-09-21,92.58206176757812
2015-09-22,91.9626235961914
2015-09-23,92.25646209716797
2015-09-24,92.39144134521484
2015-09-25,92.70913696289062
2015-09-28,90.6125717163086
2015-09-29,89.66752624511719
2015-09-30,91.71644592285156
2015-10-01,92.9394302368164
2015-10-02,93.5588607788086
2015-10-05,94.66275787353516
2015-10-06,94.24978637695312
2015-10-07,95.0201187133789
2015-10-08,96.13985443115234
2015-10-09,96.35426330566406
2015-10-12,96.80695343017578
2015-10-13,96.5766372680664
2015-10-14,95.51245880126953
2015-10-15,96.7354507446289
2015-10-16,97.4740219116211
2015-10-19,97.75993347167969
2015-10-20,97.56139373779297
2015-10-21,97.91876983642578
2015-10-22,98.76055908203125
2015-10-23,98.95909118652344
2015-10-26,99.27674102783203
2015-10-27,98.847900390625
2015-10-28,98.33169555664062
2015-10-29,98.18083190917969
2015-10-30,98.18875885009766
2015-11-02,98.80027770996094
2015-11-03,99.79296112060547
2015-11-04,99.57060241699219
2015-11-05,99.8405990600586
2015-11-06,100.04707336425781
2015-11-09,98.87171936035156
2015-11-10,99.47530364990234
2015-11-11,99.03850555419922
2015-11-12,98.3237533569336
2015-11-13,95.2980728149414
2015-11-16,95.96512603759766
2015-11-17,100.20591735839844
2015-11-18,100.49178314208984
2015-11-19,100.7459487915039
2015-11-20,103.40632629394531
