Date,BEML.NS
2015-08-21,1022.530517578125
2015-08-24,941.3724975585938
2015-08-25,979.7481689453125
2015-08-26,988.0938720703125
2015-08-27,1007.1258544921875
2015-08-28,985.7152099609375
2015-08-31,1011.5718994140625
2015-09-01,962.0032958984375
2015-09-02,949.9524536132812
2015-09-03,963.6802368164062
2015-09-04,947.4954223632812
2015-09-07,926.7955932617188
2015-09-08,929.4110717773438
2015-09-09,954.2000732421875
2015-09-10,937.4138793945312
2015-09-11,928.8255615234375
2015-09-14,922.4232177734375
2015-09-15,905.676025390625
2015-09-16,895.5653076171875
2015-09-18,914.5377197265625
2015-09-21,955.6055297851562
2015-09-22,964.8572998046875
2015-09-23,973.4456176757812
2015-09-24,985.1961059570312
2015-09-28,970.791259765625
2015-09-29,946.0411376953125
2015-09-30,970.1663818359375
2015-10-01,971.103271484375
2015-10-05,976.0221557617188
2015-10-06,999.9522094726562
2015-10-07,990.1148681640625
2015-10-08,984.0638427734375
2015-10-09,972.6648559570312
2015-10-12,953.18505859375
2015-10-13,951.6236572265625
2015-10-14,967.4727783203125
2015-10-15,956.6595458984375
2015-10-16,954.5123291015625
2015-10-19,952.6385498046875
2015-10-20,969.190673828125
2015-10-21,973.4456176757812
2015-10-23,966.3018188476562
2015-10-26,947.7587890625
2015-10-27,937.9603271484375
2015-10-28,942.2935180664062
2015-10-29,917.348388671875
2015-10-30,910.0092163085938
2015-11-02,881.7849731445312
2015-11-03,865.9356079101562
2015-11-04,858.9088745117188
2015-11-05,857.3082275390625
2015-11-06,865.5843505859375
2015-11-09,880.340576171875
2015-11-10,867.1458740234375
2015-11-13,853.599609375
2015-11-16,860.1581420898438
2015-11-17,851.1014404296875
2015-11-18,817.9970703125
2015-11-19,813.390869140625
2015-11-20,834.5103149414062
2015-11-23,823.033203125
2015-11-24,825.10205078125
2015-11-26,833.8858032226562
2015-11-27,878.739990234375
2015-11-30,880.6918334960938
2015-12-01,880.4576416015625
2015-12-02,858.5185546875
2015-12-03,841.3809204101562
2015-12-04,864.9205322265625
2015-12-07,859.0260009765625
2015-12-08,841.3418579101562
2015-12-09,821.1203002929688
2015-12-10,832.5974731445312
2015-12-11,835.0567626953125
2015-12-14,840.4049682617188
2015-12-15,851.5697021484375
2015-12-16,876.8662719726562
2015-12-17,950.1011352539062
2015-12-18,986.0939331054688
2015-12-21,975.8269653320312
2015-12-22,986.2110595703125
2015-12-23,985.39111328125
2015-12-24,1003.97314453125
2015-12-28,1005.3395385742188
2015-12-29,1011.3514404296875
2015-12-30,999.9915161132812
2015-12-31,1000.2255249023438
2016-01-01,1015.5282592773438
2016-01-04,996.24365234375
2016-01-05,993.042724609375
2016-01-06,980.94091796875
2016-01-07,944.245361328125
2016-01-08,948.42236328125
2016-01-11,956.0348510742188
2016-01-12,959.1968383789062
2016-01-13,948.9689331054688
2016-01-14,937.3358154296875
2016-01-15,907.8622436523438
2016-01-18,872.2208251953125
2016-01-19,869.83935546875
2016-01-20,856.0980834960938
2016-01-21,837.7894287109375
2016-01-22,857.9719848632812
2016-01-25,860.197021484375
2016-01-27,846.612060546875
2016-01-28,830.2159423828125
2016-01-29,819.3245849609375
2016-02-01,818.2314453125
2016-02-02,813.2738647460938
2016-02-03,783.2535400390625
2016-02-04,777.710205078125
2016-02-05,803.3580932617188
2016-02-08,809.7992553710938
2016-02-09,789.3435668945312
2016-02-10,781.4579467773438
2016-02-11,756.6690063476562
2016-02-12,732.309326171875
2016-02-15,767.5996704101562
2016-02-16,748.9393920898438
2016-02-17,745.27001953125
2016-02-18,734.4174194335938
2016-02-19,758.542724609375
2016-02-22,812.4150390625
2016-02-23,792.1151123046875
2016-02-24,794.3403930664062
