Date,COMMOIETF.NS
2023-12-12,73.12000274658203
2023-12-13,73.27999877929688
2023-12-14,73.97000122070312
2023-12-15,75.12999725341797
2023-12-18,75.7699966430664
2023-12-19,75.72000122070312
2023-12-20,73.41000366210938
2023-12-21,74.47000122070312
2023-12-22,74.86000061035156
2023-12-26,75.76000213623047
2023-12-27,76.44999694824219
2023-12-28,77.62000274658203
2023-12-29,77.31999969482422
2024-01-01,77.36000061035156
2024-01-02,77.41000366210938
2024-01-03,77.05999755859375
2024-01-04,77.37999725341797
2024-01-05,77.29000091552734
2024-01-08,76.70999908447266
2024-01-09,76.69000244140625
2024-01-10,76.69999694824219
2024-01-11,77.51000213623047
2024-01-12,77.7699966430664
2024-01-15,78.20999908447266
2024-01-16,78.3499984741211
2024-01-17,76.9800033569336
2024-01-19,77.45999908447266
2024-01-23,75.4000015258789
2024-01-24,77.05999755859375
2024-01-25,77.1500015258789
2024-01-29,79.73999786376953
2024-01-30,79.22000122070312
2024-01-31,79.7699966430664
2024-02-01,79.62000274658203
2024-02-02,81.33999633789062
2024-02-05,81.61000061035156
2024-02-06,82.4000015258789
2024-02-07,83.30000305175781
2024-02-08,83.31999969482422
2024-02-09,82.87999725341797
2024-02-12,81.0
2024-02-13,80.77999877929688
2024-02-14,81.94999694824219
2024-02-15,83.02999877929688
2024-02-16,83.26000213623047
2024-02-19,83.68000030517578
2024-02-20,83.55999755859375
2024-02-21,82.7699966430664
2024-02-22,83.41999816894531
2024-02-23,83.38999938964844
2024-02-26,83.05999755859375
2024-02-27,82.9800033569336
2024-02-28,81.4800033569336
2024-02-29,81.83999633789062
2024-03-01,83.80999755859375
2024-03-04,84.76000213623047
2024-03-05,84.97000122070312
2024-03-06,84.68000030517578
2024-03-07,85.11000061035156
2024-03-11,84.63999938964844
2024-03-12,83.66000366210938
2024-03-13,80.2699966430664
2024-03-14,80.94000244140625
2024-03-15,80.38999938964844
2024-03-18,81.1500015258789
2024-03-19,80.31999969482422
2024-03-20,80.06999969482422
2024-03-21,81.75
2024-03-22,82.27999877929688
2024-03-26,82.80000305175781
2024-03-27,82.86000061035156
2024-03-28,83.79000091552734
2024-04-01,85.2300033569336
2024-04-02,86.25
2024-04-03,86.47000122070312
2024-04-04,86.33999633789062
2024-04-05,86.19000244140625
2024-04-08,86.66000366210938
2024-04-09,86.68000030517578
2024-04-10,87.80000305175781
2024-04-12,87.02999877929688
2024-04-15,86.33999633789062
2024-04-16,86.27999877929688
2024-04-18,86.08000183105469
2024-04-19,85.80999755859375
2024-04-22,86.30000305175781
2024-04-23,86.23999786376953
2024-04-24,87.16000366210938
2024-04-25,87.83999633789062
2024-04-26,88.01000213623047
2024-04-29,88.5199966430664
2024-04-30,88.52999877929688
2024-05-02,89.30000305175781
2024-05-03,89.0199966430664
2024-05-06,87.9800033569336
2024-05-07,86.04000091552734
2024-05-08,86.70999908447266
2024-05-09,84.77999877929688
2024-05-10,85.91000366210938
2024-05-13,85.66000366210938
2024-05-14,87.31999969482422
2024-05-15,87.8499984741211
2024-05-16,87.9800033569336
2024-05-17,88.69000244140625
2024-05-21,91.11000061035156
2024-05-22,91.38999938964844
2024-05-23,91.8499984741211
2024-05-24,91.68000030517578
2024-05-27,91.9000015258789
2024-05-28,91.05999755859375
2024-05-29,90.23999786376953
2024-05-30,88.62000274658203
2024-05-31,89.30000305175781
2024-06-03,93.44999694824219
2024-06-04,89.30999755859375
2024-06-05,86.87999725341797
2024-06-06,88.44000244140625
2024-06-07,90.4000015258789
2024-06-10,91.06999969482422
2024-06-11,91.5
2024-06-12,92.06999969482422
2024-06-13,92.12999725341797
2024-06-14,92.58000183105469
2024-06-18,92.51000213623047
2024-06-19,91.30999755859375
2024-06-20,92.12999725341797
2024-06-21,91.72000122070312
2024-06-24,91.5999984741211
2024-06-25,91.08000183105469
2024-06-26,91.31999969482422
2024-06-27,92.26000213623047
2024-06-28,92.91999816894531
2024-07-01,93.19000244140625
2024-07-02,93.44000244140625
2024-07-03,93.58999633789062
2024-07-04,93.62000274658203
2024-07-05,94.0999984741211
2024-07-08,94.05999755859375
2024-07-09,94.25
2024-07-10,93.77999877929688
2024-07-11,94.1500015258789
2024-07-12,94.1500015258789
2024-07-15,94.7300033569336
2024-07-16,94.94000244140625
2024-07-18,94.61000061035156
2024-07-19,92.54000091552734
2024-07-22,92.69999694824219
2024-07-23,92.31999969482422
2024-07-24,92.94999694824219
2024-07-25,93.0999984741211
2024-07-26,94.75
2024-07-29,95.48999786376953
2024-07-30,96.0
2024-07-31,96.80000305175781
2024-08-01,97.43000030517578
2024-08-02,95.66000366210938
2024-08-05,92.8499984741211
2024-08-06,91.79000091552734
2024-08-07,94.05000305175781
2024-08-08,95.11000061035156
2024-08-09,93.37000274658203
2024-08-12,93.19999694824219
2024-08-13,92.08999633789062
2024-08-14,91.41000366210938
2024-08-16,92.94000244140625
2024-08-19,93.86000061035156
2024-08-20,94.38999938964844
2024-08-21,94.80999755859375
2024-08-22,95.7300033569336
2024-08-23,94.9800033569336
2024-08-26,95.87999725341797
2024-08-28,95.22000122070312
2024-08-29,95.13999938964844
2024-08-30,95.52999877929688
2024-09-02,95.72000122070312
2024-09-03,95.4000015258789
2024-09-04,94.91000366210938
2024-09-05,94.80999755859375
2024-09-06,93.87000274658203
2024-09-09,93.01000213623047
2024-09-10,93.44999694824219
2024-09-11,92.41000366210938
2024-09-12,94.13999938964844
2024-09-13,94.37000274658203
2024-09-16,94.95999908447266
2024-09-17,95.01000213623047
2024-09-18,94.19999694824219
