Date,M&MFIN.NS
2015-08-21,143.71746826171875
2015-08-24,136.1832275390625
2015-08-25,138.7486572265625
2015-08-26,137.18238830566406
2015-08-27,147.12001037597656
2015-08-28,145.39173889160156
2015-08-31,136.45330810546875
2015-09-01,137.4524383544922
2015-09-02,134.91404724121094
2015-09-03,137.69546508789062
2015-09-04,131.2684326171875
2015-09-07,127.4608383178711
2015-09-08,132.75367736816406
2015-09-09,133.56378173828125
2015-09-10,130.48532104492188
2015-09-11,129.0270538330078
2015-09-14,129.29710388183594
2015-09-15,127.4608383178711
2015-09-16,127.40679168701172
2015-09-18,127.89285278320312
2015-09-21,128.45997619628906
2015-09-22,125.35447692871094
2015-09-23,125.81352996826172
2015-09-24,122.81607055664062
2015-09-28,124.0582504272461
2015-09-29,125.03044128417969
2015-09-30,129.27012634277344
2015-10-01,126.029541015625
2015-10-05,128.4869842529297
2015-10-06,128.324951171875
2015-10-07,128.83802795410156
2015-10-08,127.05573272705078
2015-10-09,124.92239379882812
2015-10-12,125.67851257324219
2015-10-13,125.8945541381836
2015-10-14,126.54267883300781
2015-10-15,125.32746887207031
2015-10-16,124.76036071777344
2015-10-19,126.9477310180664
2015-10-20,130.78236389160156
2015-10-21,129.64816284179688
2015-10-23,128.0279083251953
2015-10-26,125.43548583984375
2015-10-27,124.03124237060547
2015-10-28,121.43883514404297
2015-10-29,124.57134246826172
2015-10-30,122.65404510498047
2015-11-02,120.4666748046875
2015-11-03,121.06076049804688
2015-11-04,121.73587036132812
2015-11-05,122.62702941894531
2015-11-06,122.51898956298828
2015-11-09,121.65487670898438
2015-11-10,121.54684448242188
2015-11-13,124.03124237060547
2015-11-16,125.40847778320312
2015-11-17,126.3536605834961
2015-11-18,124.97642517089844
2015-11-19,125.94857025146484
2015-11-20,132.2135772705078
2015-11-23,131.2684326171875
2015-11-24,128.59500122070312
2015-11-26,131.9435577392578
2015-11-27,128.62200927734375
2015-11-30,126.5966567993164
2015-12-01,126.46166229248047
2015-12-02,128.13592529296875
2015-12-03,132.51065063476562
2015-12-04,130.3232879638672
2015-12-07,132.888671875
2015-12-08,128.94607543945312
2015-12-09,129.67520141601562
2015-12-10,129.13507080078125
2015-12-11,129.10809326171875
2015-12-14,131.16043090820312
2015-12-15,131.37643432617188
2015-12-16,128.6490020751953
2015-12-17,134.34695434570312
2015-12-18,131.53846740722656
2015-12-21,131.0524139404297
2015-12-22,129.43214416503906
2015-12-23,129.3781280517578
2015-12-24,130.29629516601562
2015-12-28,131.1874237060547
2015-12-29,131.2684326171875
2015-12-30,130.188232421875
2015-12-31,130.78236389160156
2016-01-01,132.86170959472656
2016-01-04,131.10641479492188
2016-01-05,130.8633575439453
2016-01-06,127.89285278320312
2016-01-07,125.05741882324219
2016-01-08,127.48782348632812
2016-01-11,127.19078063964844
2016-01-12,124.49034881591797
2016-01-13,125.05741882324219
2016-01-14,124.51734161376953
