Date,SONDA.SN
2015-08-24,746.1742553710938
2015-08-25,762.15625
2015-08-26,763.4580078125
2015-08-27,799.4722290039062
2015-08-28,802.3648681640625
2015-08-31,818.5640869140625
2015-09-01,800.629150390625
2015-09-02,825.578857421875
2015-09-03,841.5610961914062
2015-09-04,813.3572387695312
2015-09-07,827.5316162109375
2015-09-08,802.7988891601562
2015-09-09,793.6143798828125
2015-09-10,770.4730224609375
2015-09-11,771.1236572265625
2015-09-14,779.9464111328125
2015-09-15,779.3677978515625
2015-09-16,777.1984252929688
2015-09-17,766.4231567382812
2015-09-21,765.1213989257812
2015-09-22,749.21142578125
2015-09-23,749.7900390625
2015-09-24,750.2239379882812
2015-09-25,752.8995971679688
2015-09-28,748.4882202148438
2015-09-29,745.3785400390625
2015-09-30,753.4058837890625
2015-10-01,758.4682006835938
2015-10-02,754.7798461914062
2015-10-05,764.2535400390625
2015-10-06,780.0187377929688
2015-10-07,798.8213500976562
2015-10-08,812.706298828125
2015-10-09,822.1799926757812
2015-10-13,812.4893798828125
2015-10-14,785.0086669921875
2015-10-15,793.9760131835938
2015-10-16,781.1036376953125
2015-10-19,780.23583984375
2015-10-20,781.5374755859375
2015-10-21,789.4200439453125
2015-10-22,796.7965087890625
2015-10-23,803.3049926757812
2015-10-26,824.2049560546875
2015-10-27,811.8385009765625
2015-10-28,818.9981079101562
2015-10-29,803.3773803710938
2015-10-30,803.666748046875
2015-11-02,809.2350463867188
2015-11-03,846.0447998046875
2015-11-04,852.9873046875
2015-11-05,849.7329711914062
2015-11-06,832.7384033203125
2015-11-09,821.1675415039062
2015-11-10,824.132568359375
2015-11-11,832.3768310546875
2015-11-12,841.1270751953125
2015-11-13,833.7507934570312
2015-11-16,837.0775146484375
2015-11-17,839.4639892578125
2015-11-18,844.0199584960938
2015-11-19,848.7930297851562
2015-11-20,849.3714599609375
2015-11-23,860.8700561523438
2015-11-24,849.877685546875
2015-11-25,856.2415771484375
2015-11-26,853.059814453125
2015-11-27,850.384033203125
2015-11-30,865.2814331054688
2015-12-01,851.4686889648438
2015-12-02,849.7329711914062
2015-12-03,856.024658203125
2015-12-04,840.6932983398438
2015-12-07,841.8504028320312
2015-12-09,847.7081298828125
2015-12-10,834.329345703125
2015-12-11,840.5487060546875
2015-12-14,854.3612670898438
2015-12-15,862.6779174804688
2015-12-16,868.3187255859375
2015-12-17,913.3727416992188
2015-12-18,896.1610717773438
2015-12-21,881.842041015625
2015-12-22,888.0615234375
2015-12-23,897.0289306640625
2015-12-24,896.0886840820312
2015-12-28,897.751953125
2015-12-29,892.979248046875
2015-12-30,908.0933227539062
2015-12-31,908.0933227539062
2016-01-04,885.7471923828125
2016-01-05,892.2557983398438
2016-01-06,887.7720336914062
2016-01-07,890.1587524414062
2016-01-08,863.473388671875
2016-01-11,852.4813232421875
2016-01-12,841.0548706054688
