Date,HOME.L
2020-10-12,99.90396118164062
2020-10-13,99.70415496826172
2020-10-14,99.52928924560547
2020-10-15,99.59424591064453
2020-10-16,99.60423278808594
2020-10-19,99.90396118164062
2020-10-20,99.95389556884766
2020-10-21,99.70415496826172
2020-10-22,99.50434112548828
2020-10-23,99.75408935546875
2020-10-26,99.60423278808594
2020-10-27,99.4543685913086
2020-10-28,99.50434112548828
2020-10-29,99.25455474853516
2020-10-30,99.25455474853516
2020-11-02,99.3045425415039
2020-11-03,99.50434112548828
2020-11-04,99.75408935546875
2020-11-05,100.50337982177734
2020-11-06,101.10279083251953
2020-11-09,102.5014419555664
2020-11-10,102.90106964111328
2020-11-11,102.30164337158203
2020-11-12,101.90201568603516
2020-11-13,102.1018295288086
2020-11-16,103.10086822509766
2020-11-17,102.90106964111328
2020-11-18,103.10086822509766
2020-11-19,102.5014419555664
2020-11-20,103.10086822509766
2020-11-23,103.90010833740234
2020-11-24,103.90010833740234
2020-11-25,104.89913940429688
2020-11-26,104.39962768554688
2020-11-27,105.3986587524414
2020-11-30,106.39769744873047
2020-12-01,106.89722442626953
2020-12-02,106.59751892089844
2020-12-03,107.8962631225586
2020-12-04,107.8962631225586
2020-12-07,108.39579010009766
2020-12-08,108.89530944824219
2020-12-09,108.89530944824219
2020-12-10,109.39482116699219
2020-12-11,109.89434051513672
2020-12-14,108.39579010009766
2020-12-15,107.8962631225586
2020-12-16,108.39579010009766
2020-12-17,107.8962631225586
2020-12-18,107.39674377441406
2020-12-21,106.39769744873047
2020-12-22,106.39769744873047
2020-12-23,106.39769744873047
2020-12-24,105.89818572998047
2020-12-29,107.8962631225586
2020-12-30,108.39579010009766
2020-12-31,107.8962631225586
2021-01-04,108.39579010009766
2021-01-05,106.89722442626953
2021-01-06,108.39579010009766
2021-01-07,108.39579010009766
2021-01-08,108.39579010009766
2021-01-11,107.8962631225586
2021-01-12,106.39769744873047
2021-01-13,105.89818572998047
2021-01-14,107.8962631225586
2021-01-15,107.8962631225586
2021-01-18,107.8962631225586
2021-01-19,106.39769744873047
2021-01-20,105.89818572998047
2021-01-21,105.89818572998047
2021-01-22,106.89722442626953
2021-01-25,107.39674377441406
2021-01-26,106.89722442626953
2021-01-27,106.89722442626953
2021-01-28,105.89818572998047
2021-01-29,106.89722442626953
2021-02-01,107.39674377441406
2021-02-02,107.8962631225586
2021-02-03,108.39579010009766
2021-02-04,108.39579010009766
2021-02-05,107.8962631225586
2021-02-08,108.89530944824219
2021-02-09,108.39579010009766
2021-02-10,107.39674377441406
2021-02-11,107.39674377441406
2021-02-12,107.39674377441406
2021-02-15,107.8962631225586
2021-02-16,108.39579010009766
2021-02-17,108.39579010009766
2021-02-18,108.39579010009766
2021-02-19,107.39674377441406
2021-02-22,107.39674377441406
2021-02-23,106.89722442626953
2021-02-24,108.89530944824219
2021-02-25,107.4049301147461
2021-02-26,107.4049301147461
2021-03-01,107.90447235107422
2021-03-02,107.90447235107422
2021-03-03,108.90359497070312
2021-03-04,107.90447235107422
2021-03-05,108.90359497070312
2021-03-08,107.90447235107422
2021-03-09,107.90447235107422
2021-03-10,107.4049301147461
2021-03-11,107.4049301147461
2021-03-12,109.40315246582031
2021-03-15,107.90447235107422
2021-03-16,108.90359497070312
2021-03-17,109.40315246582031
2021-03-18,110.9018325805664
2021-03-19,114.39873504638672
2021-03-22,113.899169921875
2021-03-23,113.899169921875
2021-03-24,114.39873504638672
2021-03-25,113.899169921875
2021-03-26,114.39873504638672
2021-03-29,113.899169921875
2021-03-30,113.39962005615234
2021-03-31,113.899169921875
2021-04-01,113.899169921875
2021-04-06,113.39962005615234
2021-04-07,112.90006256103516
2021-04-08,113.899169921875
2021-04-09,114.39873504638672
2021-04-12,113.39962005615234
2021-04-13,113.899169921875
2021-04-14,113.899169921875
2021-04-15,114.39873504638672
2021-04-16,113.899169921875
2021-04-19,113.899169921875
2021-04-20,113.899169921875
2021-04-21,113.899169921875
2021-04-22,113.39962005615234
2021-04-23,113.899169921875
2021-04-26,112.90006256103516
2021-04-27,112.90006256103516
2021-04-28,112.90006256103516
2021-04-29,113.39962005615234
2021-04-30,112.90006256103516
2021-05-04,113.39962005615234
2021-05-05,113.899169921875
2021-05-06,114.39873504638672
2021-05-07,115.39784240722656
2021-05-10,114.8982925415039
2021-05-11,113.899169921875
2021-05-12,114.8982925415039
