Date,FINCABLES.NS
2015-08-21,228.3366241455078
2015-08-24,215.79165649414062
2015-08-25,210.2314453125
2015-08-26,219.83546447753906
2015-08-27,224.33880615234375
2015-08-28,222.8683319091797
2015-08-31,219.37596130371094
2015-09-01,215.10238647460938
2015-09-02,220.019287109375
2015-09-03,217.44598388671875
2015-09-04,214.8726348876953
2015-09-07,212.80477905273438
2015-09-08,215.79165649414062
2015-09-09,224.4306640625
2015-09-10,219.78953552246094
2015-09-11,217.0323944091797
2015-09-14,217.90548706054688
2015-09-15,215.24024963378906
2015-09-16,213.0345458984375
2015-09-18,214.596923828125
2015-09-21,213.12643432617188
2015-09-22,212.75885009765625
2015-09-23,212.8966827392578
2015-09-24,212.942626953125
2015-09-28,213.4021759033203
2015-09-29,212.29931640625
2015-09-30,214.50502014160156
2015-10-01,216.43496704101562
2015-10-05,217.26214599609375
2015-10-06,213.63194274902344
2015-10-07,216.57286071777344
2015-10-08,215.33218383789062
2015-10-09,217.30807495117188
2015-10-12,214.09141540527344
2015-10-13,229.25564575195312
2015-10-14,235.27540588378906
2015-10-15,234.95375061035156
2015-10-16,231.23162841796875
2015-10-19,230.49639892578125
2015-10-20,228.75018310546875
2015-10-21,227.5554656982422
2015-10-23,225.62545776367188
2015-10-26,226.31472778320312
2015-10-27,222.0411834716797
2015-10-28,223.92523193359375
2015-10-29,228.9340057373047
2015-10-30,230.45045471191406
2015-11-02,228.75018310546875
2015-11-03,229.1178436279297
2015-11-04,225.25782775878906
2015-11-05,222.1790313720703
2015-11-06,219.55975341796875
2015-11-09,220.8923797607422
2015-11-10,220.8004608154297
2015-11-13,233.0697021484375
2015-11-16,237.57302856445312
2015-11-17,241.89256286621094
2015-11-18,236.37828063964844
2015-11-19,238.12448120117188
2015-11-20,243.8225555419922
2015-11-23,245.06326293945312
2015-11-24,240.65185546875
2015-11-26,240.1463623046875
2015-11-27,234.7239990234375
2015-11-30,234.44827270507812
2015-12-01,230.45045471191406
2015-12-02,226.77427673339844
2015-12-03,231.04782104492188
2015-12-04,225.39569091796875
2015-12-07,224.33880615234375
2015-12-08,225.34971618652344
2015-12-09,225.9011993408203
2015-12-10,228.01498413085938
2015-12-11,228.06094360351562
2015-12-14,232.10472106933594
2015-12-15,233.20755004882812
2015-12-16,239.54896545410156
2015-12-17,239.640869140625
2015-12-18,234.90782165527344
2015-12-21,234.3563995361328
2015-12-22,229.85304260253906
2015-12-23,230.49639892578125
2015-12-24,230.22067260742188
2015-12-28,232.33447265625
2015-12-29,230.6342315673828
2015-12-30,229.39353942871094
2015-12-31,232.4723358154297
2016-01-01,234.12660217285156
2016-01-04,230.40447998046875
2016-01-05,229.3475799560547
2016-01-06,236.19447326660156
2016-01-07,232.61019897460938
2016-01-08,238.03256225585938
2016-01-11,231.1856689453125
2016-01-12,228.2447052001953
2016-01-13,223.60357666015625
2016-01-14,221.48974609375
2016-01-15,214.27525329589844
2016-01-18,203.752197265625
2016-01-19,201.31674194335938
2016-01-20,192.86154174804688
2016-01-21,201.5005340576172
2016-01-22,205.5902862548828
2016-01-25,212.25335693359375
2016-01-27,214.45907592773438
2016-01-28,206.60125732421875
2016-01-29,213.31027221679688
2016-02-01,209.4502716064453
2016-02-02,213.44810485839844
2016-02-03,209.40432739257812
2016-02-04,210.92074584960938
2016-02-05,207.7959747314453
2016-02-08,208.71502685546875
2016-02-09,207.0148162841797
2016-02-10,205.17674255371094
2016-02-11,202.6493377685547
2016-02-12,202.925048828125
2016-02-15,210.78289794921875
2016-02-16,209.22048950195312
2016-02-17,209.22048950195312
2016-02-18,217.62979125976562
2016-02-19,218.13523864746094
2016-02-22,217.39999389648438
2016-02-23,217.85952758789062
2016-02-24,217.95143127441406
2016-02-25,218.6407012939453
2016-02-26,220.7545166015625
2016-02-29,218.7326202392578
2016-03-01,218.08929443359375
2016-03-02,217.0783233642578
2016-03-03,219.2840576171875
2016-03-04,215.4700164794922
2016-03-08,210.5990753173828
2016-03-09,212.942626953125
2016-03-10,213.0345458984375
2016-03-11,211.9316864013672
2016-03-14,214.4130859375
2016-03-15,220.1571502685547
2016-03-16,224.1090087890625
2016-03-17,223.09808349609375
2016-03-18,222.31689453125
2016-03-21,236.286376953125
2016-03-22,243.45489501953125
2016-03-23,237.8946990966797
2016-03-28,236.37828063964844
2016-03-29,244.09828186035156
2016-03-30,264.1334228515625
2016-03-31,258.43536376953125
2016-04-01,264.0874938964844
2016-04-04,265.23626708984375
2016-04-05,262.1115417480469
2016-04-06,260.87078857421875
2016-04-07,258.0677185058594
2016-04-08,259.17059326171875
2016-04-11,258.52728271484375
2016-04-12,258.6651306152344
2016-04-13,259.7679748535156
2016-04-18,259.0327453613281
2016-04-20,266.2931823730469
2016-04-21,262.20343017578125
2016-04-22,259.17059326171875
2016-04-25,258.2055969238281
2016-04-26,257.28656005859375
2016-04-27,257.562255859375
2016-04-28,264.1794128417969
2016-04-29,263.3522033691406
2016-05-02,260.089599609375
2016-05-03,259.3544006347656
2016-05-04,256.50537109375
2016-05-05,252.3236846923828
2016-05-06,253.24273681640625
2016-05-09,258.0216979980469
2016-05-10,265.2822265625
2016-05-11,263.7657470703125
2016-05-12,268.3610534667969
2016-05-13,262.8927001953125
2016-05-16,258.98675537109375
2016-05-17,264.4091491699219
2016-05-18,261.9736633300781
