Date,WY
2015-08-03,20.772701263427734
2015-08-04,20.941204071044922
2015-08-05,20.752479553222656
2015-08-06,20.66486358642578
2015-08-07,20.934467315673828
2015-08-10,20.934467315673828
2015-08-11,20.765962600708008
2015-08-12,20.86032485961914
2015-08-13,20.88728141784668
2015-08-14,21.022085189819336
2015-08-17,20.947946548461914
2015-08-18,20.9951229095459
2015-08-19,20.83336639404297
2015-08-20,20.610939025878906
2015-08-21,20.199806213378906
2015-08-24,18.98659896850586
2015-08-25,18.130619049072266
2015-08-26,18.52154541015625
2015-08-27,18.87202262878418
2015-08-28,19.033781051635742
2015-08-31,18.83158302307129
2015-09-01,18.595678329467773
2015-09-02,18.75069808959961
2015-09-03,18.80461883544922
2015-09-04,18.447404861450195
2015-09-08,18.636119842529297
2015-09-09,18.343013763427734
2015-09-10,18.602035522460938
2015-09-11,18.622486114501953
2015-09-14,18.527057647705078
2015-09-15,18.65657615661621
2015-09-16,19.392744064331055
2015-09-17,19.508628845214844
2015-09-18,19.263235092163086
2015-09-21,19.256412506103516
2015-09-22,18.88150978088379
2015-09-23,18.806529998779297
2015-09-24,18.57477378845215
2015-09-25,18.540691375732422
2015-09-28,18.315752029418945
2015-09-29,18.445261001586914
2015-09-30,18.636117935180664
2015-10-01,18.40436363220215
2015-10-02,18.71109962463379
2015-10-05,19.065549850463867
2015-10-06,18.970129013061523
2015-10-07,19.188257217407227
2015-10-08,19.460906982421875
2015-10-09,19.665401458740234
2015-10-12,19.597244262695312
2015-10-13,19.685855865478516
2015-10-14,19.61086654663086
2015-10-15,19.72675323486328
2015-10-16,20.053945541381836
2015-10-19,19.938060760498047
2015-10-20,19.863075256347656
2015-10-21,19.9176082611084
2015-10-22,20.456106185913086
2015-10-23,20.469738006591797
2015-10-26,19.95850944519043
2015-10-27,19.788105010986328
2015-10-28,20.173938751220703
2015-10-29,20.098154067993164
2015-10-30,20.208389282226562
2015-11-02,21.1867618560791
2015-11-03,21.400358200073242
2015-11-04,21.30390167236328
2015-11-05,21.414142608642578
2015-11-06,20.94562339782715
2015-11-09,20.325519561767578
2015-11-10,20.146377563476562
2015-11-11,20.539100646972656
2015-11-12,20.249732971191406
