Date,CDSL.NS
2017-06-30,238.7176513671875
2017-07-03,119.5412368774414
2017-07-04,120.97765350341797
2017-07-05,120.36204528808594
2017-07-06,134.01934814453125
2017-07-07,151.0054473876953
2017-07-10,161.49354553222656
2017-07-11,174.05641174316406
2017-07-12,184.20249938964844
2017-07-13,202.60220336914062
2017-07-14,182.3556671142578
2017-07-17,173.98802185058594
2017-07-18,174.35279846191406
2017-07-19,172.8251953125
2017-07-20,170.36280822753906
2017-07-21,168.8807830810547
2017-07-24,165.91677856445312
2017-07-25,165.84835815429688
2017-07-26,162.2003631591797
2017-07-27,156.93350219726562
2017-07-28,170.3399658203125
2017-07-31,154.85867309570312
2017-08-01,153.8098907470703
2017-08-02,153.87826538085938
2017-08-03,149.15866088867188
2017-08-04,142.13621520996094
2017-08-07,152.00868225097656
2017-08-08,148.5430450439453
2017-08-09,145.67022705078125
2017-08-10,137.37095642089844
2017-08-11,138.8757781982422
2017-08-14,144.0970001220703
2017-08-16,148.77105712890625
2017-08-17,149.38665771484375
2017-08-18,146.53663635253906
2017-08-21,150.86865234375
2017-08-22,149.84263610839844
2017-08-23,151.7350616455078
2017-08-24,150.9370574951172
2017-08-28,155.56549072265625
2017-08-29,152.51026916503906
2017-08-30,155.08668518066406
2017-08-31,154.28868103027344
2017-09-01,154.12908935546875
2017-09-04,150.95985412597656
2017-09-05,155.9758758544922
2017-09-06,154.3342742919922
2017-09-07,157.29830932617188
2017-09-08,163.49993896484375
2017-09-11,162.56512451171875
2017-09-12,161.72152709960938
2017-09-13,158.71189880371094
2017-09-14,158.82589721679688
2017-09-15,158.59791564941406
2017-09-18,164.86793518066406
2017-09-19,168.9947967529297
2017-09-20,176.26803588867188
2017-09-21,174.7632293701172
2017-09-22,166.16754150390625
2017-09-25,159.66952514648438
2017-09-26,161.0375213623047
2017-09-27,155.49708557128906
2017-09-28,155.3374786376953
2017-09-29,155.839111328125
2017-10-03,158.41551208496094
2017-10-04,161.12872314453125
2017-10-05,162.4511260986328
2017-10-06,171.38880920410156
2017-10-09,170.7504119873047
2017-10-10,175.60684204101562
2017-10-11,170.11196899414062
2017-10-12,172.68841552734375
2017-10-13,171.36599731445312
2017-10-16,175.01402282714844
2017-10-17,177.86402893066406
2017-10-18,177.33966064453125
2017-10-19,174.0336151123047
2017-10-23,172.27798461914062
2017-10-24,171.1379852294922
2017-10-25,168.310791015625
2017-10-26,169.04037475585938
2017-10-27,171.59400939941406
2017-10-30,170.49957275390625
2017-10-31,169.61041259765625
2017-11-01,168.60719299316406
2017-11-02,169.35955810546875
2017-11-03,167.39878845214844
2017-11-06,164.3207550048828
2017-11-07,163.13514709472656
2017-11-08,163.68234252929688
2017-11-09,163.18075561523438
2017-11-10,163.2035369873047
2017-11-13,162.54234313964844
2017-11-14,161.7899169921875
2017-11-15,161.40234375
2017-11-16,161.0375213623047
2017-11-17,162.17755126953125
2017-11-20,164.7539520263672
2017-11-21,165.27835083007812
2017-11-22,163.157958984375
2017-11-23,162.04075622558594
2017-11-24,161.69874572753906
2017-11-27,161.9039306640625
2017-11-28,160.69549560546875
2017-11-29,164.66273498535156
2017-11-30,165.84835815429688
2017-12-01,162.54234313964844
2017-12-04,160.7411346435547
2017-12-05,159.09950256347656
2017-12-06,157.57188415527344
2017-12-07,158.9398956298828
2017-12-08,158.36990356445312
2017-12-11,158.3927001953125
2017-12-12,156.47747802734375
2017-12-13,154.72189331054688
2017-12-14,153.94668579101562
2017-12-15,153.2854766845703
2017-12-18,159.25912475585938
2017-12-19,164.70834350585938
2017-12-20,163.13514709472656
2017-12-21,163.49993896484375
2017-12-22,166.76036071777344
2017-12-26,167.62677001953125
2017-12-27,162.40553283691406
2017-12-28,160.46754455566406
2017-12-29,163.0667266845703
2018-01-01,162.38275146484375
2018-01-02,160.5131378173828
2018-01-03,159.8747100830078
2018-01-04,159.2135009765625
