Date,PFG
2015-08-03,38.64943313598633
2015-08-04,38.54572677612305
2015-08-05,38.559547424316406
2015-08-06,38.421241760253906
2015-08-07,38.19303512573242
2015-08-10,39.11967468261719
2015-08-11,38.739349365234375
2015-08-12,38.71167755126953
2015-08-13,39.3617057800293
2015-08-14,40.09474182128906
2015-08-17,39.880367279052734
2015-08-18,39.88727569580078
2015-08-19,39.52076721191406
2015-08-20,38.80847930908203
2015-08-21,37.29404830932617
2015-08-24,35.02584457397461
2015-08-25,33.72577667236328
2015-08-26,34.624752044677734
2015-08-27,35.55830764770508
2015-08-28,35.19872283935547
2015-08-31,34.81837463378906
2015-09-01,33.414581298828125
2015-09-02,33.79096984863281
2015-09-03,33.958248138427734
2015-09-04,33.15668487548828
2015-09-08,34.0209846496582
2015-09-09,33.30306625366211
2015-09-10,33.045169830322266
2015-09-11,33.58187484741211
2015-09-14,33.31700134277344
2015-09-15,34.341617584228516
2015-09-16,34.42524719238281
2015-09-17,34.20220947265625
2015-09-18,33.49125671386719
2015-09-21,33.93734359741211
2015-09-22,33.38669967651367
2015-09-23,33.15668487548828
2015-09-24,33.03820037841797
2015-09-25,33.49125671386719
2015-09-28,32.33422088623047
2015-09-29,32.61302947998047
2015-09-30,32.99639129638672
2015-10-01,33.01728820800781
2015-10-02,33.19851303100586
2015-10-05,34.21613693237305
2015-10-06,33.993106842041016
2015-10-07,34.522823333740234
2015-10-08,34.65525436401367
2015-10-09,34.47403335571289
2015-10-12,34.4461555480957
2015-10-13,33.76308059692383
2015-10-14,33.296104431152344
2015-10-15,33.993106842041016
2015-10-16,34.104618072509766
2015-10-19,34.24402618408203
2015-10-20,34.3834342956543
2015-10-21,33.91642761230469
2015-10-22,34.69010543823242
2015-10-23,35.20589065551758
2015-10-26,35.261653900146484
2015-10-27,34.14643859863281
2015-10-28,35.547428131103516
2015-10-29,35.40802764892578
2015-10-30,34.96193313598633
2015-11-02,35.79835510253906
2015-11-03,35.82624435424805
2015-11-04,35.41500473022461
2015-11-05,35.49864959716797
2015-11-06,36.20958709716797
2015-11-09,35.171043395996094
2015-11-10,35.261653900146484
2015-11-11,35.212860107421875
2015-11-12,34.18129348754883
2015-11-13,33.993106842041016
2015-11-16,34.641326904296875
2015-11-17,34.66222381591797
2015-11-18,35.44287872314453
2015-11-19,35.352264404296875
2015-11-20,35.42893981933594
2015-11-23,35.40802764892578
2015-11-24,35.3731803894043
2015-11-25,35.484683990478516
2015-11-27,35.84016799926758
2015-11-30,35.86805725097656
2015-12-01,36.32807922363281
2015-12-02,35.65895462036133
2015-12-03,33.84721374511719
2015-12-04,34.50730514526367
2015-12-07,34.44411087036133
2015-12-08,33.882320404052734
2015-12-09,33.166053771972656
2015-12-10,33.30649948120117
2015-12-11,31.761606216430664
2015-12-14,31.593082427978516
2015-12-15,32.14080810546875
2015-12-16,32.81494140625
2015-12-17,31.761606216430664
2015-12-18,30.771465301513672
2015-12-21,31.017240524291992
2015-12-22,31.466657638549805
2015-12-23,32.091651916503906
2015-12-24,32.06355667114258
2015-12-28,32.000362396240234
2015-12-29,32.41466522216797
2015-12-30,31.930137634277344
2015-12-31,31.586057662963867
2016-01-04,30.92595863342285
2016-01-05,30.996177673339844
2016-01-06,29.7181339263916
2016-01-07,28.25048065185547
2016-01-08,28.187280654907227
2016-01-11,27.7448787689209
2016-01-12,27.8642578125
2016-01-13,26.89519500732422
2016-01-14,27.379728317260742
2016-01-15,26.62132453918457
2016-01-19,26.354482650756836
2016-01-20,25.610126495361328
2016-01-21,25.869943618774414
2016-01-22,26.726661682128906
2016-01-25,26.143814086914062
2016-01-26,26.64238929748535
2016-01-27,26.403640747070312
2016-01-28,26.305322647094727
2016-01-29,26.68452262878418
2016-02-01,26.649410247802734
2016-02-02,24.62700843811035
2016-02-03,24.957056045532227
2016-02-04,25.51883316040039
2016-02-05,25.848875045776367
2016-02-08,25.125587463378906
2016-02-09,25.266040802001953
2016-02-10,25.28708839416504
2016-02-11,24.114381790161133
2016-02-12,24.84469985961914
2016-02-16,25.60310173034668
2016-02-17,26.375545501708984
2016-02-18,26.108699798583984
2016-02-19,25.848875045776367
2016-02-22,26.249141693115234
2016-02-23,25.933143615722656
2016-02-24,26.07359504699707
2016-02-25,26.501937866210938
2016-02-26,27.014577865600586
2016-02-29,26.551101684570312
2016-03-01,27.751909255981445
2016-03-02,27.716794967651367
2016-03-03,27.72388458251953
2016-03-04,27.90114402770996
2016-03-07,28.014598846435547
2016-03-08,27.071557998657227
2016-03-09,27.170827865600586
2016-03-10,27.270090103149414
2016-03-11,28.617286682128906
2016-03-14,28.220226287841797
2016-03-15,27.90114402770996
2016-03-16,28.298215866088867
2016-03-17,28.830001831054688
2016-03-18,29.375978469848633
2016-03-21,29.227075576782227
2016-03-22,28.844186782836914
2016-03-23,28.191862106323242
2016-03-24,27.582075119018555
2016-03-28,27.86570167541504
2016-03-29,27.93660545349121
2016-03-30,28.198944091796875
2016-03-31,27.972047805786133
2016-04-01,28.27694320678711
2016-04-04,27.830245971679688
2016-04-05,27.36935806274414
2016-04-06,28.000411987304688
2016-04-07,27.433176040649414
2016-04-08,27.67424964904785
2016-04-11,28.099687576293945
2016-04-12,28.588932037353516
2016-04-13,29.510692596435547
2016-04-14,29.39723777770996
2016-04-15,29.312158584594727
2016-04-18,29.59577178955078
2016-04-19,29.93613052368164
2016-04-20,30.716083526611328
2016-04-21,30.701904296875
2016-04-22,31.269126892089844
2016-04-25,30.794069290161133
2016-04-26,31.13442611694336
2016-04-27,31.219499588012695
